path,exists,bytes
report/00_project_readme.md,True,1778
report/01_source_reading_memo.md,True,3890
report/02_metadata_audit.md,True,1428
report/03_data_build_audit.md,True,3122
report/04_variable_construction_memo.md,True,1548
report/05_empirical_design_memo.md,True,1086
report/06_main_results_memo.md,True,2828
report/07_causal_ml_audit.md,True,472
report/08_go_no_go_decision.md,True,754
report/09_final_research_memo.md,True,3021
data/metadata/variable_registry.csv,True,1146914
data/metadata/concept_crosswalk_initial.csv,True,12105
data/analysis_ready/sipp_2018_2024_person_month_panel.parquet,True,84733184
data/analysis_ready/coverage_transition_panel.parquet,True,42660567
data/analysis_ready/exposure_temporary_crossing_panel.parquet,True,87128542
data/policy/state_month_policy_regime.csv,True,590298
data/policy/medicaid_expansion_state_month.csv,True,448657
result/tables/sample_counts_by_year_regime.csv,True,760
result/tables/temporary_crossing_counts_by_year_regime.csv,True,760
result/tables/coverage_transition_matrix_by_year.csv,True,1391
result/tables/main_hazard_results.csv,True,10663
result/tables/event_study_results.csv,True,3314
result/tables/sensitivity_summary.csv,True,17152
result/figures/income_crossing_distribution.png,True,30621
result/figures/transition_path_decomposition.png,True,66504
result/figures/event_study_medicaid_exit.png,True,46994
result/figures/event_study_exit_to_uninsured.png,True,39454
result/figures/uninsured_gap_duration.png,True,25801
