outcome,event_time,estimate,std_error,ci_low,ci_high,p_value,n_obs,n_facilities
weekend_total_nurse_hprd,-24,0.033873027063406114,0.01213248627521099,0.010093353963992573,0.057652700162819655,0.0052460735100425815,1209911,15133
weekend_total_nurse_hprd,-23,0.016180320692374628,0.013711255354100088,-0.010693739801661543,0.0430543811864108,0.2379886174110386,1209911,15133
weekend_total_nurse_hprd,-22,-0.03082113301767142,0.014613822477281248,-0.05946422507314267,-0.0021780409622001763,0.03495753278646596,1209911,15133
weekend_total_nurse_hprd,-21,-0.07110854106981213,0.01563746536828023,-0.10175797319164137,-0.04045910894798288,5.475520975517512e-06,1209911,15133
weekend_total_nurse_hprd,-20,-0.09275898874875732,0.014167763086836416,-0.12052780439895669,-0.06499017309855795,6.051958933994683e-11,1209911,15133
weekend_total_nurse_hprd,-19,-0.11053772693276781,0.015066779541159524,-0.14006861483344046,-0.08100683903209514,2.3026025530725747e-13,1209911,15133
weekend_total_nurse_hprd,-18,-0.10867140681406395,0.01410977430487518,-0.1363265644516193,-0.0810162491765086,1.4210854715202004e-14,1209911,15133
weekend_total_nurse_hprd,-17,-0.06258689501156145,0.014094278454968473,-0.09021168078329966,-0.03496210923982324,9.034850192879418e-06,1209911,15133
weekend_total_nurse_hprd,-16,-0.060447378230060966,0.017008483434315862,-0.09378400576132007,-0.027110750698801873,0.0003806406402124818,1209911,15133
weekend_total_nurse_hprd,-15,-0.07571214585159947,0.02043717381924068,-0.1157690065373112,-0.03565528516588773,0.00021245390304702738,1209911,15133
weekend_total_nurse_hprd,-14,-0.0648680355518283,0.014782510419570103,-0.0938417559741857,-0.035894315129470895,1.1508680129779236e-05,1209911,15133
weekend_total_nurse_hprd,-13,-0.09137316590992772,0.015083900010018456,-0.1209376099295639,-0.061808721890291546,1.4138548110054217e-09,1209911,15133
weekend_total_nurse_hprd,-12,-0.0938380309571133,0.013738396939724826,-0.12076528895897395,-0.06691077295525263,8.79385453345094e-12,1209911,15133
weekend_total_nurse_hprd,-11,-0.11277923223692071,0.025578270478773837,-0.16291264237531744,-0.06264582209852398,1.0447734188900881e-05,1209911,15133
weekend_total_nurse_hprd,-10,-0.0889459645850259,0.013240148458446758,-0.11489665556358156,-0.06299527360647025,1.9094281711318217e-11,1209911,15133
weekend_total_nurse_hprd,-9,-0.07968377450076058,0.012487645076602934,-0.10415955885090233,-0.055207990150618835,1.8104207022417995e-10,1209911,15133
weekend_total_nurse_hprd,-8,-0.02782301785160124,0.023721881161997246,-0.07431790492911583,0.018671869225913358,0.24086073880793735,1209911,15133
weekend_total_nurse_hprd,-7,-0.002840633456182573,0.028037370710390707,-0.05779388004854836,0.05211261313618321,0.9193009802315129,1209911,15133
weekend_total_nurse_hprd,-6,-0.053378673344211314,0.011810826970234417,-0.07652789420587078,-0.030229452482551857,6.246453483127468e-06,1209911,15133
weekend_total_nurse_hprd,-5,-0.036261067724947305,0.011822470137834863,-0.05943310919510364,-0.013089026254790973,0.0021650543127986754,1209911,15133
weekend_total_nurse_hprd,-4,-0.05115707777362899,0.013341575380580334,-0.07730656551956644,-0.025007590027691536,0.0001263757970018098,1209911,15133
weekend_total_nurse_hprd,-3,-0.008270648046429963,0.009413779495019113,-0.026721655856667425,0.0101803597638075,0.37964935160055147,1209911,15133
weekend_total_nurse_hprd,-2,-0.01521625217682987,0.00759977932065897,-0.03011181964532145,-0.00032068470833828897,0.04528140629370414,1209911,15133
weekend_total_nurse_hprd,0,-0.003814591199460038,0.010643501682830606,-0.024675854497808025,0.01704667209888795,0.720051789470503,1209911,15133
weekend_total_nurse_hprd,1,-0.017058133381745,0.011043358249438502,-0.038703115550644464,0.004586848787154464,0.12245163619084587,1209911,15133
weekend_total_nurse_hprd,2,0.001975111593438106,0.011427157533191895,-0.020422117171618008,0.02437234035849422,0.8627766389515505,1209911,15133
weekend_total_nurse_hprd,3,0.026677979202845092,0.012536331978431261,0.002106768525119821,0.05124918988057037,0.033348802376684805,1209911,15133
weekend_total_nurse_hprd,4,0.038122112166000144,0.01288787469898858,0.012861877755982527,0.06338234657601777,0.003101381919570878,1209911,15133
weekend_total_nurse_hprd,5,0.06226022577112256,0.01272356512449597,0.037322038127110456,0.08719841341513465,1.0017954652496996e-06,1209911,15133
weekend_total_nurse_hprd,6,0.07758819009538409,0.012552067336061266,0.05298613811670401,0.10219024207406417,6.520339823623544e-10,1209911,15133
weekend_total_nurse_hprd,7,0.0969697680072289,0.013486092285220781,0.07053702712819616,0.12340250888626163,6.765699112065704e-13,1209911,15133
weekend_total_nurse_hprd,8,0.08972248400826521,0.015791707019693155,0.05877073824966663,0.12067422976686379,1.358810930440768e-08,1209911,15133
weekend_total_nurse_hprd,9,0.08160875505982534,0.012796027028772026,0.05652854208343217,0.10668896803621852,1.8502910315021381e-10,1209911,15133
weekend_total_nurse_hprd,10,0.09100556765776191,0.013149830732076258,0.06523189942289244,0.11677923589263138,4.675815290511309e-12,1209911,15133
weekend_total_nurse_hprd,11,0.09682675864140888,0.014222734088361735,0.06895019982821989,0.12470331745459788,1.0276890449745224e-11,1209911,15133
weekend_total_nurse_hprd,12,0.09735794503868134,0.012770892346502692,0.07232699603953606,0.12238889403782661,2.6201263381153694e-14,1209911,15133
weekend_total_nurse_hprd,13,0.10281593190114902,0.012991694015726855,0.07735221163032438,0.12827965217197365,2.6645352591003757e-15,1209911,15133
weekend_total_nurse_hprd,14,0.09731283105893596,0.013882832310190336,0.0701024797309629,0.12452318238690901,2.4913404672588513e-12,1209911,15133
weekend_total_nurse_hprd,15,0.08565072779736438,0.012900145584650366,0.06036644245144966,0.1109350131432791,3.2543079342417514e-11,1209911,15133
weekend_total_nurse_hprd,16,0.08396004529435752,0.01334637850090598,0.0578011434325818,0.11011894715613324,3.2441604957966774e-10,1209911,15133
weekend_total_nurse_hprd,17,0.11060951868618818,0.013494310383017204,0.08416067033547446,0.13705836703690188,2.220446049250313e-16,1209911,15133
weekend_total_nurse_hprd,18,0.12270603580765982,0.01332969955735214,0.09657982467524963,0.14883224694007002,0.0,1209911,15133
weekend_total_nurse_hprd,19,0.12222570233111929,0.013526541126183405,0.09571368172379982,0.14873772293843876,0.0,1209911,15133
weekend_total_nurse_hprd,20,0.0095625076441751,0.12400030941325951,-0.23347809880581355,0.25260311409416375,0.9385316441504004,1209911,15133
weekend_total_nurse_hprd,21,0.1205221502936824,0.013200394737226189,0.09464937660871908,0.14639492397864573,0.0,1209911,15133
weekend_total_nurse_hprd,22,0.13034672212369303,0.01354232738583985,0.10380376044744692,0.15688968379993912,0.0,1209911,15133
weekend_total_nurse_hprd,23,0.12318231393900558,0.013605686615429328,0.0965151681727641,0.14984945970524707,0.0,1209911,15133
weekend_total_nurse_hprd,24,0.12581039806384697,0.014210136950897173,0.09795852964008851,0.15366226648760545,0.0,1209911,15133
weekend_total_nurse_hprd,25,0.11426427329377276,0.013407074809663475,0.08798640666683234,0.14054213992071315,0.0,1209911,15133
weekend_total_nurse_hprd,26,0.11403078160774138,0.013872894408654536,0.08683990856677849,0.1412216546487043,2.220446049250313e-16,1209911,15133
weekend_total_nurse_hprd,27,0.11882416177930799,0.013505642201212366,0.09235310306493175,0.14529522049368424,0.0,1209911,15133
weekend_total_nurse_hprd,28,0.11758566674584225,0.013548560421642838,0.09103048831942229,0.14414084517226222,0.0,1209911,15133
weekend_total_nurse_hprd,29,0.15010763194646404,0.013672661817619744,0.12330921478392934,0.17690604910899874,0.0,1209911,15133
weekend_total_nurse_hprd,30,0.14698534364152438,0.013266209471790094,0.1209835730768158,0.17298711420623297,0.0,1209911,15133
weekend_total_nurse_hprd,31,0.14652448624350145,0.013525791239377779,0.12001393541432101,0.1730350370726819,0.0,1209911,15133
weekend_total_nurse_hprd,32,0.1450568088817762,0.01369727408742595,0.11821015167042133,0.17190346609313106,0.0,1209911,15133
weekend_total_nurse_hprd,33,0.14738387557702248,0.013451884770061068,0.12101818142770279,0.17374956972634217,0.0,1209911,15133
weekend_total_nurse_hprd,34,0.1502914691796413,0.013470401478545545,0.12388948228169204,0.17669345607759057,0.0,1209911,15133
weekend_total_nurse_hprd,35,0.14861880933391436,0.013395840089235547,0.12236296275901269,0.17487465590881604,0.0,1209911,15133
weekend_total_nurse_hprd,36,0.15430171872145926,0.01238724528851933,0.13002271795596138,0.17858071948695714,0.0,1209911,15133
weekend_rn_hprd,-24,-0.007488020005286311,0.003674695272005064,-0.014690422738416236,-0.00028561727215638613,0.04159475680609548,1209911,15133
weekend_rn_hprd,-23,-0.010019000746231188,0.004065545991170282,-0.01798747088892494,-0.0020505306035374354,0.013736548242713864,1209911,15133
weekend_rn_hprd,-22,-0.018739378595116818,0.0041932237813986474,-0.026958097206658167,-0.01052065998357547,7.916872886148951e-06,1209911,15133
weekend_rn_hprd,-21,-0.03819700179845392,0.004493632704422866,-0.04700452189912274,-0.029389481697785103,0.0,1209911,15133
weekend_rn_hprd,-20,-0.04569079840040574,0.004279905487502917,-0.05407941315591146,-0.037302183644900025,0.0,1209911,15133
weekend_rn_hprd,-19,-0.045412971360686394,0.005051740233126449,-0.055314382217614234,-0.03551156050375855,0.0,1209911,15133
weekend_rn_hprd,-18,-0.04295583793728275,0.004185350895812067,-0.0511591256930744,-0.03475255018149109,0.0,1209911,15133
weekend_rn_hprd,-17,-0.03874554217998835,0.004299582754102192,-0.04717272437802865,-0.030318359981948054,0.0,1209911,15133
weekend_rn_hprd,-16,-0.044279088371912134,0.004493267500080642,-0.053085892672070194,-0.035472284071754075,0.0,1209911,15133
weekend_rn_hprd,-15,-0.049031308891847036,0.004275463867536604,-0.05741121807221878,-0.04065139971147529,0.0,1209911,15133
weekend_rn_hprd,-14,-0.05657612962262781,0.00400176597643611,-0.06441959093644259,-0.04873266830881304,0.0,1209911,15133
weekend_rn_hprd,-13,-0.058537578365993104,0.004234462995608066,-0.06683712583738491,-0.05023803089460129,0.0,1209911,15133
