check,sample,outcome,term,estimate,std_error,ci_low,ci_high,p_value,n_obs,n_facilities,fixed_effects,exposure,note
preferred_composite,all_months,weekend_total_nurse_hprd,x_jan_to_jun2022,0.043075775326593325,0.00767600268910079,0.028030810055955778,0.05812074059723087,2.0380884535597943e-08,1209911,15133,facility_id+period,high_exposure_composite,
preferred_composite,all_months,weekend_total_nurse_hprd,x_post_jul2022,0.1489718352384954,0.007349842560329583,0.1345661438202494,0.16337752665674138,0.0,1209911,15133,facility_id+period,high_exposure_composite,
preferred_composite,all_months,weekend_rn_hprd,x_jan_to_jun2022,0.03119086565146018,0.0024220790255573233,0.026443590761367826,0.03593814054155253,0.0,1209911,15133,facility_id+period,high_exposure_composite,
preferred_composite,all_months,weekend_rn_hprd,x_post_jul2022,0.05909319027934665,0.0026139494082503675,0.053969849439175925,0.06421653111951736,0.0,1209911,15133,facility_id+period,high_exposure_composite,
preferred_composite,all_months,weekday_total_nurse_hprd,x_jan_to_jun2022,-0.007306237471494591,0.009278221246089348,-0.02549155111382971,0.01087907617084053,0.4310243780502274,1209909,15133,facility_id+period,high_exposure_composite,
preferred_composite,all_months,weekday_total_nurse_hprd,x_post_jul2022,0.06411530715232218,0.00890737645164724,0.04665684930709359,0.08157376499755077,6.397105067890152e-13,1209909,15133,facility_id+period,high_exposure_composite,
preferred_composite,all_months,weekday_minus_weekend_total_hprd,x_jan_to_jun2022,-0.05037938322697102,0.004753172823505928,-0.059695601961042635,-0.0410631644928994,0.0,1209909,15133,facility_id+period,high_exposure_composite,
preferred_composite,all_months,weekday_minus_weekend_total_hprd,x_post_jul2022,-0.08485057767613288,0.004717567827358912,-0.09409701061775635,-0.07560414473450941,0.0,1209909,15133,facility_id+period,high_exposure_composite,
preferred_composite,all_months,total_nurse_hprd,x_jan_to_jun2022,0.007359766561298491,0.00849199498329811,-0.009284543605965805,0.024004076728562786,0.3861359909567832,1209911,15133,facility_id+period,high_exposure_composite,
preferred_composite,all_months,total_nurse_hprd,x_post_jul2022,0.08889585071463205,0.00809628972445674,0.07302712285469684,0.10476457857456725,0.0,1209911,15133,facility_id+period,high_exposure_composite,
low_weekend_total,all_months,weekend_total_nurse_hprd,x_jan_to_jun2022,0.08142251745648822,0.007116385808188041,0.06747440127243966,0.09537063364053679,0.0,1209911,15133,facility_id+period,low_baseline_weekend_total_hprd,
low_weekend_total,all_months,weekend_total_nurse_hprd,x_post_jul2022,0.2332499947783441,0.006767614604035362,0.2199854701544348,0.2465145194022534,0.0,1209911,15133,facility_id+period,low_baseline_weekend_total_hprd,
low_weekend_total,all_months,weekend_rn_hprd,x_jan_to_jun2022,0.015272182724684183,0.002462909273630695,0.010444880548368021,0.020099484901000345,5.760987242808824e-10,1209911,15133,facility_id+period,low_baseline_weekend_total_hprd,
low_weekend_total,all_months,weekend_rn_hprd,x_post_jul2022,0.03900149124452212,0.002593210712439029,0.03391879824814162,0.044084184240902616,0.0,1209911,15133,facility_id+period,low_baseline_weekend_total_hprd,
