outcome,term,estimate,std_error,ci_low,ci_high,p_value,n_obs,n_facilities,fixed_effects,exposure
weekend_total_nurse_hprd,exposure_x_jan_to_jun2022,0.043075775326593325,0.00767600268910079,0.028030810055955778,0.05812074059723087,2.0380884535597943e-08,1209911,15133,facility_id+period,high_exposure_composite
weekend_total_nurse_hprd,exposure_x_post_jul2022,0.1489718352384954,0.007349842560329583,0.1345661438202494,0.16337752665674138,0.0,1209911,15133,facility_id+period,high_exposure_composite
weekend_rn_hprd,exposure_x_jan_to_jun2022,0.03119086565146018,0.0024220790255573233,0.026443590761367826,0.03593814054155253,0.0,1209911,15133,facility_id+period,high_exposure_composite
weekend_rn_hprd,exposure_x_post_jul2022,0.05909319027934665,0.0026139494082503675,0.053969849439175925,0.06421653111951736,0.0,1209911,15133,facility_id+period,high_exposure_composite
weekday_total_nurse_hprd,exposure_x_jan_to_jun2022,-0.007306237471494591,0.009278221246089348,-0.02549155111382971,0.01087907617084053,0.4310243780502274,1209909,15133,facility_id+period,high_exposure_composite
weekday_total_nurse_hprd,exposure_x_post_jul2022,0.06411530715232218,0.00890737645164724,0.04665684930709359,0.08157376499755077,6.397105067890152e-13,1209909,15133,facility_id+period,high_exposure_composite
weekday_rn_hprd,exposure_x_jan_to_jun2022,0.0164868089803043,0.003872789963580248,0.008896140651687017,0.024077477308921586,2.0835478017788844e-05,1209909,15133,facility_id+period,high_exposure_composite
weekday_rn_hprd,exposure_x_post_jul2022,0.046398818639000444,0.004128087808151173,0.03830776653502414,0.054489870742976745,0.0,1209909,15133,facility_id+period,high_exposure_composite
weekday_minus_weekend_total_hprd,exposure_x_jan_to_jun2022,-0.05037938322697102,0.004753172823505928,-0.059695601961042635,-0.0410631644928994,0.0,1209909,15133,facility_id+period,high_exposure_composite
weekday_minus_weekend_total_hprd,exposure_x_post_jul2022,-0.08485057767613288,0.004717567827358912,-0.09409701061775635,-0.07560414473450941,0.0,1209909,15133,facility_id+period,high_exposure_composite
total_nurse_hprd,exposure_x_jan_to_jun2022,0.007359766561298491,0.00849199498329811,-0.009284543605965805,0.024004076728562786,0.3861359909567832,1209911,15133,facility_id+period,high_exposure_composite
total_nurse_hprd,exposure_x_post_jul2022,0.08889585071463205,0.00809628972445674,0.07302712285469684,0.10476457857456725,0.0,1209911,15133,facility_id+period,high_exposure_composite
rn_share_total_hours,exposure_x_jan_to_jun2022,0.002806475326690311,0.0007085113394568526,0.00141779310135488,0.0041951575520257425,7.495110146793493e-05,1208291,15133,facility_id+period,high_exposure_composite
rn_share_total_hours,exposure_x_post_jul2022,0.0076774932550042405,0.0007442845617258634,0.006218695514021548,0.009136290995986934,0.0,1208291,15133,facility_id+period,high_exposure_composite
contract_share_total_hours,exposure_x_jan_to_jun2022,0.004430287793684615,0.0018869811697607441,0.0007318047009535569,0.008128770886415674,0.018896568330535546,1208291,15133,facility_id+period,high_exposure_composite
contract_share_total_hours,exposure_x_post_jul2022,-0.005757880099618699,0.0015525359685166175,-0.008800850597911268,-0.0027149096013261284,0.00020907598429298346,1208291,15133,facility_id+period,high_exposure_composite
weekend_total_nurse_hprd,exposure_x_jan_to_jun2022,0.06562496306454772,0.008870215721401146,0.048239340250601476,0.08301058587849397,1.4521717162097048e-13,1209911,15133,facility_id+state_time,high_exposure_composite
weekend_total_nurse_hprd,exposure_x_post_jul2022,0.16730443943604822,0.007567670942373763,0.15247180438899566,0.1821370744831008,0.0,1209911,15133,facility_id+state_time,high_exposure_composite
weekend_rn_hprd,exposure_x_jan_to_jun2022,0.03033075517598614,0.002818731334428563,0.024806041760506155,0.03585546859146612,0.0,1209911,15133,facility_id+state_time,high_exposure_composite
weekend_rn_hprd,exposure_x_post_jul2022,0.056084480913260334,0.003053802893274693,0.05009902724244194,0.06206993458407873,0.0,1209911,15133,facility_id+state_time,high_exposure_composite
weekday_total_nurse_hprd,exposure_x_jan_to_jun2022,0.012541784387225348,0.01087662828567821,-0.008776407052703944,0.03385997582715464,0.24888965684062714,1209909,15133,facility_id+state_time,high_exposure_composite
weekday_total_nurse_hprd,exposure_x_post_jul2022,0.06293321046274698,0.009978412778657804,0.04337552141657769,0.08249089950891628,2.9251800981455744e-10,1209909,15133,facility_id+state_time,high_exposure_composite
weekday_rn_hprd,exposure_x_jan_to_jun2022,0.014403536928084259,0.004950147818410826,0.0047012472039990386,0.02410582665216948,0.00362281248096874,1209909,15133,facility_id+state_time,high_exposure_composite
weekday_rn_hprd,exposure_x_post_jul2022,0.03482678752676284,0.0052602274211048195,0.024516741781397393,0.045136833272128286,3.693489958322971e-11,1209909,15133,facility_id+state_time,high_exposure_composite
weekday_minus_weekend_total_hprd,exposure_x_jan_to_jun2022,-0.05307825739521105,0.005652436589176492,-0.06415703310999697,-0.041999481680425124,0.0,1209909,15133,facility_id+state_time,high_exposure_composite
weekday_minus_weekend_total_hprd,exposure_x_post_jul2022,-0.10436250401272971,0.005505847831956727,-0.1151539657633649,-0.09357104226209453,0.0,1209909,15133,facility_id+state_time,high_exposure_composite
