state,state_abbr,state_fips,pre2024_medicaid_child_12mo_ce,pre2024_chip_child_12mo_ce,pre2024_any_child_12mo_ce,newly_treated_medicaid_child_ce,newly_treated_chip_child_ce,newly_treated_any_child_ce,partial_pre2024_ce,separate_chip_program,medicaid_expansion_chip,chip_premium_policy_pre2024,premium_nonpayment_discontinuation_exposure,chip_waiting_period_pre2024,chip_lockout_pre2024,medicaid_expansion_status,unwinding_start_month,unwinding_completion_month,ex_parte_rate_baseline_if_available,baseline_procedural_disenrollment_rate_if_available,state_policy_notes,source_url_or_source_name,confidence_level,kff_medicaid_child_ce_status,kff_chip_child_ce_status
Alabama,AL,01,1,1,1,0,0,0,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,Y
Alaska,AK,02,1,,1,0,0,0,0,0,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,N/A (M-CHIP)
Arizona,AZ,04,0,0,0,1,1,1,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,
Arkansas,AR,05,0,1,1,1,0,0,1,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,Y
California,CA,06,1,,1,0,0,0,0,0,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,N/A (M-CHIP)
Colorado,CO,08,1,1,1,0,0,0,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,Y
Connecticut,CT,09,0,0,0,1,1,1,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,
Delaware,DE,10,0,1,1,1,0,0,1,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,Y
District of Columbia,DC,11,0,,0,1,0,1,0,0,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,N/A (M-CHIP)
Florida,FL,12,0,1,1,1,0,0,1,1,,,,,,,2023-04,2023-12,,,Medicaid CE only under age 5; ages 5+ had six months CE.,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Under Age 5,Y
Georgia,GA,13,0,0,0,1,1,1,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,
Hawaii,HI,15,0,,0,1,0,1,0,0,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,N/A (M-CHIP)
Idaho,ID,16,1,1,1,0,0,0,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,Y
Illinois,IL,17,1,,1,0,0,0,0,0,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,N/A (M-CHIP)
Indiana,IN,18,0,0,1,1,1,0,1,1,,,,,,,2023-04,2023-12,,,CE only under age 3.,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Under Age 3,Under Age 3
Iowa,IA,19,1,1,1,0,0,0,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,Y
Kansas,KS,20,1,1,1,0,0,0,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,Y
Kentucky,KY,21,0,0,0,1,1,1,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,
Louisiana,LA,22,1,1,1,0,0,0,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,Y
Maine,ME,23,1,1,1,0,0,0,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,Y
Maryland,MD,24,0,,0,1,0,1,0,0,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,N/A (M-CHIP)
Massachusetts,MA,25,0,0,0,1,1,1,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,
Michigan,MI,26,1,,1,0,0,0,0,0,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,N/A (M-CHIP)
Minnesota,MN,27,0,,0,1,0,1,0,0,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,N/A (M-CHIP)
Mississippi,MS,28,1,1,1,0,0,0,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,Y
Missouri,MO,29,0,0,0,1,1,1,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,
Montana,MT,30,1,1,1,0,0,0,0,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,Y
Nebraska,NE,31,0,,0,1,0,1,0,0,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,N/A (M-CHIP)
Nevada,NV,32,0,1,1,1,0,0,1,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,Y
New Hampshire,NH,33,0,,0,1,0,1,0,0,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,N/A (M-CHIP)
New Jersey,NJ,34,0,1,1,1,0,0,1,1,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,,Y
New Mexico,NM,35,1,,1,0,0,0,0,0,,,,,,,2023-04,2023-12,,,,"KFF/Georgetown Table 5, January 2023; CMS SHO 23-004; CMS FAQ 10/27/2023",high_for_CE_table; low_for_unextracted_premium_lockout_fields,Y,N/A (M-CHIP)
