source_name,official_public_source,access_date,download_path,period_covered,unit,row_count,column_count,checksum,status,notes
cms_pi_enrollment_metadata,https://data.medicaid.gov/api/1/metastore/schemas/dataset/items/6165f45b-ca93-5bb5-9d06-db29c692a360,2026-07-08,temp\source_snapshots\cms_pi_enrollment_metadata.json,,dataset metadata,,,9edcfc63e80d8628d9a52972e182694f98567cc1de0db9fad5d09321ab66cf49,ok,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data"
cms_pi_enrollment_data_dictionary_0,https://data.medicaid.gov/api/1/metastore/schemas/data-dictionary/items/7d80cfd8-3266-4c55-8436-948b7c55b9dd,2026-07-08,temp\source_snapshots\cms_pi_enrollment_data_dictionary_0.json,,data dictionary,44,5,17229d2e356bc02a07b6421fa817b336e6d8b9400e1d0e9b517b04c31e2e69fd,ok,csv
cms_pi_enrollment,https://download.medicaid.gov/data/pi-dataset-june-2026-release.csv,2026-07-08,temp\raw_downloads\pi-dataset-june-2026-release.csv,2013-09 through latest release month,state-month-report-version,10812,44,e0a66873d493dafde445e6412901210e1a26f950754b501fcf44649d163622a2,exists,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data"
cms_eligibility_processing_renewal_metadata,https://data.medicaid.gov/api/1/metastore/schemas/dataset/items/5abea2e0-3f8e-4b49-a50d-d63d5fd9103c,2026-07-08,temp\source_snapshots\cms_eligibility_processing_renewal_metadata.json,,dataset metadata,,,b1c6192ac0228a809b1f4fb1c4162979a06bf54b773e821f1002c326b1814539,ok,State Medicaid and CHIP Eligibility Processing Data
cms_eligibility_processing_renewal_data_dictionary_0,https://data.medicaid.gov/api/1/metastore/schemas/data-dictionary/items/0c98be2c-4c51-42b3-a0d6-2667f54c9ef6,2026-07-08,temp\source_snapshots\cms_eligibility_processing_renewal_data_dictionary_0.json,,data dictionary,22,5,3daac5a216cbc1e5e07546a152c7c37e2e7dcfa04927490d1c6a627d4504df4f,ok,csv
cms_eligibility_processing_renewal,https://download.medicaid.gov/data/renewal-dataset-june-2026-release.csv,2026-07-08,temp\raw_downloads\renewal-dataset-june-2026-release.csv,2023-03 through latest release month,state-month-report-version,3570,22,278a60d3baa82d700cde62699dd7a5e3683f286c87b728620f972437045ba441,exists,State Medicaid and CHIP Eligibility Processing Data
cms_updated_renewal_outcomes_metadata,https://data.medicaid.gov/api/1/metastore/schemas/dataset/items/e6205a51-e6d7-4849-9882-4483b8a28c41,2026-07-08,temp\source_snapshots\cms_updated_renewal_outcomes_metadata.json,,dataset metadata,,,2af66fa8a1a9553c5e42cc49438bef8c1bc91cae48ab9e25ffe7edb1521edd63,ok,Medicaid and CHIP Updated Renewal Outcomes
cms_updated_renewal_outcomes_data_dictionary_0,https://data.medicaid.gov/api/1/metastore/schemas/data-dictionary/items/15e1a5b4-0fc1-4278-b5d8-d5d1b498c704,2026-07-08,temp\source_snapshots\cms_updated_renewal_outcomes_data_dictionary_0.json,,data dictionary,6,5,eb162764d60434a4de77ee0fa96443564bf5055da72b514a1432950882f6c999,ok,csv
cms_updated_renewal_outcomes,https://download.medicaid.gov/data/updated-renewal-outcomes-october-2024-releasefinal.csv,2026-07-08,temp\raw_downloads\updated-renewal-outcomes-october-2024-releasefinal.csv,2024 updated releases plus monthly files,state-month-metric,10140,6,a21e0c7692981a16673e00cbd1ffa97037e7f597e5fba2cc5488c110a7c987d4,exists,Medicaid and CHIP Updated Renewal Outcomes
cms_sho_23_004,https://www.medicaid.gov/federal-policy-guidance/downloads/sho23004.pdf,2026-07-08,temp\raw_downloads\cms_sho_23_004.pdf,,policy document,,,98a0a1c5a50678d4feac79266c9238b8555ff4ca526e91ff2d5a8a4f85900682,exists,
