state,state_abbr,kff_medicaid_child_ce_status,kff_chip_child_ce_status,pre2024_any_child_12mo_ce,newly_treated_any_child_ce,partial_pre2024_ce,separate_chip_program,state_policy_notes
Alabama,AL,Y,Y,1,0,0,1,
Alaska,AK,Y,N/A (M-CHIP),1,0,0,0,
Arizona,AZ,,,0,1,0,1,
Arkansas,AR,,Y,1,0,1,1,
California,CA,Y,N/A (M-CHIP),1,0,0,0,
Colorado,CO,Y,Y,1,0,0,1,
Connecticut,CT,,,0,1,0,1,
Delaware,DE,,Y,1,0,1,1,
District of Columbia,DC,,N/A (M-CHIP),0,1,0,0,
Florida,FL,Under Age 5,Y,1,0,1,1,Medicaid CE only under age 5; ages 5+ had six months CE.
Georgia,GA,,,0,1,0,1,
Hawaii,HI,,N/A (M-CHIP),0,1,0,0,
Idaho,ID,Y,Y,1,0,0,1,
Illinois,IL,Y,N/A (M-CHIP),1,0,0,0,
Indiana,IN,Under Age 3,Under Age 3,1,0,1,1,CE only under age 3.
Iowa,IA,Y,Y,1,0,0,1,
Kansas,KS,Y,Y,1,0,0,1,
Kentucky,KY,,,0,1,0,1,
Louisiana,LA,Y,Y,1,0,0,1,
Maine,ME,Y,Y,1,0,0,1,
Maryland,MD,,N/A (M-CHIP),0,1,0,0,
Massachusetts,MA,,,0,1,0,1,
Michigan,MI,Y,N/A (M-CHIP),1,0,0,0,
Minnesota,MN,,N/A (M-CHIP),0,1,0,0,
Mississippi,MS,Y,Y,1,0,0,1,
Missouri,MO,,,0,1,0,1,
Montana,MT,Y,Y,1,0,0,1,
Nebraska,NE,,N/A (M-CHIP),0,1,0,0,
Nevada,NV,,Y,1,0,1,1,
New Hampshire,NH,,N/A (M-CHIP),0,1,0,0,
New Jersey,NJ,,Y,1,0,1,1,
New Mexico,NM,Y,N/A (M-CHIP),1,0,0,0,
New York,NY,Y,Y,1,0,0,1,
North Carolina,NC,Y,Y,1,0,0,1,
North Dakota,ND,Y,N/A (M-CHIP),1,0,0,0,
Ohio,OH,Y,N/A (M-CHIP),1,0,0,0,
Oklahoma,OK,,N/A (M-CHIP),0,1,0,0,
Oregon,OR,Y,Y,1,0,0,1,Oregon also had multi-year CE authority for young children.
Pennsylvania,PA,Under Age 4,Y,1,0,1,1,Medicaid CE only under age 4.
Rhode Island,RI,,N/A (M-CHIP),0,1,0,0,
South Carolina,SC,Y,N/A (M-CHIP),1,0,0,0,
South Dakota,SD,,,0,1,0,1,
Tennessee,TN,,Y,1,0,1,1,
Texas,TX,,Y,1,0,1,1,CHIP CE was limited to income up to 185 percent FPL per KFF footnote.
Utah,UT,,Y,1,0,1,1,
Vermont,VT,,N/A (M-CHIP),0,1,0,0,
Virginia,VA,,,0,1,0,1,
Washington,WA,Y,Y,1,0,0,1,
West Virginia,WV,Y,Y,1,0,0,1,
Wisconsin,WI,,,0,1,0,1,
Wyoming,WY,Y,N/A (M-CHIP),1,0,0,0,
