state_abbr,group,missing_enrollment,rows,missing_rate
AK,adult,0,99,0.0
AK,child,0,99,0.0
AL,adult,0,99,0.0
AL,child,0,99,0.0
AR,adult,0,99,0.0
AR,child,0,99,0.0
AZ,adult,0,99,0.0
AZ,child,0,99,0.0
CA,adult,0,99,0.0
CA,child,0,99,0.0
CO,adult,0,99,0.0
CO,child,0,99,0.0
CT,adult,0,99,0.0
CT,child,0,99,0.0
DC,adult,0,99,0.0
DC,child,0,99,0.0
DE,adult,0,99,0.0
DE,child,0,99,0.0
FL,adult,0,99,0.0
FL,child,0,99,0.0
GA,adult,0,99,0.0
GA,child,0,99,0.0
HI,adult,0,99,0.0
HI,child,0,99,0.0
IA,adult,0,99,0.0
IA,child,0,99,0.0
ID,adult,0,99,0.0
ID,child,0,99,0.0
IL,adult,0,99,0.0
IL,child,0,99,0.0
IN,adult,0,99,0.0
IN,child,0,99,0.0
KS,adult,0,99,0.0
KS,child,0,99,0.0
KY,adult,0,99,0.0
KY,child,0,99,0.0
LA,adult,0,99,0.0
LA,child,0,99,0.0
MA,adult,0,99,0.0
MA,child,0,99,0.0
MD,adult,0,99,0.0
MD,child,0,99,0.0
ME,adult,0,99,0.0
ME,child,0,99,0.0
MI,adult,0,99,0.0
MI,child,0,99,0.0
MN,adult,0,99,0.0
MN,child,0,99,0.0
MO,adult,0,99,0.0
MO,child,0,99,0.0
MS,adult,0,99,0.0
MS,child,0,99,0.0
MT,adult,0,99,0.0
MT,child,0,99,0.0
NC,adult,0,99,0.0
NC,child,0,99,0.0
ND,adult,0,99,0.0
ND,child,0,99,0.0
NE,adult,0,99,0.0
NE,child,0,99,0.0
NH,adult,0,99,0.0
NH,child,0,99,0.0
NJ,adult,0,99,0.0
NJ,child,0,99,0.0
NM,adult,0,99,0.0
NM,child,0,99,0.0
NV,adult,0,99,0.0
NV,child,0,99,0.0
NY,adult,0,99,0.0
NY,child,0,99,0.0
OH,adult,0,99,0.0
OH,child,0,99,0.0
OK,adult,0,99,0.0
OK,child,0,99,0.0
OR,adult,0,99,0.0
OR,child,0,99,0.0
PA,adult,0,99,0.0
PA,child,0,99,0.0
RI,adult,0,99,0.0
RI,child,0,99,0.0
SC,adult,0,99,0.0
SC,child,0,99,0.0
SD,adult,0,99,0.0
SD,child,0,99,0.0
TN,adult,0,99,0.0
TN,child,0,99,0.0
TX,adult,0,99,0.0
TX,child,0,99,0.0
UT,adult,0,99,0.0
UT,child,0,99,0.0
VA,adult,0,99,0.0
VA,child,0,99,0.0
VT,adult,0,99,0.0
VT,child,0,99,0.0
WA,adult,0,99,0.0
WA,child,0,99,0.0
WI,adult,0,99,0.0
WI,child,0,99,0.0
WV,adult,0,99,0.0
WV,child,0,99,0.0
WY,adult,0,99,0.0
WY,child,0,99,0.0
