model,outcome,threshold,bandwidth,donut,fpl_col,post_col,pre_only,coef,se_person_cluster,t_person_cluster,se_state_cluster,t_state_cluster,n_person_months,n_persons,n_state_clusters
placebo_thresholds,market_or_subsidy,3.0,0.5,0.0,monthly_fpl,post_year2021,0,-0.0471,0.0162,-2.91,0.0208,-2.26,"247,214","25,934",52
placebo_thresholds,uninsured,3.0,0.5,0.0,monthly_fpl,post_year2021,0,-0.0017,0.0152,-0.11,0.0151,-0.11,"247,214","25,934",52
placebo_thresholds,market_or_subsidy,3.5,0.5,0.0,monthly_fpl,post_year2021,0,0.0181,0.0141,1.28,0.0138,1.32,"234,957","25,371",52
placebo_thresholds,uninsured,3.5,0.5,0.0,monthly_fpl,post_year2021,0,-0.0255,0.0150,-1.70,0.0147,-1.74,"234,957","25,371",52
placebo_thresholds,market_or_subsidy,4.5,0.5,0.0,monthly_fpl,post_year2021,0,-0.0103,0.0141,-0.73,0.0179,-0.58,"193,558","22,163",52
placebo_thresholds,uninsured,4.5,0.5,0.0,monthly_fpl,post_year2021,0,0.0025,0.0133,0.19,0.0125,0.20,"193,558","22,163",52
placebo_thresholds,market_or_subsidy,5.0,0.5,0.0,monthly_fpl,post_year2021,0,0.0069,0.0130,0.53,0.0128,0.54,"173,160","20,398",52
placebo_thresholds,uninsured,5.0,0.5,0.0,monthly_fpl,post_year2021,0,0.0058,0.0122,0.47,0.0123,0.47,"173,160","20,398",52
pre_arpa_fake_policy,market_or_subsidy,4.0,0.5,0.0,monthly_fpl,fake_post_2019,1,0.0002,0.0164,0.01,0.0155,0.01,"144,245","15,898",52
pre_arpa_fake_policy,source_employer_related,4.0,0.5,0.0,monthly_fpl,fake_post_2019,1,0.0320,0.0237,1.35,0.0264,1.21,"144,245","15,898",52
pre_arpa_fake_policy,uninsured,4.0,0.5,0.0,monthly_fpl,fake_post_2019,1,-0.0138,0.0183,-0.75,0.0253,-0.54,"144,245","15,898",52
pre_arpa_fake_policy,market_or_subsidy,4.0,0.5,0.0,monthly_fpl,fake_post_2020,1,0.0011,0.0186,0.06,0.0160,0.07,"144,245","15,898",52
pre_arpa_fake_policy,source_employer_related,4.0,0.5,0.0,monthly_fpl,fake_post_2020,1,0.0004,0.0277,0.02,0.0335,0.01,"144,245","15,898",52
pre_arpa_fake_policy,uninsured,4.0,0.5,0.0,monthly_fpl,fake_post_2020,1,0.0128,0.0214,0.60,0.0284,0.45,"144,245","15,898",52
main_annual_fpl,direct_purchase,4.0,0.25,0.0,annual_fpl,post_year2021,0,-0.0020,0.0315,-0.06,0.0389,-0.05,"88,000","7,672",52
main_annual_fpl,direct_purchase,4.0,0.5,0.0,annual_fpl,post_year2021,0,-0.0129,0.0234,-0.55,0.0266,-0.49,"165,940","14,011",52
main_annual_fpl,direct_purchase,4.0,0.75,0.0,annual_fpl,post_year2021,0,-0.0189,0.0209,-0.91,0.0243,-0.78,"186,797","17,270",52
main_annual_fpl,market_or_subsidy,4.0,0.25,0.0,annual_fpl,post_year2021,0,-0.0015,0.0315,-0.05,0.0388,-0.04,"88,000","7,672",52
main_annual_fpl,market_or_subsidy,4.0,0.5,0.0,annual_fpl,post_year2021,0,-0.0129,0.0234,-0.55,0.0266,-0.48,"165,940","14,011",52
main_annual_fpl,market_or_subsidy,4.0,0.75,0.0,annual_fpl,post_year2021,0,-0.0196,0.0209,-0.94,0.0243,-0.81,"186,797","17,270",52
main_annual_fpl,source_employer_related,4.0,0.25,0.0,annual_fpl,post_year2021,0,-0.0053,0.0453,-0.12,0.0450,-0.12,"88,000","7,672",52
main_annual_fpl,source_employer_related,4.0,0.5,0.0,annual_fpl,post_year2021,0,0.0243,0.0327,0.74,0.0321,0.76,"165,940","14,011",52
main_annual_fpl,source_employer_related,4.0,0.75,0.0,annual_fpl,post_year2021,0,0.0275,0.0287,0.96,0.0300,0.92,"186,797","17,270",52
main_annual_fpl,uninsured,4.0,0.25,0.0,annual_fpl,post_year2021,0,-0.0204,0.0309,-0.66,0.0427,-0.48,"88,000","7,672",52
main_annual_fpl,uninsured,4.0,0.5,0.0,annual_fpl,post_year2021,0,-0.0424,0.0224,-1.90,0.0323,-1.31,"165,940","14,011",52
main_annual_fpl,uninsured,4.0,0.75,0.0,annual_fpl,post_year2021,0,-0.0349,0.0198,-1.77,0.0264,-1.32,"186,797","17,270",52
lag_current_employer_bw050,market_or_subsidy,4.0,0.5,0.0,monthly_fpl,post_year2021,0,0.0136,0.0064,2.12,0.0078,1.74,"126,551","14,453",52
lag_current_employer_bw050,source_employer_related,4.0,0.5,0.0,monthly_fpl,post_year2021,0,-0.0007,0.0029,-0.24,0.0026,-0.26,"126,551","14,453",52
lag_current_employer_bw050,uninsured,4.0,0.5,0.0,monthly_fpl,post_year2021,0,-0.0011,0.0021,-0.52,0.0019,-0.56,"126,551","14,453",52
