year_month,month,label,url
2021-07,2021-07-01,July 2021,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2021-07_988-Monthly-State-Report.pdf
2021-08,2021-08-01,August 2021,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2021-08_988-Monthly-State-Report.pdf
2021-09,2021-09-01,September 2021,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2021-09_988-Monthly-State-Report.pdf
2021-10,2021-10-01,October 2021,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2021-10_988-Monthly-State-Report.pdf
2021-11,2021-11-01,November 2021,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2021-11_988-Monthly-State-Report.pdf
2021-12,2021-12-01,December 2021,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2021-12_988-Monthly-State-Report.pdf
2022-01,2022-01-01,January 2022,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2022-01_988-Monthly-State-Report.pdf
2022-02,2022-02-01,February 2022,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2022-02_988-Monthly-State-Report.pdf
2022-03,2022-03-01,March 2022,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2022-03_988-Monthly-State-Report.pdf
2022-04,2022-04-01,April 2022,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2022-04_988-Monthly-State-Report.pdf
2022-05,2022-05-01,May 2022,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2022-05_988-Monthly-State-Report.pdf
2022-06,2022-06-01,June 2022,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2022-06_988-Monthly-State-Report.pdf
2022-07,2022-07-01,July 2022,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2022-07_988-Monthly-State-Report.pdf
2022-08,2022-08-01,August 2022,https://988lifeline.org/wp-content/uploads/2022/10/FINAL-2022-08_988-Monthly-State-Report.pdf
2022-09,2022-09-01,September 2022,https://988lifeline.org/wp-content/uploads/2022/12/FINAL-2022-09_988-State-Report.pdf
2022-10,2022-10-01,October 2022,https://988lifeline.org/wp-content/uploads/2022/12/FINAL-2022-10_988-State-Report.pdf
2022-11,2022-11-01,November 2022,https://988lifeline.org/wp-content/uploads/2022/12/FINAL-2022-11_988-State-Report.pdf
2022-12,2022-12-01,December 2022,https://988lifeline.org/wp-content/uploads/2023/01/FINAL-2022-12_988-State-Report-1.pdf
2023-01,2023-01-01,January 2023,https://988lifeline.org/wp-content/uploads/2023/03/FINAL-2023-01_988-State-Report.pdf
2023-02,2023-02-01,February 2023,https://988lifeline.org/wp-content/uploads/2023/03/FINAL-2023-02_988-State-Report.pdf
2023-03,2023-03-01,March 2023,https://988lifeline.org/wp-content/uploads/2023/04/FINAL-2023-03_988-State-Report.pdf
2023-04,2023-04-01,April 2023,https://988lifeline.org/wp-content/uploads/2023/05/FINAL-2023-04_988-State-Report.pdf
2023-05,2023-05-01,May 2023,https://988lifeline.org/wp-content/uploads/2023/06/FINAL-2023-05_988-State-Report.pdf
2023-06,2023-06-01,June 2023,https://988lifeline.org/wp-content/uploads/2023/07/FINAL-2023-06_988-State-Report.pdf
2023-07,2023-07-01,July 2023,https://988lifeline.org/wp-content/uploads/2023/09/FINAL-2023-07_988-State-Report.pdf
2023-08,2023-08-01,August 2023,https://988lifeline.org/wp-content/uploads/2023/09/FINAL-2023-08_988-State-Report.pdf
2023-09,2023-09-01,September 2023,https://988lifeline.org/wp-content/uploads/2023/12/988-In-State-KPI-Report_2023-09-01_to_2023-09-30.pdf
2023-10,2023-10-01,October 2023,https://988lifeline.org/wp-content/uploads/2023/12/988-In-State-KPI-Report_2023-10-01_to_2023-10-31-1.pdf
