model,outcome,term,estimate,std_error_cluster,t_stat,p_value,nobs,n_clusters,r2,design_family,treatment_definition,sample_note
voice georouting launch x ACS mismatch proxy,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.02032798708028632,0.015460853256905483,-1.3148037008375955,0.1945747105583997,2936,51,0.5294283402404896,georouting_mismatch,voice georouting launch x ACS mismatch proxy,state/DC primary sample; national post interacted with ACS proxy
voice georouting nationwide compliance x ACS mismatch proxy,in_state_answer_rate_rescue,post_compliance_x_mismatch,-0.014608068984325645,0.013763870720330165,-1.0613343645220776,0.2936377323854251,2936,51,0.5260735644826228,georouting_mismatch,voice georouting nationwide compliance x ACS mismatch proxy,state/DC primary sample; national post interacted with ACS proxy
fee capacity moderation,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.031834819577201495,0.015497444872520694,-2.0541979557965346,0.04520274170991634,2936,51,0.5396460489229697,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
fee capacity moderation,in_state_answer_rate_rescue,post_launch_x_fee_capacity,0.014069337667428895,0.023324784562477524,0.6031926095498509,0.5491071186130325,2936,51,0.5396460489229697,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
fee capacity moderation,in_state_answer_rate_rescue,post_launch_x_mismatch_x_fee_capacity,0.06516497578775743,0.02166811431127977,3.0074133287101263,0.004116074242373369,2936,51,0.5396460489229697,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
voice georouting launch x ACS mismatch proxy,flowout_to_national_backup_rate,post_launch_x_mismatch,0.011285032768068002,0.011517417596273819,0.9798231829085542,0.33189075750960173,2936,51,0.37935980310788764,georouting_mismatch,voice georouting launch x ACS mismatch proxy,state/DC primary sample; national post interacted with ACS proxy
voice georouting nationwide compliance x ACS mismatch proxy,flowout_to_national_backup_rate,post_compliance_x_mismatch,0.005316336665434483,0.009529536664443032,0.5578798689416874,0.5794158733511097,2936,51,0.37601044578304954,georouting_mismatch,voice georouting nationwide compliance x ACS mismatch proxy,state/DC primary sample; national post interacted with ACS proxy
fee capacity moderation,flowout_to_national_backup_rate,post_launch_x_mismatch,0.019765923914990942,0.01169347640173748,1.6903376922241888,0.0971894313861199,2936,51,0.3910467656815175,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
fee capacity moderation,flowout_to_national_backup_rate,post_launch_x_fee_capacity,-0.0058111339843755615,0.01787003543662196,-0.32518872192421694,0.7463950971408919,2936,51,0.3910467656815175,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
fee capacity moderation,flowout_to_national_backup_rate,post_launch_x_mismatch_x_fee_capacity,-0.04906015084501699,0.0157712576918479,-3.11073167426438,0.0030804698616391235,2936,51,0.3910467656815175,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
voice georouting launch x ACS mismatch proxy,abandoned_in_state_rate,post_launch_x_mismatch,0.008224234606897099,0.004848955118350083,1.696083879137965,0.09608869461120295,2936,51,0.6495285999948182,georouting_mismatch,voice georouting launch x ACS mismatch proxy,state/DC primary sample; national post interacted with ACS proxy
voice georouting nationwide compliance x ACS mismatch proxy,abandoned_in_state_rate,post_compliance_x_mismatch,0.008236114193049454,0.005064109722191468,1.6263696177351619,0.11015799108147872,2936,51,0.6491409405437985,georouting_mismatch,voice georouting nationwide compliance x ACS mismatch proxy,state/DC primary sample; national post interacted with ACS proxy
fee capacity moderation,abandoned_in_state_rate,post_launch_x_mismatch,0.010839032935840815,0.005096919676698708,2.1265850010140426,0.038413126338278536,2936,51,0.6518566384178497,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
fee capacity moderation,abandoned_in_state_rate,post_launch_x_fee_capacity,-0.006052245278630922,0.008017344160415647,-0.7548940344251297,0.4538537653877426,2936,51,0.6518566384178497,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
fee capacity moderation,abandoned_in_state_rate,post_launch_x_mismatch_x_fee_capacity,-0.014161898959296433,0.008151257129799118,-1.7373883235168468,0.08847552082320687,2936,51,0.6518566384178497,georouting_fee_capacity_moderation,post georouting x mismatch x fee-state capacity,fee capacity is endogenous state fee adoption by 2024
voice georouting launch x ACS mismatch proxy,average_speed_to_answer_seconds,post_launch_x_mismatch,2.046600581346572,0.8721567108756214,2.3465972981986702,0.022949111408048672,2936,51,0.617437688751554,georouting_mismatch,voice georouting launch x ACS mismatch proxy,state/DC primary sample; national post interacted with ACS proxy
voice georouting nationwide compliance x ACS mismatch proxy,average_speed_to_answer_seconds,post_compliance_x_mismatch,1.935961425359138,0.8557297883466527,2.2623513306689844,0.028053257524155883,2936,51,0.616100814482219,georouting_mismatch,voice georouting nationwide compliance x ACS mismatch proxy,state/DC primary sample; national post interacted with ACS proxy
