outcome,timing,overall_att,pre_mean_abs_att,att_cells,treated_cohorts,design_family,treatment_definition
in_state_answer_rate_rescue,enacted_start,0.008974358974358974,0.10309857288003883,1,1,fee_timing_sensitivity,enactment date
flowout_to_national_backup_rate,enacted_start,-0.0008834609608568305,0.08169362386754458,1,1,fee_timing_sensitivity,enactment date
abandoned_in_state_rate,enacted_start,-0.002322286440077664,0.021458520472434853,1,1,fee_timing_sensitivity,enactment date
average_speed_to_answer_seconds,enacted_start,0.30769230769230904,2.2652380952380953,1,1,fee_timing_sensitivity,enactment date
in_state_answer_rate_rescue,collection_start_audit,0.023143482822174863,0.040616780845565616,180,7,fee_timing_sensitivity,collection start
flowout_to_national_backup_rate,collection_start_audit,-0.009289496826281123,0.02850047548722779,180,7,fee_timing_sensitivity,collection start
abandoned_in_state_rate,collection_start_audit,-0.01278071100027558,0.016618035199545404,180,7,fee_timing_sensitivity,collection start
average_speed_to_answer_seconds,collection_start_audit,-1.5698351887508506,3.459528058706874,180,7,fee_timing_sensitivity,collection start
in_state_answer_rate_rescue,operational_lag_0m_start,0.023143482822174863,0.040616780845565616,180,7,fee_timing_sensitivity,collection plus 0 months
flowout_to_national_backup_rate,operational_lag_0m_start,-0.009289496826281123,0.02850047548722779,180,7,fee_timing_sensitivity,collection plus 0 months
abandoned_in_state_rate,operational_lag_0m_start,-0.01278071100027558,0.016618035199545404,180,7,fee_timing_sensitivity,collection plus 0 months
average_speed_to_answer_seconds,operational_lag_0m_start,-1.5698351887508506,3.459528058706874,180,7,fee_timing_sensitivity,collection plus 0 months
in_state_answer_rate_rescue,operational_lag_1m_start,0.035010282630262665,0.04103649150453519,208,8,fee_timing_sensitivity,collection plus 1 month
flowout_to_national_backup_rate,operational_lag_1m_start,-0.009337829407080367,0.031696518460689126,208,8,fee_timing_sensitivity,collection plus 1 month
abandoned_in_state_rate,operational_lag_1m_start,-0.02478721180212236,0.022816007631928138,208,8,fee_timing_sensitivity,collection plus 1 month
average_speed_to_answer_seconds,operational_lag_1m_start,-5.696597566075091,3.9003219828436935,208,8,fee_timing_sensitivity,collection plus 1 month
in_state_answer_rate_rescue,operational_lag_3m_start,0.06765463038151011,0.05613316337934212,202,8,fee_timing_sensitivity,collection plus 3 months
flowout_to_national_backup_rate,operational_lag_3m_start,-0.03754735263339221,0.04595979718907802,202,8,fee_timing_sensitivity,collection plus 3 months
abandoned_in_state_rate,operational_lag_3m_start,-0.029027571818353026,0.026189814889613548,202,8,fee_timing_sensitivity,collection plus 3 months
average_speed_to_answer_seconds,operational_lag_3m_start,-4.791736334229485,3.297083514791579,202,8,fee_timing_sensitivity,collection plus 3 months
in_state_answer_rate_rescue,operational_lag_6m_start,0.033311221997335654,0.04140629324969266,193,8,fee_timing_sensitivity,collection plus 6 months
flowout_to_national_backup_rate,operational_lag_6m_start,-0.010903750327671465,0.026367820360273082,193,8,fee_timing_sensitivity,collection plus 6 months
abandoned_in_state_rate,operational_lag_6m_start,-0.02106550510984515,0.023656928705521437,193,8,fee_timing_sensitivity,collection plus 6 months
average_speed_to_answer_seconds,operational_lag_6m_start,-1.9244118630924996,3.9718941183849164,193,8,fee_timing_sensitivity,collection plus 6 months
in_state_answer_rate_rescue,operational_lag_12m_start,0.006583833772455352,0.05634865769144988,166,7,fee_timing_sensitivity,collection plus 12 months
flowout_to_national_backup_rate,operational_lag_12m_start,-0.0033975349701897634,0.027208869336785152,166,7,fee_timing_sensitivity,collection plus 12 months
abandoned_in_state_rate,operational_lag_12m_start,-0.003199724244672269,0.030504648820638226,166,7,fee_timing_sensitivity,collection plus 12 months
average_speed_to_answer_seconds,operational_lag_12m_start,0.47434538565527784,4.549450351625227,166,7,fee_timing_sensitivity,collection plus 12 months
in_state_answer_rate_rescue,first_revenue_positive_start,0.02620681777515297,0.03840202521978882,169,6,fee_timing_sensitivity,first positive annual revenue
flowout_to_national_backup_rate,first_revenue_positive_start,-0.013577992813756054,0.026526880371779648,169,6,fee_timing_sensitivity,first positive annual revenue
abandoned_in_state_rate,first_revenue_positive_start,-0.011352377271443725,0.01677848785524443,169,6,fee_timing_sensitivity,first positive annual revenue
average_speed_to_answer_seconds,first_revenue_positive_start,-1.3979764190612913,3.3361286790817264,169,6,fee_timing_sensitivity,first positive annual revenue
