model,outcome,term,estimate,std_error_cluster,t_stat,p_value,nobs,n_clusters,r2,design_family,treatment_definition
enactment date,in_state_answer_rate_rescue,enacted_active,-0.015664244090952406,0.023725578804103538,-0.6602260041910186,0.5121390206825822,2936,51,0.5237222524415122,fee_timing_sensitivity,enactment date
enactment date,flowout_to_national_backup_rate,enacted_active,0.011258089768033028,0.017421868530723944,0.6462044956991311,0.5211020492492169,2936,51,0.3758164457634994,fee_timing_sensitivity,enactment date
enactment date,abandoned_in_state_rate,enacted_active,0.0058120898667539805,0.012180245627548398,0.4771734531862491,0.6353177951368421,2936,51,0.645757252895852,fee_timing_sensitivity,enactment date
enactment date,average_speed_to_answer_seconds,enacted_active,-1.8471152791533112,3.149077770523113,-0.5865575300944299,0.560139934209607,2936,51,0.6113650538420057,fee_timing_sensitivity,enactment date
collection start,in_state_answer_rate_rescue,collection_start_audit_active,-0.009511017834965378,0.022017501521324787,-0.4319753458744443,0.6676165421567872,2936,51,0.5233622969673623,fee_timing_sensitivity,collection start
collection start,flowout_to_national_backup_rate,collection_start_audit_active,0.012207875458480233,0.018235085684187656,0.6694717902568537,0.5062744264146437,2936,51,0.37594584117655283,fee_timing_sensitivity,collection start
collection start,abandoned_in_state_rate,collection_start_audit_active,-0.0011538090930910314,0.009064258007884157,-0.1272921724080934,0.8992197166603297,2936,51,0.645454137237059,fee_timing_sensitivity,collection start
collection start,average_speed_to_answer_seconds,collection_start_audit_active,-3.1558254255973655,2.6162906190877826,-1.2062212823656806,0.23340883498334764,2936,51,0.613099419790142,fee_timing_sensitivity,collection start
collection plus 0 months,in_state_answer_rate_rescue,operational_lag_0m_active,-0.009511017834965378,0.022017501521324787,-0.4319753458744443,0.6676165421567872,2936,51,0.5233622969673623,fee_timing_sensitivity,collection plus 0 months
collection plus 0 months,flowout_to_national_backup_rate,operational_lag_0m_active,0.012207875458480233,0.018235085684187656,0.6694717902568537,0.5062744264146437,2936,51,0.37594584117655283,fee_timing_sensitivity,collection plus 0 months
collection plus 0 months,abandoned_in_state_rate,operational_lag_0m_active,-0.0011538090930910314,0.009064258007884157,-0.1272921724080934,0.8992197166603297,2936,51,0.645454137237059,fee_timing_sensitivity,collection plus 0 months
collection plus 0 months,average_speed_to_answer_seconds,operational_lag_0m_active,-3.1558254255973655,2.6162906190877826,-1.2062212823656806,0.23340883498334764,2936,51,0.613099419790142,fee_timing_sensitivity,collection plus 0 months
collection plus 1 month,in_state_answer_rate_rescue,operational_lag_1m_active,-0.00495121549290788,0.021049826074514097,-0.2352140808850921,0.8150032777253755,2936,51,0.5232049615065972,fee_timing_sensitivity,collection plus 1 month
collection plus 1 month,flowout_to_national_backup_rate,operational_lag_1m_active,0.010115188151151373,0.017363433048622905,0.5825569242456698,0.5628096619794434,2936,51,0.375712862112182,fee_timing_sensitivity,collection plus 1 month
collection plus 1 month,abandoned_in_state_rate,operational_lag_1m_active,-0.0036364063733609776,0.00896150192958893,-0.4057809061396678,0.6866349069763924,2936,51,0.6455699775482802,fee_timing_sensitivity,collection plus 1 month
collection plus 1 month,average_speed_to_answer_seconds,operational_lag_1m_active,-3.439376510654612,2.610880331169254,-1.3173244555082022,0.1937349260148562,2936,51,0.6136463021692493,fee_timing_sensitivity,collection plus 1 month
collection plus 3 months,in_state_answer_rate_rescue,operational_lag_3m_active,0.006854852203843579,0.020344195540750006,0.33694388112388685,0.737569478457869,2936,51,0.5232630177196612,fee_timing_sensitivity,collection plus 3 months
collection plus 3 months,flowout_to_national_backup_rate,operational_lag_3m_active,0.003288777075999913,0.01599700412803735,0.20558706178213687,0.8379482408007841,2936,51,0.37523027946970267,fee_timing_sensitivity,collection plus 3 months
collection plus 3 months,abandoned_in_state_rate,operational_lag_3m_active,-0.008554514624825342,0.009707594276512918,-0.8812188046962984,0.382415922089816,2936,51,0.6461718857316434,fee_timing_sensitivity,collection plus 3 months
collection plus 3 months,average_speed_to_answer_seconds,operational_lag_3m_active,-3.9573660874855063,2.6467669119927195,-1.4951698502631092,0.14115538607263245,2936,51,0.6147807596835397,fee_timing_sensitivity,collection plus 3 months
collection plus 6 months,in_state_answer_rate_rescue,operational_lag_6m_active,0.016956283744203694,0.02193580231777273,0.7729958311333545,0.44316389653009436,2936,51,0.5238823812860435,fee_timing_sensitivity,collection plus 6 months
collection plus 6 months,flowout_to_national_backup_rate,operational_lag_6m_active,-0.002127371155445496,0.015650741319990856,-0.1359278204111765,0.8924241370383319,2936,51,0.3751966252254224,fee_timing_sensitivity,collection plus 6 months
collection plus 6 months,abandoned_in_state_rate,operational_lag_6m_active,-0.013104787211941119,0.011528593300005314,-1.1367204021270383,0.2610738547210274,2936,51,0.6471917750884979,fee_timing_sensitivity,collection plus 6 months
