horizon_years,weight_variable,SSUID,PNUM,SPANEL,file_year,reference_year,observed_month_count,observed_months,missing_month_count,missing_months,handling
2,FINYR2,00086068888024,107,2024,2024,2023,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
2,FINYR2,03827440605124,104,2024,2024,2023,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
2,FINYR2,03841881082022,301,2022,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
2,FINYR2,03855599527824,103,2024,2024,2023,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
2,FINYR2,03861059790124,106,2024,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,03862541511724,103,2024,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
2,FINYR2,03886068910524,105,2024,2024,2023,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
2,FINYR2,03886082863024,104,2024,2024,2023,2,11|12,10,1|2|3|4|5|6|7|8|9|10,preserved_official_rows_no_imputation
2,FINYR2,29222841801822,301,2022,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,29281633455224,104,2024,2024,2023,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
2,FINYR2,29286055284422,301,2022,2024,2023,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
2,FINYR2,29286082836623,104,2023,2024,2023,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
2,FINYR2,29286093256623,201,2023,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
2,FINYR2,29286098884822,301,2022,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
2,FINYR2,33209260640124,105,2024,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,33228534236022,301,2022,2024,2023,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
2,FINYR2,33228550123323,103,2023,2024,2023,8,5|6|7|8|9|10|11|12,4,1|2|3|4,preserved_official_rows_no_imputation
2,FINYR2,33241804980124,105,2024,2024,2023,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
2,FINYR2,33241827455324,102,2024,2024,2023,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
