check_id,requirement,passed,evidence
required_files,All required source and output files exist,True,[]
manifest_files,Every official-download manifest entry exists locally,True,"entries=34, missing=[]"
manifest_sha256,All archived official files match recorded SHA-256 hashes,True,"checked=34, mismatches=[]"
zip_crc,All downloaded 2025 ZIP archives pass CRC validation,True,"checked=8, failures=[]"
official_urls,Every manifest URL is an official Census URL,True,official=True
schema_count,"The 2025 primary schema has 5,203 unique variables",True,"variables=5203, unique=5203"
schema_name_set,The 2024 and 2025 primary variable-name sets are identical,True,"2024=5203, 2025=5203, symmetric_diff=0"
schema_header_order,The 2025 raw CSV header exactly matches official schema order,True,"header=5203, schema=5203"
official_row_count,The cleaned 2025 extract row count matches Census validation,True,"official=379215, extract=379215"
merged_dimensions,"Merged rows equal frozen historical rows plus 2025 rows, with 97 columns",True,"merged=4430670x97, historical=4051455x96, 2025=379215"
historical_panel_frozen,"The historical replication panel remains the original 4,051,455 x 96 file",True,"rows=4051455, columns=96"
year_coverage,Merged panel covers file years 2018-2025 and reference years 2017-2024,True,"[{""file_year"":2018,""reference_year"":2017,""rows"":763186,""persons"":63915,""months"":12,""states"":51},{""file_year"":2019,""reference_year"":2018,""rows"":593604,""persons"":50212,""months"":12,""states"":51},{""file_year"":2020,""reference_year"":2019,""rows"":622339,""persons"":52572,""months"":12,""states"":51},{""file_year"":2021,""reference_year"":2020,""rows"":670678,""persons"":56872,""months"":12,""states"":51},{""file_year"":2022,""reference_year"":2021,""rows"":487736,""persons"":41070,""months"":12,""states"":51},{""file_year"":2023,""reference_year"":2022,""rows"":476744,""persons"":40263,""months"":12,""states"":51},{""file_year"":2024,""reference_year"":2023,""rows"":437168,""persons"":36915,""months"":12,""states"":51},{""file_year"":2025,""reference_year"":2024,""rows"":379215,""persons"":32052,""months"":12,""states"":51}]"
all_months,Every file year contains all 12 reference months,True,"[{""file_year"":2018,""months"":12},{""file_year"":2019,""months"":12},{""file_year"":2020,""months"":12},{""file_year"":2021,""months"":12},{""file_year"":2022,""months"":12},{""file_year"":2023,""months"":12},{""file_year"":2024,""months"":12},{""file_year"":2025,""months"":12}]"
technical_key_unique,The merged technical person-month key is unique,True,duplicates=0
raw_key_2025_unique,SSUID + PNUM + MONTHCODE is unique within 2025,True,duplicates=0
year_count_audit,Merged row counts by file year equal the build audit,True,"observed={2018: 763186, 2019: 593604, 2020: 622339, 2021: 670678, 2022: 487736, 2023: 476744, 2024: 437168, 2025: 379215}, audited={2018: 763186, 2019: 593604, 2020: 622339, 2021: 670678, 2022: 487736, 2023: 476744, 2024: 437168, 2025: 379215}"
source_only_columns,All 90 nontechnical panel columns are official 2025 Census source variables,True,"source_columns=90, unknown=[]"
no_constructed_outcomes,"No constructed outcome, exposure, or result columns were added",True,Nontechnical fields are a strict subset of the official schema
rpritype1_history,Historical RPRITYPE1 values exactly match the independently built supplement,True,"rows=4051455, missing=0"
rpritype1_2025,RPRITYPE1 is present and nonmissing in the 2025 clean extract,True,"rows=379215, missing=0"
metadata_coverage,Updated enriched metadata covers 2018-2025 and includes the 2025 codebook audit,True,"years=['2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025'], 2025_schema=5203, 2025_codebook_matches=2967"
