file_year,variable_name,rows,missing,missing_rate
2025,SSUID,379215,0,0.0
2025,PNUM,379215,0,0.0
2025,MONTHCODE,379215,0,0.0
2025,TSSSAMT,379215,277997,0.7330854528433738
2025,SHHADID,379215,0,0.0
2025,SPANEL,379215,0,0.0
2025,SWAVE,379215,0,0.0
2025,GHLFSAM,379215,0,0.0
2025,GVARSTR,379215,0,0.0
2025,RFOODR,379215,0,0.0
2025,RFOODS,379215,0,0.0
2025,EMS,379215,57411,0.1513943277560223
2025,ESEX,379215,0,0.0
2025,EORIGIN,379215,0,0.0
2025,ERACE,379215,0,0.0
2025,EEDUC,379215,53116,0.14006829898606332
2025,RSNAP_YRYN,379215,308,0.0008122041585907731
2025,RWIC_YRYN,379215,308,0.0008122041585907731
2025,RTANF_YRYN,379215,308,0.0008122041585907731
2025,RSSI_YRYN,379215,1537,0.0040531097134870716
2025,RDIS,379215,5423,0.014300594649473254
2025,RDIS_ALT,379215,5423,0.014300594649473254
2025,EHLTSTAT,379215,4736,0.012488957451577602
2025,EREFPAR,379215,312668,0.8245137982411034
2025,ERP,379215,57615,0.15193228115976426
2025,EPNSPOUSE,379215,225447,0.5945097108500454
2025,WPFINWGT,379215,0,0.0
2025,ERESIDENCEID,379215,0,0.0
2025,RFAMREF,379215,0,0.0
2025,RFAMNUM,379215,0,0.0
2025,RWKESR1,379215,53116,0.14006829898606332
2025,RWKESR2,379215,53116,0.14006829898606332
2025,RWKESR3,379215,53116,0.14006829898606332
2025,RWKESR4,379215,53116,0.14006829898606332
2025,RWKESR5,379215,270377,0.712991310997719
2025,RMWKWJB,379215,53116,0.14006829898606332
2025,RMESR,379215,53116,0.14006829898606332
2025,ECRMTH,379215,0,0.0
2025,EMD_BMONTH,379215,304238,0.8022836649394143
2025,EMD_EMONTH,379215,304238,0.8022836649394143
2025,EMDMTH,379215,0,0.0
2025,EPRIEXCH1,379215,343944,0.9069894387089118
2025,EPRIEXCH2,379215,377621,0.9957965797766438
2025,EPRIPREM1,379215,343944,0.9069894387089118
2025,EPRIPREM2,379215,377621,0.9957965797766438
2025,EPRISUBS1,379215,350738,0.9249053966747096
2025,EPRISUBS2,379215,377934,0.9966219690676793
2025,EMDEXCH,379215,304258,0.8023364054691929
2025,EMDPREM,379215,304258,0.8023364054691929
2025,EMDSUBS,379215,374435,0.9873950133829095
2025,EUC1MNYN,379215,375261,0.9895731972627665
2025,EUC2MNYN,379215,379083,0.9996519125034611
2025,EUC3MNYN,379215,379167,0.9998734227285313
2025,RSNAP_MNYN,379215,900,0.0023733238400379733
2025,RWIC_MNYN,379215,900,0.0023733238400379733
2025,RTANF_MNYN,379215,900,0.0023733238400379733
2025,RSSI_MNYN,379215,1397,0.0036839260050367207
2025,RPRIMTH,379215,0,0.0
2025,RPRITYPE2,379215,0,0.0
2025,RPUBMTH,379215,0,0.0
2025,RPUBTYPE1,379215,0,0.0
2025,RPUBTYPE2,379215,0,0.0
2025,RPUBTYPE3,379215,0,0.0
2025,RHLTHMTH,379215,0,0.0
2025,RMARKTPLACE,379215,0,0.0
2025,TST_INTV,379215,4736,0.012488957451577602
2025,TEHC_ST,379215,0,0.0
2025,TRESDUR,379215,0,0.0
2025,TMOVER,379215,13729,0.036203736666534814
2025,THHLDSTATUS,379215,0,0.0
2025,TMDPAY,379215,4736,0.012488957451577602
2025,TDAYSICK,379215,57411,0.1513943277560223
2025,THOSPNIT,379215,5955,0.01570349274158459
2025,TVISDENT,379215,11367,0.029975080099679603
2025,TVISDOC,379215,5955,0.01570349274158459
2025,TAGE,379215,0,0.0
2025,TAGE_EHC,379215,0,0.0
2025,TJB1_MSUM,379215,212272,0.5597668868583785
2025,TPEARN,379215,206460,0.5444404889047111
2025,TPTOTINC,379215,55484,0.1463127777118521
2025,TFTOTINC,379215,0,0.0
2025,THTOTINC,379215,0,0.0
2025,TFINCPOV,379215,444,0.0011708397610854001
2025,THINCPOV,379215,163,0.0004298353176957663
2025,TFCYINCPOV,379215,5439,0.014342787073296151
2025,THCYINCPOV,379215,5211,0.013741545033819864
2025,EHISPAN,379215,304594,0.8032224463694738
2025,RDIRECTANN,379215,0,0.0
2025,RMCAIDANN,379215,0,0.0
2025,RPRITYPE1,379215,0,0.0
