alignment_scope,file_year,variable,raw_rows,panel_rows,raw_only_keys,panel_only_keys,value_mismatches_after_float32_cast,max_absolute_difference_before_float32_cast,all_keys_and_values_match
v1.1_corrected_income_fields,2018,TSSSAMT,763186,763186,0,0,0,0.0,True
v1.1_corrected_income_fields,2018,TPTOTINC,763186,763186,0,0,0,0.0,True
v1.1_corrected_income_fields,2018,TFTOTINC,763186,763186,0,0,0,0.0,True
v1.1_corrected_income_fields,2018,THTOTINC,763186,763186,0,0,0,0.0,True
v1.1_corrected_income_fields,2018,TFINCPOV,763186,763186,0,0,0,0.0,True
v1.1_corrected_income_fields,2018,THINCPOV,763186,763186,0,0,0,0.0,True
v1.1_corrected_income_fields,2018,TFCYINCPOV,763186,763186,0,0,0,0.0,True
v1.1_corrected_income_fields,2018,THCYINCPOV,763186,763186,0,0,0,0.0,True
v1.1_corrected_income_fields,2019,TSSSAMT,593604,593604,0,0,0,0.0,True
v1.1_corrected_income_fields,2019,TPTOTINC,593604,593604,0,0,0,0.0,True
v1.1_corrected_income_fields,2019,TFTOTINC,593604,593604,0,0,0,0.0,True
v1.1_corrected_income_fields,2019,THTOTINC,593604,593604,0,0,0,0.0,True
v1.1_corrected_income_fields,2019,TFINCPOV,593604,593604,0,0,0,0.0,True
v1.1_corrected_income_fields,2019,THINCPOV,593604,593604,0,0,0,0.0,True
v1.1_corrected_income_fields,2019,TFCYINCPOV,593604,593604,0,0,0,0.0,True
v1.1_corrected_income_fields,2019,THCYINCPOV,593604,593604,0,0,0,0.0,True
v1.1_corrected_income_fields,2020,TSSSAMT,622339,622339,0,0,0,0.0,True
v1.1_corrected_income_fields,2020,TPTOTINC,622339,622339,0,0,0,0.0,True
v1.1_corrected_income_fields,2020,TFTOTINC,622339,622339,0,0,0,0.0,True
v1.1_corrected_income_fields,2020,THTOTINC,622339,622339,0,0,0,0.0,True
v1.1_corrected_income_fields,2020,TFINCPOV,622339,622339,0,0,0,0.0,True
v1.1_corrected_income_fields,2020,THINCPOV,622339,622339,0,0,0,0.0,True
v1.1_corrected_income_fields,2020,TFCYINCPOV,622339,622339,0,0,0,0.0,True
v1.1_corrected_income_fields,2020,THCYINCPOV,622339,622339,0,0,0,0.0,True
v1.1_corrected_income_fields,2021,TSSSAMT,670678,670678,0,0,0,0.0,True
v1.1_corrected_income_fields,2021,TPTOTINC,670678,670678,0,0,0,0.0,True
v1.1_corrected_income_fields,2021,TFTOTINC,670678,670678,0,0,0,0.0,True
v1.1_corrected_income_fields,2021,THTOTINC,670678,670678,0,0,0,0.0,True
v1.1_corrected_income_fields,2021,TFINCPOV,670678,670678,0,0,0,0.0,True
v1.1_corrected_income_fields,2021,THINCPOV,670678,670678,0,0,0,0.0,True
v1.1_corrected_income_fields,2021,TFCYINCPOV,670678,670678,0,0,0,0.0,True
v1.1_corrected_income_fields,2021,THCYINCPOV,670678,670678,0,0,0,0.0,True
