file_year,variable_name,rows,missing,missing_rate
2018,ECRMTH,763186,0,0.0
2018,EEDUC,763186,137290,0.1798906164421255
2018,EHLTSTAT,763186,0,0.0
2018,EMDEXCH,763186,616609,0.8079406592888234
2018,EMDMTH,763186,0,0.0
2018,EMDPREM,763186,616609,0.8079406592888234
2018,EMDSUBS,763186,753523,0.9873386042196791
2018,EMD_BMONTH,763186,616609,0.8079406592888234
2018,EMD_EMONTH,763186,616609,0.8079406592888234
2018,EMS,763186,137290,0.1798906164421255
2018,EORIGIN,763186,0,0.0
2018,EPNSPOUSE,763186,462250,0.6056845906502478
2018,EPRIEXCH1,763186,698927,0.9158016525460373
2018,EPRIEXCH2,763186,760159,0.9960337322749632
2018,EPRIPREM1,763186,698927,0.9158016525460373
2018,EPRIPREM2,763186,760159,0.9960337322749632
2018,EPRISUBS1,763186,706118,0.9252239951990734
2018,EPRISUBS2,763186,760429,0.9963875123495451
2018,ERACE,763186,0,0.0
2018,EREFPAR,763186,592908,0.7768853202233793
2018,ERESIDENCEID,763186,0,0.0
2018,ERP,763186,140722,0.18438755427903553
2018,ESEX,763186,0,0.0
2018,EUC1MNYN,763186,755482,0.989905475205258
2018,EUC2MNYN,763186,762142,0.9986320503782826
2018,EUC3MNYN,763186,763102,0.9998899350879078
2018,GHLFSAM,763186,0,0.0
2018,GVARSTR,763186,0,0.0
2018,MONTHCODE,763186,0,0.0
2018,PNUM,763186,0,0.0
2018,RDIS,763186,1826,0.002392601541432888
2018,RDIS_ALT,763186,1826,0.002392601541432888
2018,RFAMNUM,763186,0,0.0
2018,RFAMREF,763186,0,0.0
2018,RFOODR,763186,0,0.0
2018,RFOODS,763186,0,0.0
2018,RHLTHMTH,763186,0,0.0
2018,RMARKTPLACE,763186,0,0.0
2018,RMESR,763186,137290,0.1798906164421255
2018,RMWKWJB,763186,137290,0.1798906164421255
2018,RPRIMTH,763186,0,0.0
2018,RPRITYPE2,763186,0,0.0
2018,RPUBMTH,763186,0,0.0
2018,RPUBTYPE1,763186,0,0.0
