alignment_scope,file_year,variable,raw_rows,panel_rows,raw_only_keys,panel_only_keys,value_mismatches_after_float32_cast,max_absolute_difference_before_float32_cast,all_keys_and_values_match
health_source_fields,2018,ECRMTH,763186,763186,0,0,0,0.0,True
health_source_fields,2018,EMDMTH,763186,763186,0,0,0,0.0,True
health_source_fields,2018,RPUBTYPE1,763186,763186,0,0,0,0.0,True
health_source_fields,2018,RPUBTYPE2,763186,763186,0,0,0,0.0,True
health_source_fields,2018,RPRIMTH,763186,763186,0,0,0,0.0,True
health_source_fields,2018,RPUBMTH,763186,763186,0,0,0,0.0,True
health_source_fields,2018,RHLTHMTH,763186,763186,0,0,0,0.0,True
health_source_fields,2019,ECRMTH,593604,593604,0,0,0,0.0,True
health_source_fields,2019,EMDMTH,593604,593604,0,0,0,0.0,True
health_source_fields,2019,RPUBTYPE1,593604,593604,0,0,0,0.0,True
health_source_fields,2019,RPUBTYPE2,593604,593604,0,0,0,0.0,True
health_source_fields,2019,RPRIMTH,593604,593604,0,0,0,0.0,True
health_source_fields,2019,RPUBMTH,593604,593604,0,0,0,0.0,True
health_source_fields,2019,RHLTHMTH,593604,593604,0,0,0,0.0,True
health_source_fields,2020,ECRMTH,622339,622339,0,0,0,0.0,True
health_source_fields,2020,EMDMTH,622339,622339,0,0,0,0.0,True
health_source_fields,2020,RPUBTYPE1,622339,622339,0,0,0,0.0,True
health_source_fields,2020,RPUBTYPE2,622339,622339,0,0,0,0.0,True
health_source_fields,2020,RPRIMTH,622339,622339,0,0,0,0.0,True
health_source_fields,2020,RPUBMTH,622339,622339,0,0,0,0.0,True
health_source_fields,2020,RHLTHMTH,622339,622339,0,0,0,0.0,True
health_source_fields,2021,ECRMTH,670678,670678,0,0,0,0.0,True
health_source_fields,2021,EMDMTH,670678,670678,0,0,0,0.0,True
health_source_fields,2021,RPUBTYPE1,670678,670678,0,0,0,0.0,True
health_source_fields,2021,RPUBTYPE2,670678,670678,0,0,0,0.0,True
health_source_fields,2021,RPRIMTH,670678,670678,0,0,0,0.0,True
health_source_fields,2021,RPUBMTH,670678,670678,0,0,0,0.0,True
health_source_fields,2021,RHLTHMTH,670678,670678,0,0,0,0.0,True
health_source_fields,2022,ECRMTH,487736,487736,0,0,0,0.0,True
health_source_fields,2022,EMDMTH,487736,487736,0,0,0,0.0,True
health_source_fields,2022,RPUBTYPE1,487736,487736,0,0,0,0.0,True
health_source_fields,2022,RPUBTYPE2,487736,487736,0,0,0,0.0,True
health_source_fields,2022,RPRIMTH,487736,487736,0,0,0,0.0,True
health_source_fields,2022,RPUBMTH,487736,487736,0,0,0,0.0,True
health_source_fields,2022,RHLTHMTH,487736,487736,0,0,0,0.0,True
health_source_fields,2023,ECRMTH,476744,476744,0,0,0,0.0,True
health_source_fields,2023,EMDMTH,476744,476744,0,0,0,0.0,True
health_source_fields,2023,RPUBTYPE1,476744,476744,0,0,0,0.0,True
health_source_fields,2023,RPUBTYPE2,476744,476744,0,0,0,0.0,True
health_source_fields,2023,RPRIMTH,476744,476744,0,0,0,0.0,True
health_source_fields,2023,RPUBMTH,476744,476744,0,0,0,0.0,True
health_source_fields,2023,RHLTHMTH,476744,476744,0,0,0,0.0,True
