model,outcome,relative_year,term,coef,se,t,n_household_years,n_households,n_states
snap_ea_household_lag_snap_event,food_insecure,-3,target_snap_rel_m3,-0.05156471732912982,0.043716230333155366,-1.179532565735019,19435,19449,51
snap_ea_household_lag_snap_event,food_insecure,-2,target_snap_rel_m2,0.021601068137695356,0.04509422961555312,0.4790206712001371,19435,19449,51
snap_ea_household_lag_snap_event,food_insecure,0,target_snap_rel_p0,0.05809773347836808,0.05246343892650478,1.1073946860356656,19435,19449,51
snap_ea_household_lag_snap_event,food_insecure,1,target_snap_rel_p1,0.09041017230503878,0.07588956882156316,1.1913385951317959,19435,19449,51
snap_ea_household_lag_snap_event,very_low_food,-3,target_snap_rel_m3,-0.05287294736765241,0.032697711692103955,-1.617022862808485,19435,19449,51
snap_ea_household_lag_snap_event,very_low_food,-2,target_snap_rel_m2,0.03609724163571906,0.03347518684364588,1.0783283093928688,19435,19449,51
snap_ea_household_lag_snap_event,very_low_food,0,target_snap_rel_p0,0.037472445033937124,0.041358186098016704,0.9060466275075367,19435,19449,51
snap_ea_household_lag_snap_event,very_low_food,1,target_snap_rel_p1,-0.01904279629292005,0.06723964717329992,-0.28320785568431306,19435,19449,51
snap_ea_household_lag_snap_event,food_score,-3,target_snap_rel_m3,-0.3466305636355058,0.19623346780223028,-1.7664191919843666,19435,19449,51
snap_ea_household_lag_snap_event,food_score,-2,target_snap_rel_m2,0.08150314776376988,0.19613693534715415,0.41554206819594036,19435,19449,51
snap_ea_household_lag_snap_event,food_score,0,target_snap_rel_p0,0.12490763175603764,0.23959606375494738,0.521325892414451,19435,19449,51
snap_ea_household_lag_snap_event,food_score,1,target_snap_rel_p1,-0.002993157271929725,0.3530011915790394,-0.008479170448521096,19435,19449,51
snap_ea_household_lag_snap_event,snap_any,-3,target_snap_rel_m3,0.0018534063489722419,0.035903935266995354,0.05162125920709264,19435,19449,51
snap_ea_household_lag_snap_event,snap_any,-2,target_snap_rel_m2,0.006347745214110412,0.03241691274416782,0.19581584662939397,19435,19449,51
snap_ea_household_lag_snap_event,snap_any,0,target_snap_rel_p0,-0.010018798294547104,0.04193021292185885,-0.23893983827885965,19435,19449,51
snap_ea_household_lag_snap_event,snap_any,1,target_snap_rel_p1,-0.05821341684554282,0.05605052366316105,-1.0385882778790758,19435,19449,51
