panel,exposure,year,oct_dec,exposed,rows,persons,states,weighted_uninsured,weighted_direct_market,weighted_oop_any
monthly,student_debt_prev,2019,0,0,53074,6932,49,0.1389533555042744,0.13913013380573697,0.5979395766820498
monthly,student_debt_prev,2019,0,1,9551,1259,41,0.09743441288169886,0.09068646638314476,0.6927844135745609
monthly,student_debt_prev,2019,1,0,19464,6578,48,0.1419806440480887,0.1372182956372071,0.6051451361921641
monthly,student_debt_prev,2019,1,1,3570,1211,41,0.08841354620811777,0.08306461721918933,0.7010542951003818
monthly,student_debt_prev,2020,0,0,75055,9893,51,0.13413786728091412,0.139015402287766,0.5518659132760544
monthly,student_debt_prev,2020,0,1,14467,1918,44,0.08603311588253497,0.1013363918284501,0.6762276639843149
monthly,student_debt_prev,2020,1,0,27482,9288,51,0.13523866120460676,0.13963482196317104,0.557287887784559
monthly,student_debt_prev,2020,1,1,5380,1826,47,0.08236732910645497,0.1095726662623794,0.6832767475895835
monthly,student_debt_prev,2021,0,0,33464,4432,48,0.12284506989302889,0.15726725748586529,0.5745497596976566
monthly,student_debt_prev,2021,0,1,6148,820,41,0.06944503371652622,0.10336532147545588,0.6419441952250136
monthly,student_debt_prev,2021,1,0,12320,4184,48,0.118433093875657,0.15956007825428298,0.5795556978534016
monthly,student_debt_prev,2021,1,1,2272,778,41,0.06707858695697311,0.10522302479041307,0.6606047906331967
monthly,student_debt_prev,2022,0,0,56185,7404,48,0.11863613488227794,0.15623940298658687,0.5769109953597342
monthly,student_debt_prev,2022,0,1,9455,1255,44,0.06601317576723777,0.1273083151701419,0.7016727472219492
monthly,student_debt_prev,2022,1,0,20741,7033,48,0.11727242301963846,0.1578314100575247,0.5819187413277814
monthly,student_debt_prev,2022,1,1,3540,1205,44,0.06634422116788989,0.1281857992292662,0.7151137583950342
monthly,student_debt_prev,2023,0,0,48640,6401,44,0.11440475663983568,0.16894675215284236,0.5992524697227722
monthly,student_debt_prev,2023,0,1,7666,1024,44,0.05855001743999847,0.14011142228228785,0.7296786018749123
monthly,student_debt_prev,2023,1,0,18011,6121,44,0.11327017922523881,0.1694451964498444,0.6037045255794532
monthly,student_debt_prev,2023,1,1,2859,974,43,0.056998624747363134,0.1304249181949012,0.741108927809586
monthly,student_debt_10k_prev,2019,0,0,56707,7409,49,0.1374965236240985,0.13563798906032878,0.5996493600812213
monthly,student_debt_10k_prev,2019,0,1,5918,782,39,0.0840080528248428,0.090378310770609,0.7373204190025072
monthly,student_debt_10k_prev,2019,1,0,20825,7042,48,0.1395891684821259,0.13383551412903386,0.6071114760651923
monthly,student_debt_10k_prev,2019,1,1,2209,747,38,0.07501786331899092,0.0777195543275409,0.7447052522056081
monthly,student_debt_10k_prev,2020,0,0,80492,10605,51,0.13036187377016376,0.13809425245788126,0.5596603968023909
monthly,student_debt_10k_prev,2020,0,1,9030,1206,42,0.08818837448503182,0.08630009840232539,0.6868123634973802
monthly,student_debt_10k_prev,2020,1,0,29512,9979,51,0.13056494602087157,0.13891162886144545,0.5645333646063645
monthly,student_debt_10k_prev,2020,1,1,3350,1135,46,0.08782324795275019,0.09705835577059316,0.701695940533179
monthly,student_debt_10k_prev,2021,0,0,35740,4740,48,0.11952289237462914,0.1548651589905547,0.577002528807216
monthly,student_debt_10k_prev,2021,0,1,3872,512,40,0.06647126644820565,0.09223002722442107,0.6605745228063529
monthly,student_debt_10k_prev,2021,1,0,13134,4462,48,0.11505241967652483,0.15867120974664448,0.5841986671178794
monthly,student_debt_10k_prev,2021,1,1,1458,500,39,0.06628946511181219,0.08244187750787693,0.667503845285447
monthly,student_debt_10k_prev,2022,0,0,59259,7811,49,0.11676814156588056,0.15500419878962848,0.5825770222850266
monthly,student_debt_10k_prev,2022,0,1,6381,848,43,0.05707112058110417,0.1240486711352501,0.7130296908580693
monthly,student_debt_10k_prev,2022,1,0,21887,7421,49,0.11632442149250657,0.15593858304301636,0.5889337010743504
monthly,student_debt_10k_prev,2022,1,1,2394,817,43,0.05069450265644923,0.12962210413626196,0.7203733511470185
monthly,student_debt_10k_prev,2023,0,0,51364,6766,45,0.11298143071432848,0.16598565429584608,0.6049370854983778
monthly,student_debt_10k_prev,2023,0,1,4942,659,43,0.042021102887228955,0.15275470943900293,0.7458173386671307
monthly,student_debt_10k_prev,2023,1,0,19025,6465,45,0.1109119935301241,0.16676704347791488,0.6092892271481346
monthly,student_debt_10k_prev,2023,1,1,1845,630,42,0.048889075510533994,0.13449513778007596,0.7625238801745394
monthly,student_debt_25k_prev,2019,0,0,58851,7694,49,0.1357079017825688,0.13303815716237807,0.604396313512337
monthly,student_debt_25k_prev,2019,0,1,3774,497,38,0.07822234483752759,0.1008244006994691,0.7501880238163401
monthly,student_debt_25k_prev,2019,1,0,21632,7316,48,0.1370561456555773,0.130930903253601,0.6116939587690141
monthly,student_debt_25k_prev,2019,1,1,1402,473,38,0.07227802131878058,0.08530789625559891,0.7620979364854782
monthly,student_debt_25k_prev,2020,0,0,83735,11037,51,0.1288551436866139,0.1356937036825158,0.5638756416337021
monthly,student_debt_25k_prev,2020,0,1,5787,774,41,0.08554867449871582,0.09026515404343453,0.6990616651159708
monthly,student_debt_25k_prev,2020,1,0,30703,10382,51,0.12906599395829976,0.1370752138181302,0.5690607054101732
monthly,student_debt_25k_prev,2020,1,1,2159,732,43,0.08484657685887467,0.09885043109635726,0.7148613886478699
monthly,student_debt_25k_prev,2021,0,0,37143,4925,48,0.11870599820340982,0.15271080822839053,0.5797904575153878
monthly,student_debt_25k_prev,2021,0,1,2469,327,34,0.04707046538103263,0.08612392906502815,0.669943646595352
monthly,student_debt_25k_prev,2021,1,0,13673,4647,48,0.11470389094804379,0.15546731659543112,0.5872520858108214
monthly,student_debt_25k_prev,2021,1,1,919,315,33,0.04149730573453049,0.08017285099945964,0.6761291849840411
monthly,student_debt_25k_prev,2022,0,0,61444,8103,49,0.11494520803130578,0.15481936274835012,0.5863769693491867
monthly,student_debt_25k_prev,2022,0,1,4196,556,43,0.049285712556460325,0.11046202128087557,0.7323485147382438
monthly,student_debt_25k_prev,2022,1,0,22713,7702,49,0.11355825093800524,0.15622830755339076,0.5929276946383386
monthly,student_debt_25k_prev,2022,1,1,1568,536,43,0.051143287497410046,0.11237368847673163,0.7387345060450035
monthly,student_debt_25k_prev,2023,0,0,53189,7008,45,0.11006979417402472,0.16663658754071506,0.6089677155506361
monthly,student_debt_25k_prev,2023,0,1,3117,417,41,0.04614004505983897,0.13483512909655648,0.7650328229142438
monthly,student_debt_25k_prev,2023,1,0,19718,6704,45,0.10850184909286452,0.1672879746115195,0.6141095795470756
