sample,outcome,pre_lead_mean_coef,transition_june_coef,post_mean_coef,max_abs_pre_lead_t,persons,early_persons,control_persons
at_risk_broad,direct_purchase,0.002319912063687767,0.0015813029276702238,0.0017798538818892934,1.946611095277932,3810,1715,2138
at_risk_broad,doctor_any,0.0,0.0,0.0,,3810,1715,2138
at_risk_broad,earnings_positive,-0.003979456050738889,-0.0004828616220552942,-4.991721807017955e-05,0.992326184874371,3810,1715,2138
at_risk_broad,employed_any_week,-0.0006165759970695328,-0.0008263595348582642,-0.00024304885350466565,1.0059455087121325,3810,1715,2138
at_risk_broad,medicaid,-0.0038444393088018273,0.0005152499455007447,-0.0003806958920663406,2.1413825316317165,3810,1715,2138
at_risk_broad,no_job_all_month,0.0006165759970695395,0.000826359534858266,0.0002430488535046639,1.0059455087121343,3810,1715,2138
at_risk_broad,oop_any,0.0,0.0,0.0,,3810,1715,2138
at_risk_broad,private,-0.003213698262387824,0.002423468178337976,0.004896347591958279,1.5128047268593903,3810,1715,2138
at_risk_broad,sick_days_any,0.0,0.0,0.0,,3810,1715,2138
at_risk_broad,snap,-0.002388268700262812,-0.0007525167585377187,-0.004839496393832967,2.063654517918053,3810,1715,2138
at_risk_broad,ssi,-0.001170581047462621,2.6062653489686608e-05,2.776503195208303e-05,2.001449355096339,3810,1715,2138
at_risk_broad,tanf,-0.0005630629889505117,0.0010695840985411747,0.0005356976402945435,1.28287146724158,3810,1715,2138
at_risk_broad,uc_any,-0.013542756521514062,0.0016913478380605976,0.004119928919200294,3.059332518631707,3810,1715,2138
at_risk_broad,uninsured,0.009738059910434652,0.00046148164683896577,-0.0008715987394373043,3.6173350831193254,3810,1715,2138
at_risk_nonemployment,direct_purchase,0.001617428990276079,0.0017560512851741243,0.0020137220298872423,1.6731965485819882,3510,1633,1920
at_risk_nonemployment,doctor_any,0.0,0.0,0.0,,3510,1633,1920
at_risk_nonemployment,earnings_positive,-0.005140738641212931,-0.002596572856916828,-0.006127847437699897,0.9787069482792061,3510,1633,1920
at_risk_nonemployment,employed_any_week,0.0001561370543254071,-0.002341956894157283,-0.00530342941616564,0.9477219205463281,3510,1633,1920
at_risk_nonemployment,medicaid,-0.0029693649423590345,0.0008717486246208762,0.0003862555361071568,1.8090185839041626,3510,1633,1920
at_risk_nonemployment,no_job_all_month,-0.00015613705432536572,0.0023419568941573125,0.005303429416165666,0.9477219205463313,3510,1633,1920
at_risk_nonemployment,oop_any,0.0,0.0,0.0,,3510,1633,1920
at_risk_nonemployment,private,-0.0020212194180487353,0.0031732509699543736,0.0056541257873272644,1.1147533790294621,3510,1633,1920
at_risk_nonemployment,sick_days_any,0.0,0.0,0.0,,3510,1633,1920
at_risk_nonemployment,snap,-0.0033156453189029053,-0.00026078455331536446,-0.004780052407855338,2.2121942145873077,3510,1633,1920
at_risk_nonemployment,ssi,-0.001226806578288841,2.8715628338057812e-05,3.062736283652751e-05,2.0024647203821564,3510,1633,1920
at_risk_nonemployment,tanf,-0.00026526380794619195,0.0011338775094824802,0.0005581265874289795,0.792004858209122,3510,1633,1920
at_risk_nonemployment,uc_any,-0.0055017784107516616,4.597621240783989e-05,-0.0034245726286596598,1.6079938534758265,3510,1633,1920
at_risk_nonemployment,uninsured,0.008946021637945823,0.001078133164229592,-0.0005698449838583627,3.16344858565727,3510,1633,1920
at_risk_uc,direct_purchase,0.010786504789029622,-0.004577417967949159,-0.004583286269678719,2.227386078260773,624,183,446
at_risk_uc,doctor_any,0.0,0.0,0.0,,624,183,446
at_risk_uc,earnings_positive,0.014508437666484334,0.049643760255224594,0.056354930786924454,0.9893954420204129,624,183,446
at_risk_uc,employed_any_week,0.016642585671174583,0.049517107825839776,0.06302681547671243,1.008414320107577,624,183,446
at_risk_uc,medicaid,-0.011947056019763364,-0.004963916981333596,-0.007302994657964915,1.6510042151578255,624,183,446
at_risk_uc,no_job_all_month,-0.016642585671174607,-0.049517107825839776,-0.06302681547671246,1.0084143201075777,624,183,446
at_risk_uc,oop_any,0.0,0.0,0.0,,624,183,446
at_risk_uc,private,-0.0032812616940297717,0.017368172436233904,0.01387173716841851,0.5734965465265455,624,183,446
at_risk_uc,sick_days_any,0.0,0.0,0.0,,624,183,446
at_risk_uc,snap,0.008960465506329264,-0.011106466245721798,-0.0154089995192442,0.8104267072820677,624,183,446
at_risk_uc,ssi,0.0,0.0,0.0,,624,183,446
at_risk_uc,tanf,-0.0014410838177837798,9.273297448504289e-05,9.85030843925188e-05,1.288822798082508,624,183,446
at_risk_uc,uc_any,-0.018416476404146676,-0.033629628046481536,-0.10678911992235993,0.9759998044480647,624,183,446
at_risk_uc,uninsured,0.02740087472649368,-0.0056006795240575846,0.0035080866456238917,2.3015387769547577,624,183,446
