model,post,above,person_months,persons,uninsured,any_coverage,employer_private,direct_purchase,marketplace_flag,market_or_subsidy,private,public,medicaid
monthly_fpl_age26_64_postyear_bw050,0,0,75922,10628,0.11293628645531364,0.8870637135446864,0.6706213827401717,0.09833180323205595,0.06877520271767223,0.0991673055565737,0.8295757068110604,0.08210533952333327,0.05703077997125946
monthly_fpl_age26_64_postyear_bw050,0,1,69184,9892,0.09566937125489941,0.9043306287451006,0.6945984320698531,0.09022825432788048,0.06400608260050424,0.09093675684472108,0.8606877556502166,0.07089189802016607,0.04755111683063486
monthly_fpl_age26_64_postyear_bw050,1,0,38834,6173,0.1102039543009707,0.8897960456990293,0.648045460116274,0.12157855617975005,0.1000196674739847,0.12278243418280813,0.8102265815038961,0.11381998591451901,0.08590952659991803
monthly_fpl_age26_64_postyear_bw050,1,1,33670,5562,0.08607092137441219,0.9139290786255878,0.7052446078531622,0.10545199077985336,0.08164980629726142,0.1057648839209477,0.8469977070390481,0.09309748752545453,0.07289429240654685
monthly_fpl_age21_64_postyear_bw050,0,0,84618,12046,0.11600213706515097,0.883997862934849,0.6691986102325598,0.09933213349940237,0.06802713974362617,0.1001387317456694,,,
monthly_fpl_age21_64_postyear_bw050,0,1,76143,11125,0.09891654108475323,0.9010834589152468,0.6881920745027903,0.09449394423285766,0.06670274556993275,0.09514923620414299,,,
monthly_fpl_age21_64_postyear_bw050,1,0,43147,6991,0.11204741758050346,0.8879525824194966,0.6393782760024412,0.12607709140446027,0.1037441042857914,0.12717395179291005,,,
monthly_fpl_age21_64_postyear_bw050,1,1,37604,6281,0.08651127900256193,0.913488720997438,0.7027533956832435,0.10844942189804532,0.0846642074631955,0.10956505843153906,,,
monthly_fpl_age26_64_postapr2021_bw050,0,0,78990,11733,0.11295358479409436,0.8870464152059057,0.6697500454569308,0.09952947899687832,0.07045463374528443,0.10033636418831614,,,
monthly_fpl_age26_64_postapr2021_bw050,0,1,72196,11026,0.0963740744898808,0.9036259255101192,0.693573524045002,0.09124363131090815,0.06516718883021194,0.09194877991734392,,,
monthly_fpl_age26_64_postapr2021_bw050,1,0,35766,5918,0.10996004294131359,0.8900399570586864,0.6475320532415101,0.12166231948184425,0.10002901937118228,0.12293800434390056,,,
monthly_fpl_age26_64_postapr2021_bw050,1,1,30658,5273,0.08406940450798162,0.9159305954920184,0.7078496093312425,0.10525080594301875,0.08144144982022296,0.10553247770353827,,,
annual_fpl_age26_64_postyear_bw050,0,0,77285,5693,0.11374465447705072,0.8862553455229493,0.671552261191914,0.0973638317171816,0.06795677773836076,0.09846041299521299,,,
annual_fpl_age26_64_postyear_bw050,0,1,71308,5310,0.09651541732388866,0.9034845826761113,0.6945862407257799,0.097041706621753,0.06513200304716271,0.09746457862599663,,,
annual_fpl_age26_64_postyear_bw050,1,0,39385,3033,0.12036229667164845,0.8796377033283516,0.6262306228818625,0.12888921318621077,0.10821897275887256,0.1303973554808412,,,
annual_fpl_age26_64_postyear_bw050,1,1,34699,2665,0.0890940616519889,0.9109059383480111,0.7094973102807998,0.09956407047958186,0.07700417494392656,0.09956407047958186,,,
