model,outcome,relative_year,term,coef,se,t,n_person_years,n_persons,n_states
snap_ea_early_end_lag_snap_event,food_insecure,-3,target_snap_rel_m3,-0.054675264664105216,0.039907422890281,-1.3700525041275156,27622,18831,50
snap_ea_early_end_lag_snap_event,food_insecure,-2,target_snap_rel_m2,0.028901356436119907,0.04160020373023249,0.6947407427025691,27622,18831,50
snap_ea_early_end_lag_snap_event,food_insecure,0,target_snap_rel_p0,0.06042140932147788,0.049752250273037285,1.2144457585313007,27622,18831,50
snap_ea_early_end_lag_snap_event,food_insecure,1,target_snap_rel_p1,0.04985870917815283,0.07264842186434718,0.6863013386753472,27622,18831,50
snap_ea_early_end_lag_snap_event,very_low_food,-3,target_snap_rel_m3,-0.06050368322940386,0.029686728156575384,-2.0380717912156565,27622,18831,50
snap_ea_early_end_lag_snap_event,very_low_food,-2,target_snap_rel_m2,0.025083210814439982,0.03181212463491852,0.7884795845074568,27622,18831,50
snap_ea_early_end_lag_snap_event,very_low_food,0,target_snap_rel_p0,0.010428369464069331,0.03906691902282395,0.26693606060863917,27622,18831,50
snap_ea_early_end_lag_snap_event,very_low_food,1,target_snap_rel_p1,-0.03222466494777454,0.06785550075328481,-0.47490129156868066,27622,18831,50
snap_ea_early_end_lag_snap_event,food_score,-3,target_snap_rel_m3,-0.4034512177277847,0.17791660900102704,-2.267642239772318,27622,18831,50
snap_ea_early_end_lag_snap_event,food_score,-2,target_snap_rel_m2,0.05437034552345432,0.1851737136559284,0.29361805436639865,27622,18831,50
snap_ea_early_end_lag_snap_event,food_score,0,target_snap_rel_p0,0.050153850784668386,0.227079901582048,0.22086433204898545,27622,18831,50
snap_ea_early_end_lag_snap_event,food_score,1,target_snap_rel_p1,-0.13059892255957983,0.3484428269874346,-0.37480732115713616,27622,18831,50
snap_ea_early_end_lag_snap_event,snap_any,-3,target_snap_rel_m3,-0.05158961455378841,0.035448886689778004,-1.45532397125083,27622,18831,50
snap_ea_early_end_lag_snap_event,snap_any,-2,target_snap_rel_m2,-0.02151047855646082,0.03329264353764995,-0.6461030507275601,27622,18831,50
snap_ea_early_end_lag_snap_event,snap_any,0,target_snap_rel_p0,-0.015288904596888031,0.041564318763095826,-0.3678372472319397,27622,18831,50
snap_ea_early_end_lag_snap_event,snap_any,1,target_snap_rel_p1,-0.06559134413303358,0.05999587526659186,-1.0932642259418375,27622,18831,50
