model,outcome,term,coef,se_hc1,t_hc1,state_clustered_se,state_clustered_t,n_person_months,n_persons,n_states,weighted_mean
age26_64_postyear,uninsured,nonexp_target_post,0.017498044143897058,0.011421068003328318,1.5320847523889878,0.03202030729667824,0.5464670898305929,165194,17054,48,0.26175246966838006
age26_64_postyear,any_coverage,nonexp_target_post,-0.01749804414507323,0.011421068003327288,-1.5320847524921086,0.032020307296562085,-0.5464670898693073,165194,17054,48,0.7382475303316199
age26_64_postyear,direct_purchase,nonexp_target_post,0.01670341450467576,0.01025067980576983,1.6294933429950529,0.042492556304143836,0.39309036587772567,165194,17054,48,0.2187833874070811
age26_64_postyear,marketplace_flag,nonexp_target_post,0.01152175458762822,0.009583393665485909,1.2022624750481885,0.04154925620652881,0.27730351008829274,165194,17054,48,0.187435381056147
age26_64_postyear,market_or_subsidy,nonexp_target_post,0.022073189109621673,0.01027357781493249,2.1485396331488946,0.041372231333768966,0.5335266771460071,165194,17054,48,0.22190046314115858
age26_64_postyear,private,nonexp_target_post,-0.00018522899242321735,0.01271046596111598,-0.014572950589685087,0.052530232884955855,-0.0035261407050846167,165194,17054,48,0.4939368344600534
age26_64_postyear,public,nonexp_target_post,-0.009396855058279953,0.01084105753479428,-0.866783985614026,0.034028986192391864,-0.27614266863997505,165194,17054,48,0.2958879261818304
age26_64_postyear,medicaid,nonexp_target_post,-0.01178160315390448,0.010517571050710798,-1.1201828917626617,0.03620268874596733,-0.3254344790956127,165194,17054,48,0.2747005410827945
age26_64_postyear,oop_any,nonexp_target_post,-0.007977797426633898,0.012908611213171538,-0.6180213575952777,0.033167231347537525,-0.24053251062893446,165194,17054,48,0.4803388525133216
age26_64_postyear,doctor_any,nonexp_target_post,-0.0026217656300809057,0.01241705932045236,-0.2111422328282308,0.036847707012804896,-0.07115139156881103,165194,17054,48,0.6319978968199961
age21_64_postyear,uninsured,nonexp_target_post,0.00016404057096927778,0.010541061116714245,0.015562054820948698,0.032946429666523426,0.004979009034655975,195487,20576,48,0.26091059814819106
age21_64_postyear,any_coverage,nonexp_target_post,-0.00016404057185743712,0.010541061116714491,-0.015562054905205442,0.032946429666542314,-0.004979009061610802,195487,20576,48,0.7390894018518089
age21_64_postyear,direct_purchase,nonexp_target_post,0.026732586928828336,0.00946326742733026,2.8248791587167505,0.0360700372031705,0.7411300071095736,195487,20576,48,0.21357794245976724
age21_64_postyear,marketplace_flag,nonexp_target_post,0.015567810186313528,0.008775047298532434,1.7740998602841875,0.03548687496748188,0.43869205729101163,195487,20576,48,0.18132942312078368
age21_64_postyear,market_or_subsidy,nonexp_target_post,0.0309187973715858,0.009487161299822954,3.2590146192795095,0.03618872406527174,0.8543765543051244,195487,20576,48,0.21677377676891352
age26_64_postapr2021,uninsured,nonexp_target_post_apr,0.012256007850338299,0.010889306874487935,1.1255085371000377,0.02756821963637134,0.44457016129430016,165194,17054,48,0.26175246966838006
age26_64_postapr2021,any_coverage,nonexp_target_post_apr,-0.012256007851189243,0.010889306874487583,-1.125508537178219,0.027568219636353322,-0.44457016132545757,165194,17054,48,0.7382475303316199
age26_64_postapr2021,direct_purchase,nonexp_target_post_apr,0.012065508122369811,0.009399721716976768,1.2836026943838545,0.03484975392043667,0.34621501632165985,165194,17054,48,0.2187833874070811
age26_64_postapr2021,marketplace_flag,nonexp_target_post_apr,0.013276777836063992,0.008782366934889554,1.5117539422452928,0.03416602271223301,0.3885959436335062,165194,17054,48,0.187435381056147
age26_64_postapr2021,market_or_subsidy,nonexp_target_post_apr,0.015924709893774272,0.009430128033803529,1.6887055866781515,0.03428168498713142,0.46452529680942034,165194,17054,48,0.22190046314115858
