model,outcome,year,relative_to_omitted,term,coef,se,t,n_person_years,n_persons,n_states
maryland_yas_18_34_event,direct_market,2019,-2,md_young_2019,0.016888789706845042,0.17175690579687786,0.09832961084439867,26620,19584,52
maryland_yas_18_34_event,direct_market,2020,-1,md_young_2020,0.11037952402403617,0.16603080665760614,0.6648135141068382,26620,19584,52
maryland_yas_18_34_event,direct_market,2022,1,md_young_2022,0.24048826132539514,0.18233591807538893,1.3189297197382823,26620,19584,52
maryland_yas_18_34_event,direct_market,2023,2,md_young_2023,0.010947675924262157,0.22003394425417988,0.049754486569652034,26620,19584,52
maryland_yas_18_34_event,exchange_subsidy,2019,-2,md_young_2019,0.12354617085509378,0.1610128468540699,0.7673062943049933,26620,19584,52
maryland_yas_18_34_event,exchange_subsidy,2020,-1,md_young_2020,0.09883707676686448,0.16483288848426556,0.5996198797201759,26620,19584,52
maryland_yas_18_34_event,exchange_subsidy,2022,1,md_young_2022,0.29197276571739605,0.17888880337499197,1.6321466755264395,26620,19584,52
maryland_yas_18_34_event,exchange_subsidy,2023,2,md_young_2023,0.020266384921914238,0.22042672382371672,0.09194159660115442,26620,19584,52
maryland_yas_18_34_event,uninsured,2019,-2,md_young_2019,0.017618571088409585,0.10080929833092746,0.17477128975318296,26620,19584,52
maryland_yas_18_34_event,uninsured,2020,-1,md_young_2020,-0.08628820696103823,0.12579511621311013,-0.6859424241467129,26620,19584,52
maryland_yas_18_34_event,uninsured,2022,1,md_young_2022,0.13556618049864166,0.12263688488343484,1.105427462769427,26620,19584,52
maryland_yas_18_34_event,uninsured,2023,2,md_young_2023,0.09165025452588571,0.10514887132628624,0.871623759436151,26620,19584,52
maryland_yas_clean_26_34_event,direct_market,2019,-2,md_young_2019,0.12393697788614633,0.19117087038459157,0.6483047215133445,18732,13716,52
maryland_yas_clean_26_34_event,direct_market,2020,-1,md_young_2020,0.14367077872681722,0.18230022668815532,0.7880998358415755,18732,13716,52
maryland_yas_clean_26_34_event,direct_market,2022,1,md_young_2022,0.3075378605970389,0.2046073769997432,1.5030634041969313,18732,13716,52
maryland_yas_clean_26_34_event,direct_market,2023,2,md_young_2023,0.08539944430154667,0.23292155558443606,0.36664465891645925,18732,13716,52
maryland_yas_clean_26_34_event,exchange_subsidy,2019,-2,md_young_2019,0.21210746134984526,0.1818086065388026,1.166652478052936,18732,13716,52
maryland_yas_clean_26_34_event,exchange_subsidy,2020,-1,md_young_2020,0.10819831359977028,0.18013880768100746,0.6006385575248699,18732,13716,52
maryland_yas_clean_26_34_event,exchange_subsidy,2022,1,md_young_2022,0.36060420664936665,0.2011630678685493,1.792596476431771,18732,13716,52
maryland_yas_clean_26_34_event,exchange_subsidy,2023,2,md_young_2023,0.07621580785567272,0.23348725424408528,0.3264238474276522,18732,13716,52
maryland_yas_clean_26_34_event,uninsured,2019,-2,md_young_2019,0.020245110863388982,0.10917870484579661,0.18543094912128755,18732,13716,52
maryland_yas_clean_26_34_event,uninsured,2020,-1,md_young_2020,-0.11497808132819487,0.13716384454669595,-0.8382535624324224,18732,13716,52
maryland_yas_clean_26_34_event,uninsured,2022,1,md_young_2022,0.06275630313874547,0.11720634576512937,0.5354343464005207,18732,13716,52
maryland_yas_clean_26_34_event,uninsured,2023,2,md_young_2023,0.09867513563655472,0.11554492909997092,0.8539979764164272,18732,13716,52
new_jersey_njhps_event,direct_market,2019,-1,nj_eligible_2019,0.006329671759460531,0.052047767154718594,0.12161274355237524,76892,48471,52
new_jersey_njhps_event,direct_market,2021,1,nj_eligible_2021,0.06996344567379165,0.04743552304405735,1.4749167118661415,76892,48471,52
new_jersey_njhps_event,direct_market,2022,2,nj_eligible_2022,0.057345960967653875,0.05726100166691985,1.0014837201281985,76892,48471,52
new_jersey_njhps_event,direct_market,2023,3,nj_eligible_2023,0.030283469631336768,0.04828521770638712,0.6271788980114902,76892,48471,52
new_jersey_njhps_event,exchange_subsidy,2019,-1,nj_eligible_2019,0.028316108862263434,0.04220187638061784,0.6709680064194549,76892,48471,52
new_jersey_njhps_event,exchange_subsidy,2021,1,nj_eligible_2021,0.05588336472935773,0.0434246001011716,1.2869056847768183,76892,48471,52
new_jersey_njhps_event,exchange_subsidy,2022,2,nj_eligible_2022,0.05513391081343921,0.05182713902764663,1.0638038650759523,76892,48471,52
new_jersey_njhps_event,exchange_subsidy,2023,3,nj_eligible_2023,0.028610250630466627,0.041938838042746986,0.6821898737705863,76892,48471,52
new_jersey_njhps_event,uninsured,2019,-1,nj_eligible_2019,0.03240034581692641,0.04347678497791092,0.7452332511106313,76892,48471,52
new_jersey_njhps_event,uninsured,2021,1,nj_eligible_2021,-0.06452940553189168,0.04692753336010837,-1.3750862427972002,76892,48471,52
new_jersey_njhps_event,uninsured,2022,2,nj_eligible_2022,0.008036695626692847,0.042295845347186334,0.19001146710092828,76892,48471,52
new_jersey_njhps_event,uninsured,2023,3,nj_eligible_2023,0.061173594802982345,0.044883875226688214,1.3629303284090801,76892,48471,52
