model,outcome,term,coef,state_clustered_se,state_clustered_t,n_household_years,n_households,n_states,n_clusters,weighted_mean
snap_ea_household_lag_snap_2018_2022_state_cluster,food_insecure,ea_end_treat,0.07634279667052676,0.047285143691444015,1.6145197140289238,19435,19449,51,51,0.2036805053874149
snap_ea_household_lag_snap_2018_2022_state_cluster,very_low_food,ea_end_treat,0.025794152646851035,0.043319610521018244,0.5954382400168619,19435,19449,51,51,0.08954247672873342
snap_ea_household_lag_snap_2018_2022_state_cluster,food_score,ea_end_treat,0.1611373716796892,0.21759841098475963,0.7405264172217466,19435,19449,51,51,0.8837649860053158
snap_ea_household_lag_snap_2018_2022_state_cluster,snap_any,ea_end_treat,-0.026566199479167052,0.031774947394378125,-0.8360737517339637,19435,19449,51,51,0.27931763115295727
snap_ea_household_lag_snap_2018_2022_state_cluster,doctor_any,ea_end_treat,-0.007779581684133438,0.026571974953722228,-0.29277393561006904,19435,19449,51,51,0.6892734607198283
snap_ea_household_lag_snap_2018_2022_state_cluster,oop_any,ea_end_treat,0.01911420501845258,0.036848692516571226,0.5187213904497895,19435,19449,51,51,0.400125382382101
snap_ea_household_lag_snap_2018_2022_state_cluster,uninsured,ea_end_treat,-0.023297667862617496,0.021288965552773792,-1.0943541528527667,19435,19449,51,51,0.15028872106669872
snap_ea_household_current_snap_2018_2022_state_cluster,food_insecure,ea_end_treat,0.10715717170643735,0.03062947152504615,3.4984988761171874,40328,39188,51,51,0.2040275824856071
snap_ea_household_current_snap_2018_2022_state_cluster,very_low_food,ea_end_treat,0.054882781745876075,0.02659614320266763,2.063561672369521,40328,39188,51,51,0.09106576681841
snap_ea_household_current_snap_2018_2022_state_cluster,food_score,ea_end_treat,0.38537998128426576,0.1432191054771025,2.690841979500279,40328,39188,51,51,0.8897217804967816
snap_ea_household_current_snap_2018_2022_state_cluster,snap_any,ea_end_treat,4.04121180963557e-13,1.2903011774982388e-13,3.1319911041785327,40328,39188,51,51,0.250647528390988
snap_ea_household_current_snap_2018_2022_state_cluster,doctor_any,ea_end_treat,0.007388186572226285,0.021155175878550644,0.34923777588241234,40328,39188,51,51,0.6900294028299724
snap_ea_household_current_snap_2018_2022_state_cluster,oop_any,ea_end_treat,0.00042827853041182973,0.031486107291115686,0.013602142889625338,40328,39188,51,51,0.40425789462177064
snap_ea_household_current_snap_2018_2022_state_cluster,uninsured,ea_end_treat,0.00710455162369078,0.02456126002065032,0.28925843453135147,40328,39188,51,51,0.18267215452144545
