high_need,medicare,post_2023,rows,persons,oop_amount,log_oop,oop_gt_500,oop_gt_1000,oop_gt_2000,medical_debt,doctor_any,hospital_any
diabetes_bridge,0,0,521,461,1044.4095149208674,3.646834375096152,0.31692544454516614,0.21769323219202882,0.11424225080060242,0.2604333552104052,0.9008475871191528,0.214632799509448
diabetes_bridge,0,1,166,166,1153.7248512813092,3.832849044490378,0.35290024831293615,0.2384215433693327,0.15960905031087988,0.27891157390061794,0.9095086341161599,0.26381420484684426
diabetes_bridge,1,0,1277,1131,1054.6731745378224,3.847656080254071,0.323268728560521,0.208019078691336,0.12710139468751508,0.16294099365709086,0.9255464178641776,0.2814780871149825
diabetes_bridge,1,1,419,419,775.844785305555,3.3528412270744212,0.2658702852798432,0.15623072765996004,0.08527283412986157,0.1885992161220588,0.9341132238587374,0.2787595291932767
daily_rx,0,0,12356,9567,1372.547527886069,4.665942882474951,0.404438830390006,0.2839854091299003,0.1787829446831661,0.14657427274067072,0.9152547387344808,0.1239545942462181
daily_rx,0,1,3301,3300,1414.1100478658564,4.694488240960519,0.4315649776610302,0.3001661641795253,0.18684003243238764,0.15359551231287052,0.9297630424724395,0.10899492806687108
daily_rx,1,0,24096,17161,1010.2690269374715,4.335114580053229,0.3373819723709021,0.21866467440494117,0.12440710715739536,0.09222686849733651,0.9288886794944211,0.19117599571366362
daily_rx,1,1,6661,6659,1042.907601410464,4.211173662595632,0.333302332783887,0.216200630244824,0.12206187054694675,0.09417811620881113,0.9410017076921486,0.19984426037143327
diabetes_or_daily_rx,0,0,12411,9614,1370.878515618956,4.661381509341058,0.40403601861965055,0.2835513518815171,0.1785331575826653,0.14664274460251647,0.9141909206024941,0.12384663714567407
diabetes_or_daily_rx,0,1,3313,3312,1415.8922040312495,4.693701194492664,0.4308730687640423,0.2996682492528854,0.1867762802896065,0.15438476245708474,0.9291786659181254,0.10920786215444955
diabetes_or_daily_rx,1,0,24132,17180,1009.5612251100678,4.332771171793212,0.33711910870352424,0.21845767831536897,0.12434630684542773,0.09224139824756372,0.9285586317438888,0.19103902490641364
diabetes_or_daily_rx,1,1,6669,6667,1044.1828081053334,4.209798183914165,0.3331627524637819,0.21616759726281043,0.12217337919924076,0.09436590397911124,0.9406214629468875,0.1996053037567397
