model,outcome,term,coef,se,t,n_household_years,n_households,n_states,weighted_mean
snap_ea_household_lag_snap_2018_2022,food_insecure,ea_end_treat,0.07634279667052676,0.04434782071754685,1.7214554274663747,19435,19449,51,0.2036805053874149
snap_ea_household_lag_snap_2018_2022,very_low_food,ea_end_treat,0.025794152646851035,0.03669790165466938,0.7028781342752612,19435,19449,51,0.08954247672873342
snap_ea_household_lag_snap_2018_2022,food_score,ea_end_treat,0.1611373716796892,0.20588747005675967,0.7826477815054329,19435,19449,51,0.8837649860053158
snap_ea_household_lag_snap_2018_2022,snap_any,ea_end_treat,-0.026566199479167052,0.03488719308994034,-0.7614885901161068,19435,19449,51,0.27931763115295727
snap_ea_household_lag_snap_2018_2022,snap_share,ea_end_treat,-0.024594188668273065,0.033907236119762145,-0.7253374642924328,19435,19449,51,0.2034055107490277
snap_ea_household_lag_snap_2018_2022,doctor_any,ea_end_treat,-0.007779581684133438,0.033623286247519986,-0.2313748164549874,19435,19449,51,0.6892734607198283
snap_ea_household_lag_snap_2018_2022,doctor_visits,ea_end_treat,-1.0240543992622797,1.2061741216675101,-0.8490104213532174,18930,18951,50,5.37802465587647
snap_ea_household_lag_snap_2018_2022,dental_any,ea_end_treat,0.018166713960085512,0.03881667781233078,0.4680131063229359,19435,19449,51,0.5397466530777685
snap_ea_household_lag_snap_2018_2022,oop_any,ea_end_treat,0.01911420501845258,0.035301801483454597,0.5414512635399389,19435,19449,51,0.400125382382101
snap_ea_household_lag_snap_2018_2022,sick_days,ea_end_treat,-6.169142074914966,4.106819586167313,-1.5021702184566414,18926,18947,50,10.571649023301793
snap_ea_household_lag_snap_2018_2022,any_coverage,ea_end_treat,0.02329766786388885,0.02503749749418903,0.9305110412610534,19435,19449,51,0.8497112789333013
snap_ea_household_lag_snap_2018_2022,uninsured,ea_end_treat,-0.023297667862617496,0.02503749749420517,-0.9305110412096756,19435,19449,51,0.15028872106669872
snap_ea_household_lag_snap_2018_2022,public,ea_end_treat,-0.029583612892052115,0.035612461155120574,-0.8307095868266999,19435,19449,51,0.4674458655062452
snap_ea_household_lag_snap_2018_2022,private,ea_end_treat,0.0672473290352196,0.03893139219518806,1.7273291614660367,19435,19449,51,0.4785209841946356
snap_ea_household_lag_snap_2018_2022,employed_share,ea_end_treat,0.05760243665376427,0.030653978284056416,1.8791178136811086,19435,19449,51,0.4683532408928368
snap_ea_household_lag_snap_2018_2022,log_earnings,ea_end_treat,0.6225457427244864,0.40707469089731674,1.5293157659892973,19435,19449,51,7.307176807681957
snap_ea_household_lag_snap_2018_2023_including_federal_cliff,food_insecure,ea_end_treat,0.04269390855488599,0.036534106020378196,1.1686041675981327,22295,22319,51,0.2101612392216946
snap_ea_household_lag_snap_2018_2023_including_federal_cliff,very_low_food,ea_end_treat,0.018530162151901442,0.029199536762030995,0.6346046618108253,22295,22319,51,0.09159381039703775
snap_ea_household_lag_snap_2018_2023_including_federal_cliff,food_score,ea_end_treat,0.06478910005209021,0.16691536486337363,0.38815539902586244,22295,22319,51,0.9070307457761178
snap_ea_household_lag_snap_2018_2023_including_federal_cliff,snap_any,ea_end_treat,-0.025048840723085393,0.028763654511681405,-0.8708504238539173,22295,22319,51,0.28023719913317596
