sample,relative_year,person_years,persons
lag_snap_2018_2022,-4.0,291,291
lag_snap_2018_2022,-3.0,363,363
lag_snap_2018_2022,-2.0,318,318
lag_snap_2018_2022,-1.0,255,255
lag_snap_2018_2022,0.0,218,218
lag_snap_2018_2022,1.0,100,100
lag_snap_2018_2023,-4.0,291,291
lag_snap_2018_2023,-3.0,363,363
lag_snap_2018_2023,-2.0,318,318
lag_snap_2018_2023,-1.0,255,255
lag_snap_2018_2023,0.0,218,218
lag_snap_2018_2023,1.0,244,244
lag_snap_2018_2023,2.0,89,89
current_snap_2018_2022,-4.0,430,430
current_snap_2018_2022,-3.0,670,670
current_snap_2018_2022,-2.0,682,682
current_snap_2018_2022,-1.0,614,614
current_snap_2018_2022,0.0,482,481
current_snap_2018_2022,1.0,181,181
