sample,outcome,month,reference_month,coef_vs_may,se_hc1,t_stat,rows,persons,early_persons,control_persons
at_risk_uc,uc_any,2,5,-0.04203202499434029,0.043065608008097625,-0.9759998044480647,4314,624,183,446
at_risk_uc,uc_any,3,5,-0.019202377164692405,0.03818502918999085,-0.5028771110570678,4314,624,183,446
at_risk_uc,uc_any,4,5,0.00598497294659267,0.03427187790275465,0.1746321857114115,4314,624,183,446
at_risk_uc,uc_any,6,5,-0.033629628046481536,0.03399305660141968,-0.9893087415115543,4314,624,183,446
at_risk_uc,uc_any,7,5,-0.10246702571825045,0.03500370109820278,-2.9273197548676215,4314,624,183,446
at_risk_uc,uc_any,8,5,-0.11111121412646942,0.036487186711475085,-3.0452118713642933,4314,624,183,446
at_risk_uc,employed_any_week,2,5,0.028298988364595636,0.028062858490126078,1.008414320107577,4314,624,183,446
at_risk_uc,employed_any_week,3,5,0.009103656669263799,0.026659546190729487,0.341478305899651,4314,624,183,446
at_risk_uc,employed_any_week,4,5,0.012525111979664313,0.023709163254649626,0.5282814853117181,4314,624,183,446
at_risk_uc,employed_any_week,6,5,0.049517107825839776,0.02370576167956591,2.0888216331189624,4314,624,183,446
at_risk_uc,employed_any_week,7,5,0.0633601525793683,0.02484060933560863,2.5506682112077863,4314,624,183,446
at_risk_uc,employed_any_week,8,5,0.06269347837405656,0.026479722823842478,2.367603271043571,4314,624,183,446
at_risk_uc,no_job_all_month,2,5,-0.028298988364595656,0.02806285849012608,-1.0084143201075777,4314,624,183,446
at_risk_uc,no_job_all_month,3,5,-0.009103656669263813,0.026659546190729497,-0.3414783058996514,4314,624,183,446
at_risk_uc,no_job_all_month,4,5,-0.012525111979664355,0.02370916325464963,-0.5282814853117198,4314,624,183,446
at_risk_uc,no_job_all_month,6,5,-0.049517107825839776,0.023705761679565916,-2.0888216331189615,4314,624,183,446
at_risk_uc,no_job_all_month,7,5,-0.06336015257936832,0.02484060933560863,-2.550668211207787,4314,624,183,446
at_risk_uc,no_job_all_month,8,5,-0.06269347837405659,0.026479722823842478,-2.3676032710435724,4314,624,183,446
at_risk_uc,earnings_positive,2,5,0.03069528872909602,0.031024287585572612,0.9893954420204129,4314,624,183,446
at_risk_uc,earnings_positive,3,5,0.004640825174632497,0.02792773976235566,0.1661726016542146,4314,624,183,446
at_risk_uc,earnings_positive,4,5,0.008189199095724485,0.024964789693151947,0.3280299652582634,4314,624,183,446
at_risk_uc,earnings_positive,6,5,0.049643760255224594,0.026115483052769357,1.9009321081640966,4314,624,183,446
at_risk_uc,earnings_positive,7,5,0.05912906819223758,0.026252453428649354,2.2523254199057035,4314,624,183,446
at_risk_uc,earnings_positive,8,5,0.05358079338161133,0.027624228268948944,1.9396304164572409,4314,624,183,446
at_risk_uc,snap,2,5,0.0074797284145374406,0.013748934505779041,0.5440224048920673,4314,624,183,446
at_risk_uc,snap,3,5,0.010909294344103333,0.013461173288192699,0.8104267072820677,4314,624,183,446
at_risk_uc,snap,4,5,0.008492373760347019,0.012048472837852332,0.7048506374738862,4314,624,183,446
at_risk_uc,snap,6,5,-0.011106466245721798,0.012368535766160801,-0.8979612830249549,4314,624,183,446
at_risk_uc,snap,7,5,-0.00980029154992322,0.012884905810187475,-0.7606024983259561,4314,624,183,446
at_risk_uc,snap,8,5,-0.021017707488565178,0.014384023016253796,-1.4611842225791343,4314,624,183,446
at_risk_uc,tanf,2,5,-0.0021952316307551232,0.0017032842948007726,-1.288822798082508,4314,624,183,446
at_risk_uc,tanf,3,5,-0.0021952316307551224,0.0017032842948007771,-1.2888227980825042,4314,624,183,446
at_risk_uc,tanf,4,5,6.721180815890673e-05,0.0008866325090435767,0.0758057114682261,4314,624,183,446
at_risk_uc,tanf,6,5,9.273297448504289e-05,0.0008983810552095634,0.10322231746462114,4314,624,183,446
at_risk_uc,tanf,7,5,9.762026927165649e-05,0.0008997519047145642,0.10849687426071677,4314,624,183,446
at_risk_uc,tanf,8,5,9.938589951338111e-05,0.0009010797410167442,0.11029645323202787,4314,624,183,446
at_risk_uc,ssi,2,5,0.0,0.0,,4314,624,183,446
at_risk_uc,ssi,3,5,0.0,0.0,,4314,624,183,446
at_risk_uc,ssi,4,5,0.0,0.0,,4314,624,183,446
at_risk_uc,ssi,6,5,0.0,0.0,,4314,624,183,446
at_risk_uc,ssi,7,5,0.0,0.0,,4314,624,183,446
at_risk_uc,ssi,8,5,0.0,0.0,,4314,624,183,446
at_risk_uc,medicaid,2,5,-0.015447491695655407,0.011022275320522143,-1.4014793902756217,4314,624,183,446
at_risk_uc,medicaid,3,5,-0.013092864341028085,0.007930242830892161,-1.6510042151578255,4314,624,183,446
at_risk_uc,medicaid,4,5,-0.007300812022606604,0.007042068510272642,-1.0367425440346851,4314,624,183,446
at_risk_uc,medicaid,6,5,-0.004963916981333596,0.006239879294505378,-0.7955149045438507,4314,624,183,446
at_risk_uc,medicaid,7,5,-0.007292842284075052,0.006386541530370972,-1.1419079089040913,4314,624,183,446
at_risk_uc,medicaid,8,5,-0.00731314703185478,0.006389856025439386,-1.144493240964988,4314,624,183,446
at_risk_uc,uninsured,2,5,0.03808076712545297,0.016545785587779187,2.3015387769547577,4314,624,183,446
at_risk_uc,uninsured,3,5,0.028969383014068886,0.013056320075339956,2.218801534192213,4314,624,183,446
at_risk_uc,uninsured,4,5,0.015152474039959186,0.01056753713645364,1.433869958941465,4314,624,183,446
at_risk_uc,uninsured,6,5,-0.0056006795240575846,0.00939683061000121,-0.5960179295023882,4314,624,183,446
at_risk_uc,uninsured,7,5,-0.003265054468107903,0.009470545113367215,-0.3447588738582151,4314,624,183,446
at_risk_uc,uninsured,8,5,0.010281227759355686,0.011899541195750306,0.8640020308537131,4314,624,183,446
