state,start_year,rows,persons,above400_persons,direct_purchase_events,market_or_subsidy_events,uninsured_events
AK,2017,897,57,15,80,80,258
MN,2018,7610,473,264,848,610,489
OR,2018,7882,442,178,1080,877,780
ME,2019,1956,114,41,209,197,198
MD,2019,8093,484,264,1290,1011,603
NJ,2019,7147,458,180,1011,785,794
WI,2019,11856,687,308,1158,829,987
CO,2020,11810,722,317,2093,1692,1646
DE,2020,1239,85,36,81,81,200
MT,2020,2335,143,71,222,193,283
ND,2020,1071,63,33,86,50,15
NH,2021,1461,98,48,180,115,120
PA,2021,13437,918,381,1314,877,1066
GA,2022,10903,663,258,989,784,2008
VA,2023,4624,331,134,514,396,417
