model,outcome,coef,se_hc1,t,n_person_years,n_persons,n_states,weighted_mean
wftc_low_wage_worker,food_insecure,-0.014722621019899518,0.06022493594653562,-0.2444605509081728,59213,32337,6,0.10170816744671636
wftc_low_wage_worker,very_low_food,-0.020134319529673053,0.03768340362380153,-0.5343020426359748,59213,32337,6,0.03622473157047592
wftc_low_wage_worker,food_score,-0.1062307842414476,0.26359830332394946,-0.4030025341661443,59213,32337,6,0.41169660300353167
wftc_low_wage_worker,snap_any,-0.054787223437110955,0.04445475344553231,-1.2324266628593135,59213,32337,6,0.08978209899920557
wftc_low_wage_worker,snap_share,-0.024010076125683136,0.040129873496241565,-0.5983092901584114,59213,32337,6,0.07470542528716526
wftc_low_wage_worker,any_coverage,-0.037443683151801244,0.07489008509162956,-0.49998184814435886,59213,32337,6,0.9209124390345106
wftc_low_wage_worker,uninsured,0.03744368314581348,0.07489008509166854,0.49998184806414453,59213,32337,6,0.07908756096548934
wftc_low_wage_worker,public,-0.20915492376946632,0.06799103661212257,-3.0762131920808913,59213,32337,6,0.3913804203583257
wftc_low_wage_worker,private,0.08600130102091025,0.08262285319111555,1.0408899922879689,59213,32337,6,0.6597248403827598
wftc_low_wage_worker,doctor_any,0.1094462462303617,0.07079162853856574,1.5460337400027147,59213,32337,6,0.7344526556111576
wftc_low_wage_worker,oop_any,0.14473619867739196,0.08572995308328,1.6882803905980441,59213,32337,6,0.4282108531460935
wftc_low_wage_worker,sick_days,1.5290238883817784,3.673556421937462,0.4162244192714371,48545,26833,6,5.747823834309698
wftc_low_wage_worker,worker_share,0.055945985892579486,0.03365871968152383,1.6621543071731792,59213,32337,6,0.4941101607606468
wftc_low_wage_worker,log_earnings,0.3558518128082131,0.314099613070249,1.132926619456313,59213,32337,6,5.409754524485507
wftc_broad_worker,food_insecure,0.01504917700620631,0.04740026412535305,0.31749141663868774,59213,32337,6,0.10170816744671636
wftc_broad_worker,very_low_food,-0.020350190525498982,0.025366475630574713,-0.8022474553370944,59213,32337,6,0.03622473157047592
wftc_broad_worker,food_score,-0.016816414008582137,0.19228589937213592,-0.0874552635606259,59213,32337,6,0.41169660300353167
wftc_broad_worker,snap_any,-0.051215505369880565,0.026806283026277796,-1.9105784013275833,59213,32337,6,0.08978209899920557
wftc_broad_worker,snap_share,-0.02381279321485351,0.023524809323806222,-1.0122417098937273,59213,32337,6,0.07470542528716526
wftc_broad_worker,any_coverage,-0.04293638503910113,0.051346665365110865,-0.8362059100390117,59213,32337,6,0.9209124390345106
wftc_broad_worker,uninsured,0.0429363850419269,0.05134666536509884,0.8362059100942406,59213,32337,6,0.07908756096548934
wftc_broad_worker,public,-0.0936473604069134,0.049928772338359934,-1.8756191274297522,59213,32337,6,0.3913804203583257
wftc_broad_worker,private,0.012449059955020547,0.05772951539217067,0.21564462944909632,59213,32337,6,0.6597248403827598
wftc_broad_worker,doctor_any,0.06428976230574734,0.05124361205604308,1.254590762170243,59213,32337,6,0.7344526556111576
wftc_broad_worker,oop_any,0.04499973529124801,0.06158181126284302,0.7307309474737675,59213,32337,6,0.4282108531460935
wftc_broad_worker,sick_days,1.641253141670922,2.504678937992685,0.6552748604922054,48545,26833,6,5.747823834309698
wftc_broad_worker,worker_share,0.045746578899264145,0.024560127462900015,1.862636053838398,59213,32337,6,0.4941101607606468
wftc_broad_worker,log_earnings,0.3074175159458292,0.24815242215595126,1.2388253690009636,59213,32337,6,5.409754524485507
