sample,state_fips,state_name,reference_year,person_years,persons,active,sick_days_mean,doctor_any_mean
worker_low_educ,08,Colorado,2017,161,161,0,1.8695652,0.6894409937888198
worker_low_educ,08,Colorado,2018,77,77,0,1.9466667,0.6883116883116883
worker_low_educ,08,Colorado,2019,172,172,0,2.1597633,0.627906976744186
worker_low_educ,08,Colorado,2020,139,139,0,2.7826087,0.697841726618705
worker_low_educ,08,Colorado,2021,132,132,1,4.8320613,0.6212121212121212
worker_low_educ,08,Colorado,2022,116,116,1,6.156522,0.5948275862068966
worker_low_educ,08,Colorado,2023,97,97,1,3.0957446,0.5876288659793815
worker_low_educ,24,Maryland,2017,122,122,0,4.844262,0.639344262295082
worker_low_educ,24,Maryland,2018,84,84,1,4.890244,0.7380952380952381
worker_low_educ,24,Maryland,2019,103,103,1,1.950495,0.7087378640776699
worker_low_educ,24,Maryland,2020,96,96,1,3.6774194,0.6458333333333334
worker_low_educ,24,Maryland,2021,72,72,1,2.3888888,0.7361111111111112
worker_low_educ,24,Maryland,2022,71,71,1,2.7183099,0.676056338028169
worker_low_educ,24,Maryland,2023,73,73,1,5.0416665,0.6712328767123288
worker_low_educ,34,New Jersey,2017,160,160,0,4.725,0.71875
worker_low_educ,34,New Jersey,2018,86,86,0,7.1,0.6162790697674418
worker_low_educ,34,New Jersey,2019,90,90,1,4.1444445,0.6888888888888889
worker_low_educ,34,New Jersey,2020,90,90,1,2.8068182,0.6888888888888889
worker_low_educ,34,New Jersey,2021,80,80,1,3.78481,0.625
worker_low_educ,34,New Jersey,2022,80,80,1,6.3116884,0.725
worker_low_educ,34,New Jersey,2023,76,76,1,1.0666667,0.5921052631578947
worker_low_educ,35,New Mexico,2017,77,77,0,4.090909,0.6233766233766234
worker_low_educ,35,New Mexico,2018,42,42,0,0.9268293,0.5952380952380952
worker_low_educ,35,New Mexico,2019,51,51,0,1.2745098,0.47058823529411764
worker_low_educ,35,New Mexico,2020,43,43,0,1.7857143,0.6511627906976745
worker_low_educ,35,New Mexico,2021,34,34,0,5.147059,0.7058823529411765
worker_low_educ,35,New Mexico,2022,31,31,0,13.774194,0.7096774193548387
worker_low_educ,35,New Mexico,2023,27,27,1,3.2592592,0.6296296296296297
worker_low_educ,36,New York,2017,341,341,0,3.903226,0.6891495601173021
