panel,model,outcome,coef,se_person,t_person,se_state,t_state,n_person_months,n_persons,bandwidth,donut,threshold,post_col,stars_person,stars_state,coef_fmt
"Primary source-decomposition, monthly FPL 350-450%",main_age26_64,uninsured,-0.0277395948539205,0.0141477368628957,-1.9607089899071528,0.0151289941027748,-1.8335386123809,215972,23888,,,,post_year2021,**,*,-0.0277** (0.0141)
"Primary source-decomposition, monthly FPL 350-450%",main_age26_64,any_coverage,0.0277395948536955,0.0141477368628964,1.9607089898911607,0.0151289941027622,1.8335386123675517,215972,23888,,,,post_year2021,**,*,+0.0277** (0.0141)
"Primary source-decomposition, monthly FPL 350-450%",main_age26_64,market_or_subsidy,0.0201991351237478,0.0137333283869858,1.470811339725134,0.0147117988222691,1.3729888076754135,215972,23888,,,,post_year2021,,,+0.0202 (0.0137)
"Primary source-decomposition, monthly FPL 350-450%",main_age26_64,direct_purchase,0.0208270147697461,0.013693071553455,1.5209892600386683,0.0145384020267464,1.432551853458892,215972,23888,,,,post_year2021,,,+0.0208 (0.0137)
"Primary source-decomposition, monthly FPL 350-450%",main_age26_64,source_employer_related,0.0300879833305076,0.0189667754941188,1.586352057567044,0.0243521833189455,1.2355353496004524,215972,23888,,,,post_year2021,,,+0.0301 (0.0190)
Mechanism sample: lagged non-employer,lag_nonemployer_months,uninsured,-0.0456912712097667,0.0331102708282863,-1.379972741592087,0.0424644051355024,-1.0759899041083365,71638,9878,,,,post_year2021,,,-0.0457 (0.0331)
Mechanism sample: lagged non-employer,lag_nonemployer_months,market_or_subsidy,0.0739062401334402,0.0328249580186526,2.2515258082415026,0.0350263654752028,2.110017386353225,71638,9878,,,,post_year2021,**,**,+0.0739** (0.0328)
Mechanism sample: lagged non-employer,lag_nonemployer_months,direct_purchase,0.0734909413542661,0.0327685684257714,2.2427266397291814,0.0334272785129797,2.198531996127947,71638,9878,,,,post_year2021,**,**,+0.0735** (0.0328)
Mechanism sample: lagged non-employer,lag_nonemployer_months,source_employer_related,-0.0100111867961783,0.0058310135806086,-1.7168862081664724,0.0065902941058002,-1.5190804288032247,71638,9878,,,,post_year2021,*,,-0.0100* (0.0058)
Placebo/substitution sample: lagged current employer,lag_current_employer_months,uninsured,-0.0010746841476906,0.0020550758229262,-0.5229413609471509,0.0019216330720504,-0.559255647356183,126551,14453,,,,post_year2021,,,-0.0011 (0.0021)
Placebo/substitution sample: lagged current employer,lag_current_employer_months,market_or_subsidy,0.0135609368671425,0.006384783530862,2.1239462233282067,0.0077956276369792,1.7395567744686826,126551,14453,,,,post_year2021,**,*,+0.0136** (0.0064)
Placebo/substitution sample: lagged current employer,lag_current_employer_months,direct_purchase,0.0138192428157049,0.0063811231924392,2.1656442602579418,0.0077846329826978,1.775195162883033,126551,14453,,,,post_year2021,**,*,+0.0138** (0.0064)
Placebo/substitution sample: lagged current employer,lag_current_employer_months,source_employer_related,-0.0006734091330322,0.0028537500173192,-0.2359734135594836,0.0025713387283147,-0.2618904797010615,126551,14453,,,,post_year2021,,,-0.0007 (0.0029)
Robustness: main donut 0.05,main_donut_bw050,uninsured,-0.0245982189511266,0.0187860861096233,-1.3093849782007525,0.0162724935580409,-1.511644104413955,194353,23331,0.5,0.05,4.0,post_year2021,,,-0.0246 (0.0188)
Robustness: main donut 0.05,main_donut_bw050,market_or_subsidy,0.0299355671839538,0.0198530670451836,1.5078560464145652,0.0227300384730182,1.3170046860892457,194353,23331,0.5,0.05,4.0,post_year2021,,,+0.0299 (0.0199)
Robustness: annual FPL bw 0.50,main_annual_fpl,uninsured,-0.0424239363084387,0.0223708917742943,-1.8963900382901493,0.0322627771839601,-1.3149499209736488,165940,14011,0.5,0.0,4.0,post_year2021,*,,-0.0424* (0.0224)
Robustness: annual FPL bw 0.50,main_annual_fpl,market_or_subsidy,-0.012898897066318,0.0234087836200244,-0.5510280788483187,0.0266313229410405,-0.4843505932797678,165940,14011,0.5,0.0,4.0,post_year2021,,,-0.0129 (0.0234)
Placebo threshold 3.5 FPL,placebo_thresholds,uninsured,-0.0254792017799783,0.0149528672149137,-1.703967634686532,0.0146678236731437,-1.7370812703884542,234957,25371,0.5,0.0,3.5,post_year2021,*,*,-0.0255* (0.0150)
Placebo threshold 3.5 FPL,placebo_thresholds,market_or_subsidy,0.0181037221470621,0.0141352086205985,1.2807537994650051,0.0137596328591608,1.3157125871283055,234957,25371,0.5,0.0,3.5,post_year2021,,,+0.0181 (0.0141)
Pre-ARPA fake policy 2020,pre_arpa_fake_policy,uninsured,0.0128217053634824,0.0213754634720403,0.5998328588408662,0.0284106802445321,0.4512987810613974,144245,15898,0.5,0.0,4.0,fake_post_2020,,,+0.0128 (0.0214)
Pre-ARPA fake policy 2020,pre_arpa_fake_policy,market_or_subsidy,0.0011440235907038,0.0185760631492168,0.0615859012490557,0.0160281344929289,0.071375966504935,144245,15898,0.5,0.0,4.0,fake_post_2020,,,+0.0011 (0.0186)
