sample,outcome,coef_early_x_post,se_hc1,t_stat,rows,persons,early_persons,control_persons,min_cell_persons,pre_early_mean_w,post_early_mean_w,pre_control_mean_w,post_control_mean_w
at_risk_uc,uc_any,-0.056509175844563275,0.04063178352081154,-1.390762869555538,3701,624,183,446,178,0.6942271824965484,0.3813959991833076,0.7608269290289934,0.5076026082210339
at_risk_uc,employed_any_week,0.038830668641979926,0.041618187658308006,0.9330216145110869,3701,624,183,446,178,0.52597244901741,0.6384391941521627,0.5697088535536279,0.6395727044518499
at_risk_uc,no_job_all_month,-0.038830668641981814,0.04161818765830795,-0.9330216145111335,3701,624,183,446,178,0.47402755098259003,0.3615608058478374,0.4302911464463721,0.3604272955481501
at_risk_uc,earnings_positive,0.02144810027471844,0.04206975606051196,0.5098223113979575,3701,624,183,446,178,0.4564658035523768,0.5526073015049011,0.49954639488770713,0.5694707636404663
at_risk_uc,snap,-0.019173085706661375,0.033788894759639226,-0.5674374922012422,3701,624,183,446,178,0.2575767995238686,0.22533000767524075,0.18972565626637203,0.17385058997211447
at_risk_uc,tanf,0.0014107641881545116,0.0016297912859710474,0.8656103393717454,3701,624,183,446,178,0.0,0.0,0.0029109826798005174,0.0014923240656664557
at_risk_uc,ssi,0.0018206350273465826,0.00678665594975204,0.2682668814842606,3701,624,183,446,178,0.01420718984137605,0.014308627689690982,0.0008252614484080299,0.0008522214372041604
at_risk_uc,medicaid,0.011705690036466265,0.0347065850239373,0.33727576563331696,3701,624,183,446,178,0.24736686117070428,0.27561946977534213,0.3998489135757946,0.4091192612730952
at_risk_uc,uninsured,-0.03317074757780075,0.0348857513880261,-0.9508394189034441,3701,624,183,446,178,0.3061839041514589,0.27020466457764836,0.14118363225134659,0.142752734929509
at_risk_uc,private,0.01573044612964969,0.0404860416441658,0.3885399878779335,3701,624,183,446,178,0.4667514999852231,0.4821805131688353,0.4908746704324302,0.4884979952160991
at_risk_uc,direct_purchase,-0.015576007864911728,0.02686267962766237,-0.5798382023240909,3701,624,183,446,178,0.1272603576372544,0.11942273082909585,0.10651729144699225,0.11098921131593784
