sample,high_col,actual_2022_2023,high,pairs,persons,states,mean_premium_burden
baseline_family_employer_premium_atrisk,premium_gt_0912,0,0,3684,3182,44,0.02799366139172398
baseline_family_employer_premium_atrisk,premium_gt_0912,0,1,373,355,38,0.1445056018809329
baseline_family_employer_premium_atrisk,premium_gt_0912,1,0,1079,1079,42,0.02658288429678084
baseline_family_employer_premium_atrisk,premium_gt_0912,1,1,74,74,30,0.1426817455408537
baseline_family_employer_premium_atrisk,premium_gt_05,0,0,2957,2608,44,0.018884378264990963
baseline_family_employer_premium_atrisk,premium_gt_05,0,1,1100,1001,42,0.09211881730866368
baseline_family_employer_premium_atrisk,premium_gt_05,1,0,888,888,40,0.018144583556030918
baseline_family_employer_premium_atrisk,premium_gt_05,1,1,265,265,38,0.08538343882154711
paid_for_family_or_others,premium_gt_0912,0,0,2056,1810,44,0.032542337660619695
paid_for_family_or_others,premium_gt_0912,0,1,269,258,36,0.14624927951638558
paid_for_family_or_others,premium_gt_0912,1,0,573,573,41,0.03171914832538563
paid_for_family_or_others,premium_gt_0912,1,1,56,56,25,0.1535050829473174
paid_for_family_or_others,premium_gt_05,0,0,1526,1375,43,0.02108347330161511
paid_for_family_or_others,premium_gt_05,0,1,799,729,41,0.09245356589386504
paid_for_family_or_others,premium_gt_05,1,0,435,435,39,0.02087549179326487
paid_for_family_or_others,premium_gt_05,1,1,194,194,36,0.08731429827566432
premium_gt_0912_only,premium_gt_0912,0,0,0,0,0,
premium_gt_0912_only,premium_gt_0912,0,1,373,355,38,0.1445056018809329
premium_gt_0912_only,premium_gt_0912,1,0,0,0,0,
premium_gt_0912_only,premium_gt_0912,1,1,74,74,30,0.1426817455408537
premium_gt_0912_only,premium_gt_05,0,0,0,0,0,
premium_gt_0912_only,premium_gt_05,0,1,373,355,38,0.1445056018809329
premium_gt_0912_only,premium_gt_05,1,0,0,0,0,
premium_gt_0912_only,premium_gt_05,1,1,74,74,30,0.1426817455408537
