age,person_months,persons,medicare,uninsured,direct_purchase,marketplace_flag,private,oop_gt_1000,doctor_visit_any
60,59601,7401,0.12472919341478476,0.07845552880403131,0.15822963669085824,0.11485938997593435,0.7469858344803819,0.26384881716169667,0.828409935327959
61,60708,7432,0.1290725472519285,0.07520504649592077,0.172146654237126,0.1249239704590705,0.752268669028552,0.26443496861869326,0.8338176267171434
62,61268,7493,0.14341236253351503,0.07549791089222979,0.18799731813588727,0.13539655729036396,0.7411409187414671,0.260550203115091,0.8429554468504613
63,60615,7504,0.1684335753462151,0.0709533267613844,0.195363887650412,0.13984838857251555,0.7266162912799611,0.2563114370263471,0.8517697867508516
64,61062,7476,0.3156808811498713,0.0734760431588662,0.19487684476201386,0.1207650030928016,0.699738743976873,0.25102904244584034,0.8571689400751784
65,60098,7400,0.7545206680775787,0.028954119676654965,0.15851673832652038,0.07371361133878362,0.6352468846880479,0.2328668616869558,0.8658005985657347
66,58674,7150,0.875252187448419,0.01589402188041527,0.1548090092186289,0.055580645355183485,0.6164149334396614,0.23277630753700077,0.873829669658818
67,57317,6973,0.9073714357035582,0.011924095750917697,0.16838396242650588,0.0531034770711015,0.6133485052456609,0.23407353805487793,0.8850147268773221
68,55928,6920,0.9230338729836014,0.010343010243188087,0.18364499356720715,0.05717551713166161,0.6170781423391853,0.2371756662108924,0.8894715087197402
69,55619,6815,0.9288794759275674,0.013609914797942853,0.1862070709622697,0.0516841130600031,0.6220345691741096,0.24171651369198932,0.8924626455524124
70,53959,6610,0.9400334628585114,0.010707123272610095,0.2042821111484771,0.05489186233207022,0.616977043172724,0.23940867543075123,0.904024464123731
