model,nonexpansion,target_100_150,post2021,person_months,persons,uninsured,direct_purchase,marketplace_flag,market_or_subsidy
age26_64_postyear,0,0,0,41611,5455,0.21453218914325917,0.21298745070328634,0.18574833060818735,0.21813413223452224
age26_64_postyear,0,0,1,17269,2620,0.18639771129434174,0.2553555823721145,0.22591190417079812,0.2589480363638402
age26_64_postyear,0,1,0,34637,4594,0.23159969091229082,0.24810797667070855,0.21442925058923915,0.2534410413395866
age26_64_postyear,0,1,1,15017,2189,0.1916120558982092,0.3119244106702397,0.27646604735865543,0.31230931935580275
age26_64_postyear,1,0,0,20552,2664,0.34377533259708987,0.1527849405709539,0.11692166033573198,0.1552132950602213
age26_64_postyear,1,0,1,10117,1431,0.3008691137122214,0.1636997922487405,0.1290957500105883,0.1636997922487405
age26_64_postyear,1,1,0,17970,2307,0.4287453676563873,0.14781808742609273,0.1218384278916343,0.14880428850609018
age26_64_postyear,1,1,1,8021,1117,0.3768630686245409,0.1887419072831881,0.15648794632415708,0.1903300691125735
age26_64_postyear,active_term,active_term,active_term,8021,1117,0.3768630686245409,0.1887419072831881,0.15648794632415708,0.1903300691125735
age21_64_postyear,0,0,0,49133,6608,0.2119796581623508,0.20720546029132808,0.17875663239016498,0.21203286516560813
age21_64_postyear,0,0,1,20220,3136,0.17977933413577377,0.25441609190957015,0.2253490364531816,0.25778398674442804
age21_64_postyear,0,1,0,40977,5608,0.22501931126552988,0.24440112203939615,0.20935638853935531,0.24988162561958152
age21_64_postyear,0,1,1,17566,2671,0.1874665788848994,0.3050145924906835,0.2723511717284961,0.30678792151420803
age21_64_postyear,1,0,0,24855,3294,0.35229339205442045,0.1427510638795305,0.10513906307359196,0.14534572765818132
age21_64_postyear,1,0,1,11720,1674,0.3132498719043101,0.160688954601516,0.12642875165204168,0.160688954601516
age21_64_postyear,1,1,0,21731,2839,0.4248943576916462,0.1419965641119432,0.11231902535208543,0.14292867374204196
age21_64_postyear,1,1,1,9285,1326,0.37338087881028265,0.19187850544030532,0.1558286662823041,0.19322139011506811
age21_64_postyear,active_term,active_term,active_term,9285,1326,0.37338087881028265,0.19187850544030532,0.1558286662823041,0.19322139011506811
