model,outcome,term,coef,se_hc1,t_hc1,se_person_cluster,t_person_cluster,se_state_cluster,t_state_cluster,n_person_months,n_persons,n_state_clusters,bandwidth
ddd_nonexp_low100150_vs_150200_all_states,uninsured,low_post_nonexp,-0.008470437814271363,0.009206516985417624,-0.9200480298562257,0.02729682470774351,-0.3103085397280104,0.029397835713228754,-0.2881313405823186,224594,22353,51,
nonexp_local150_bw0.50,uninsured,below_post,0.060017544436856696,0.017095815710929663,3.5106569614274914,0.04360078148370691,1.376524511591255,0.052726485382223104,1.1382807710731995,90195,9027,19,0.5
nonexp_local150_bw0.25,uninsured,below_post,0.06371539074624222,0.02353300141021447,2.707491052058775,0.051650805812722335,1.233579800812095,0.07825693840350818,0.8141820015717088,44378,5780,19,0.25
expansion_local150_placebo_bw0.50,uninsured,below_post,0.015569738248484321,0.010809806148926179,1.440334640046342,0.02619895349894841,0.5942885561863862,0.022892476494819517,0.6801246799142808,134129,13764,41,0.5
ddd_nonexp_low100150_vs_150200_all_states,any_coverage,low_post_nonexp,0.008470437814982176,0.009206516985417823,0.9200480299334134,0.027296824707743854,0.31030853975404665,0.029397835713262575,0.28813134060616624,224594,22353,51,
nonexp_local150_bw0.50,any_coverage,below_post,-0.06001754443710805,0.017095815710929795,-3.5106569614421668,0.04360078148370357,-1.3765245115971256,0.05272648538221031,-1.1382807710782428,90195,9027,19,0.5
nonexp_local150_bw0.25,any_coverage,below_post,-0.06371539074657662,0.02353300141021456,-2.7074910520729745,0.051650805812725076,-1.2335798008185037,0.07825693840345778,-0.8141820015765063,44378,5780,19,0.25
expansion_local150_placebo_bw0.50,any_coverage,below_post,-0.015569738247033272,0.010809806148925898,-1.4403346399121448,0.026198953498947443,-0.5942885561310224,0.022892476494773252,-0.6801246798522699,134129,13764,41,0.5
ddd_nonexp_low100150_vs_150200_all_states,market_or_subsidy,low_post_nonexp,0.009861991662097863,0.008850718071821674,1.1142589315431721,0.026435075672922425,0.373064627622744,0.03204874877448602,0.3077184613818367,224594,22353,51,
nonexp_local150_bw0.50,market_or_subsidy,below_post,-0.014786889073948206,0.014714709562324214,-1.0049052624055048,0.0376211545783581,-0.393047189531352,0.026579219747596732,-0.5563326995437939,90195,9027,19,0.5
nonexp_local150_bw0.25,market_or_subsidy,below_post,-0.01909894754665431,0.02051551284439745,-0.9309515044304638,0.044576829959635154,-0.4284501065676638,0.045695352096399515,-0.41796258635589284,44378,5780,19,0.25
expansion_local150_placebo_bw0.50,market_or_subsidy,below_post,-0.00655294790746969,0.01252675487580662,-0.5231161599661887,0.03142827601453307,-0.2085048478140982,0.028649482115473916,-0.22872831980199623,134129,13764,41,0.5
ddd_nonexp_low100150_vs_150200_all_states,direct_purchase,low_post_nonexp,0.008069813942950692,0.00879648325078149,0.9173909291799948,0.02631782482393169,0.3066292141139467,0.03268465891709056,0.2468991328139896,224594,22353,51,
nonexp_local150_bw0.50,direct_purchase,below_post,-0.011071172434482968,0.014656847035116789,-0.7553583937907796,0.03749772785336034,-0.2952491542361767,0.027089957456704766,-0.4086817948007833,90195,9027,19,0.5
