"rank","idea","verdict","policy_hook","identification_design","key_empirical_evidence","main_limitation","recommended_use","key_artifact"
"1","ARPA 400% FPL subsidy-cliff removal","CURRENT LEAD / CONDITIONAL GO","2021 ARPA removed the ACA 400% FPL subsidy cliff; 2026 enhanced PTC expiration makes the cliff current again","SIPP person-month local difference-in-discontinuities around 400% FPL","Uninsured -0.0277; person SE 0.0141; state SE 0.0151; lagged non-employer market_or_subsidy +0.0739","Annual-FPL mechanism weak; placebo thresholds not empty; full-sample employer source rises","Main manuscript candidate","sipp/report/90_arpa_400fpl_specification_lock_and_identification_memo.md"
"2","Late Medicaid expansion 100-138% FPL threshold","EMPIRICAL GO / PUBLICATION-GAP CONDITIONAL BACKUP","Recent late adopters and current Medicaid expansion policy debate","Late-expansion states vs never-expansion states around 100-138% FPL eligibility band","Medicaid +8.9 pp state t 3.04; uninsured -7.4 pp state t -4.80; 191926 person-months","Generic Medicaid expansion literature is saturated; uninsured placebo/pretrend mixed","Best empirical backup","sipp/report/62_twentythird_round_late_medicaid_expansion_decision.md"
"3","Medicare age-65 threshold / older-adult Marketplace bridge","EMPIRICALLY CLEAN / CONDITIONAL BACKUP ONLY","Older pre-Medicare Marketplace affordability and proposals to lower Medicare eligibility age","Age-65 local threshold and ARPA-era discontinuity change","Medicare +50.8 pp; uninsured -4.7 pp; direct purchase -5.7 pp at age 65","Standard Medicare age-65 RD is not novel; ARPA interaction mostly compositional","Clean-design benchmark or backup","sipp/report/68_twentysixth_round_medicare_age65_decision.md"
"4","ARPA UI Marketplace subsidy","CONDITIONAL ARPA EXTENSION / NOT FIRST LEAD","ARPA 2021 special Marketplace subsidy rule for UI recipients","DDD for UI recipients in 2021; event/timing variants","Excluding 2020 direct purchase +3.94 pp t 2.06; market/subsidy +3.81 pp t 1.99","UI receipt in 2021 confounded by pandemic labor market and UI policy shocks","ARPA appendix or extension","sipp/report/71_twentyseventh_round_arpa_ui_marketplace_decision.md"
"5","ARPA 100-150% FPL non-expansion zero-premium margin","BACKUP ONLY / WEAK CONDITIONAL","ARPA zero-premium plans for many 100-150% FPL adults; 2026 enhanced PTC expiration","Non-expansion 100-150 vs controls; DDD and local 150% models","Raw uninsured 39.8% to 33.4%; DDD uninsured -0.0085; DDD market/subsidy +0.0099","Strict models weak; local 150 uninsured moves wrong direction; controls contaminated","Background or weak backup","sipp/report/98_fortyfirst_round_arpa_100150_nonexpansion_decision.md"
"6","150% FPL low-income Marketplace SEP","POLICY-RELEVANT BUT FRAGILE / APPENDIX ONLY","2022 low-income Marketplace SEP and current debate over year-round enrollment","HealthCare.gov vs SBM DDD among 138-150% FPL off-season months","Narrow no-Medicaid Marketplace flag +9.47 pp state t 1.93","Broad 100-150 no-Medicaid sensitivity does not replicate; SEP use unobserved","Appendix or policy-background screen","sipp/report/73_twentyeighth_round_low_income_sep_decision.md"
"7","ARPA400 premium-exposure heterogeneity","APPENDIX DIAGNOSTIC / NOT A PROMOTION","Premium burden should mediate the 400% FPL cliff removal","Triple/quadruple interactions with high premium exposure and older age","Continuous burden uninsured -0.0146 state t -2.08","Binary high-premium and older-age gradients do not support clean mechanism","Mechanism-risk appendix for ARPA400","sipp/report/96_fortieth_round_arpa400_premium_exposure_extension_status.md"
"8","2023 ACA family-glitch fix","NO-GO AS MAIN SIPP IDEA","2023 rule fixed family affordability test for Marketplace PTC eligibility","Family exposure proxy and premium-burden transition DDD","Closest cell has 74 actual 2022->2023 high-burden pairs; direct-market +0.0203 t 0.56; exchange/subsidy -0.0114 t -0.47","SIPP lacks employer offer and employee-only vs family premium eligibility variables","Future-data idea only","sipp/report/100_family_glitch_current_no_go_decision.md"
"9","Arkansas Medicaid work requirements","NO-GO FOR CURRENT SIPP MAIN PAPER","Work requirements remain policy-hot","Arkansas treated cell during 2018-2019 work-requirement period","About 979 person-months and 109 Medicaid months in key cell","Treated SIPP support too small","Do not pursue with current SIPP","sipp/report/49_seventeenth_round_arkansas_work_requirement_decision.md"
"10","Georgia Pathways / Medicaid work requirement","NO-GO FOR MAIN SIPP CAUSAL PAPER","Current Medicaid work-requirement policy relevance","Georgia-specific work-requirement style program screen","Policy-relevance sidebar only","SIPP support too thin for main causal design","Do not pursue as main paper","sipp/report/66_twentyfifth_round_georgia_pathways_decision.md"
"11","ARPA COBRA premium subsidy","NO-GO AS MAIN SIPP PAPER","ARPA temporary COBRA premium subsidy","Former-employer/private source proxy screen","No clean standalone transition signal","COBRA eligibility and take-up not observed cleanly","Discarded diagnostic","sipp/report/75_twentyninth_round_arpa_cobra_decision.md"
"12","STLDI state regulation","NO-GO FROM CURRENT SIPP","2018 federal STLDI expansion and state restrictions","Permissive vs restrictive state DDD among target adults","No clean direct/off-market private shift","SIPP does not identify STLDI enrollment","Discarded diagnostic","sipp/report/29_seventh_round_family_glitch_stldi_decision.md"
"13","ACA reinsurance","DIRECTIONAL INSURANCE SIGNAL BUT NO CLEAN GO","State 1332 reinsurance programs affect individual-market premiums","State adoption DDD","Directional but not clean insurance signal","Needs better premium-reduction intensity; binary adoption insufficient","Discarded unless better external intensity added","sipp/report/47_sixteenth_round_aca_reinsurance_decision.md"
"14","State Marketplace subsidies","NO CLEAN IMMEDIATE GO","State supplemental Marketplace subsidies","State policy DDD/event screen","No clean immediate go","Timing/intensity and mechanism clarity insufficient","Discarded for current goal","sipp/report/27_sixth_round_state_subsidy_decision.md"
"15","Public charge / immigrant chilling effect","TOPICAL BUT NOT CLEAN FROM CURRENT PACKAGE","Public charge rules and immigrant chilling effects","DDD requiring citizenship/nativity extraction","Not a sample-size no-go but DDD not clean","Needs raw-variable extraction and stronger immigrant exposure construction","Future raw-variable topic","sipp/report/64_twentyfourth_round_public_charge_decision.md"
"16","IRA Medicare insulin cap","NO-GO / MEASUREMENT TOO INDIRECT","IRA insulin cost-sharing cap","Medicare subgroup screen","Policy-hot but no clean health-insurance causal estimate","SIPP lacks insulin use and Part D exposure","Discarded for current goal","sipp/report/69_ira_insulin_medicare_fast_test.md"
"17","Student loan repayment resumption","NO-GO AS MAIN SIPP HEALTH-INSURANCE PAPER","Student loan repayment restart may affect household finances and coverage","Annual/monthly repayment exposure screens","No defensible insurance causal interpretation","True repayment exposure not cleanly observed","Discarded","sipp/report/79_thirtyfirst_round_student_loan_repayment_decision.md"
"18","SNAP Emergency Allotment termination","OUT OF CURRENT INSURANCE SCOPE / CONDITIONAL FOOD-SECURITY LEAD","SNAP EA termination affects food security","Household/person-year food-security design","Previously best food-security conditional lead","Not an adult health-insurance coverage paper","Do not displace ARPA400 in this goal","sipp/report/37_eleventh_round_snap_ea_household_decision.md"
