sample,state_fips,state_name,reference_year,person_years,persons,active,food_insecure_mean,very_low_food_mean
lag_snap_2018_2022,02,Alaska,2018,10,10,0,0.4,0.4
lag_snap_2018_2022,02,Alaska,2019,4,4,0,1.0,0.25
lag_snap_2018_2022,02,Alaska,2020,8,8,0,0.625,0.5
lag_snap_2018_2022,02,Alaska,2021,5,5,0,1.0,0.8
lag_snap_2018_2022,02,Alaska,2022,3,3,1,0.3333333333333333,0.3333333333333333
lag_snap_2018_2022,04,Arizona,2018,23,23,0,0.43478260869565216,0.30434782608695654
lag_snap_2018_2022,04,Arizona,2019,21,21,0,0.3333333333333333,0.19047619047619047
lag_snap_2018_2022,04,Arizona,2020,29,29,0,0.3103448275862069,0.1724137931034483
lag_snap_2018_2022,04,Arizona,2021,10,10,0,0.2,0.0
lag_snap_2018_2022,04,Arizona,2022,13,13,1,0.46153846153846156,0.38461538461538464
lag_snap_2018_2022,05,Arkansas,2018,21,21,0,0.2857142857142857,0.19047619047619047
lag_snap_2018_2022,05,Arkansas,2019,15,15,0,0.5333333333333333,0.4666666666666667
lag_snap_2018_2022,05,Arkansas,2020,15,15,0,0.3333333333333333,0.26666666666666666
lag_snap_2018_2022,05,Arkansas,2021,4,4,1,0.5,0.25
lag_snap_2018_2022,05,Arkansas,2022,16,16,1,0.625,0.0625
lag_snap_2018_2022,12,Florida,2018,125,125,0,0.32,0.184
lag_snap_2018_2022,12,Florida,2019,67,67,0,0.40298507462686567,0.23880597014925373
lag_snap_2018_2022,12,Florida,2020,92,92,0,0.29347826086956524,0.07608695652173914
lag_snap_2018_2022,12,Florida,2021,44,44,1,0.38636363636363635,0.18181818181818182
lag_snap_2018_2022,12,Florida,2022,46,46,1,0.5,0.2391304347826087
lag_snap_2018_2022,13,Georgia,2018,59,59,0,0.2711864406779661,0.2033898305084746
lag_snap_2018_2022,13,Georgia,2019,35,35,0,0.2571428571428571,0.14285714285714285
lag_snap_2018_2022,13,Georgia,2020,42,42,0,0.2619047619047619,0.16666666666666666
lag_snap_2018_2022,13,Georgia,2021,29,29,0,0.2413793103448276,0.06896551724137931
lag_snap_2018_2022,13,Georgia,2022,37,37,1,0.43243243243243246,0.13513513513513514
lag_snap_2018_2022,16,Idaho,2018,8,8,0,0.25,0.125
lag_snap_2018_2022,16,Idaho,2019,5,5,0,0.4,0.4
lag_snap_2018_2022,16,Idaho,2020,9,9,0,0.3333333333333333,0.3333333333333333
lag_snap_2018_2022,16,Idaho,2021,3,3,1,0.3333333333333333,0.0
lag_snap_2018_2022,16,Idaho,2022,10,10,1,0.7,0.2
lag_snap_2018_2022,18,Indiana,2018,20,20,0,0.5,0.05
lag_snap_2018_2022,18,Indiana,2019,13,13,0,0.38461538461538464,0.15384615384615385
lag_snap_2018_2022,18,Indiana,2020,18,18,0,0.3333333333333333,0.0
lag_snap_2018_2022,18,Indiana,2021,17,17,0,0.17647058823529413,0.058823529411764705
lag_snap_2018_2022,18,Indiana,2022,17,17,1,0.4117647058823529,0.17647058823529413
lag_snap_2018_2022,19,Iowa,2018,21,21,0,0.38095238095238093,0.2857142857142857
lag_snap_2018_2022,19,Iowa,2019,14,14,0,0.35714285714285715,0.21428571428571427
lag_snap_2018_2022,19,Iowa,2020,16,16,0,0.375,0.125
lag_snap_2018_2022,19,Iowa,2021,4,4,0,0.25,0.0
lag_snap_2018_2022,19,Iowa,2022,7,7,1,0.0,0.0
lag_snap_2018_2022,21,Kentucky,2018,41,41,0,0.17073170731707318,0.0975609756097561
