state_fips,state_name,reference_year,mandate_adoption_year,mandate_new_state,mandate_active,mandate_event_time,mandate_sample_state,sbm_adoption_year,sbm_transition_state,sbm_active,sbm_event_time,sbm_risk_state
01,Alabama,2017,,0,0,,1,,0,0,,1
01,Alabama,2018,,0,0,,1,,0,0,,1
01,Alabama,2019,,0,0,,1,,0,0,,1
01,Alabama,2020,,0,0,,1,,0,0,,1
01,Alabama,2021,,0,0,,1,,0,0,,1
01,Alabama,2022,,0,0,,1,,0,0,,1
01,Alabama,2023,,0,0,,1,,0,0,,1
02,Alaska,2017,,0,0,,1,,0,0,,1
02,Alaska,2018,,0,0,,1,,0,0,,1
02,Alaska,2019,,0,0,,1,,0,0,,1
02,Alaska,2020,,0,0,,1,,0,0,,1
02,Alaska,2021,,0,0,,1,,0,0,,1
02,Alaska,2022,,0,0,,1,,0,0,,1
02,Alaska,2023,,0,0,,1,,0,0,,1
04,Arizona,2017,,0,0,,1,,0,0,,1
04,Arizona,2018,,0,0,,1,,0,0,,1
04,Arizona,2019,,0,0,,1,,0,0,,1
04,Arizona,2020,,0,0,,1,,0,0,,1
04,Arizona,2021,,0,0,,1,,0,0,,1
04,Arizona,2022,,0,0,,1,,0,0,,1
04,Arizona,2023,,0,0,,1,,0,0,,1
05,Arkansas,2017,,0,0,,1,,0,0,,1
05,Arkansas,2018,,0,0,,1,,0,0,,1
05,Arkansas,2019,,0,0,,1,,0,0,,1
05,Arkansas,2020,,0,0,,1,,0,0,,1
05,Arkansas,2021,,0,0,,1,,0,0,,1
05,Arkansas,2022,,0,0,,1,,0,0,,1
05,Arkansas,2023,,0,0,,1,,0,0,,1
06,California,2017,2020.0,1,0,-3.0,1,,0,0,,0
06,California,2018,2020.0,1,0,-2.0,1,,0,0,,0
06,California,2019,2020.0,1,0,-1.0,1,,0,0,,0
06,California,2020,2020.0,1,1,0.0,1,,0,0,,0
06,California,2021,2020.0,1,1,1.0,1,,0,0,,0
06,California,2022,2020.0,1,1,2.0,1,,0,0,,0
06,California,2023,2020.0,1,1,3.0,1,,0,0,,0
08,Colorado,2017,,0,0,,1,,0,0,,0
08,Colorado,2018,,0,0,,1,,0,0,,0
08,Colorado,2019,,0,0,,1,,0,0,,0
08,Colorado,2020,,0,0,,1,,0,0,,0
08,Colorado,2021,,0,0,,1,,0,0,,0
08,Colorado,2022,,0,0,,1,,0,0,,0
08,Colorado,2023,,0,0,,1,,0,0,,0
09,Connecticut,2017,,0,0,,1,,0,0,,0
09,Connecticut,2018,,0,0,,1,,0,0,,0
09,Connecticut,2019,,0,0,,1,,0,0,,0
09,Connecticut,2020,,0,0,,1,,0,0,,0
09,Connecticut,2021,,0,0,,1,,0,0,,0
09,Connecticut,2022,,0,0,,1,,0,0,,0
09,Connecticut,2023,,0,0,,1,,0,0,,0
10,Delaware,2017,,0,0,,1,,0,0,,1
10,Delaware,2018,,0,0,,1,,0,0,,1
10,Delaware,2019,,0,0,,1,,0,0,,1
10,Delaware,2020,,0,0,,1,,0,0,,1
10,Delaware,2021,,0,0,,1,,0,0,,1
10,Delaware,2022,,0,0,,1,,0,0,,1
10,Delaware,2023,,0,0,,1,,0,0,,1
11,District of Columbia,2017,,0,0,,0,,0,0,,0
11,District of Columbia,2018,,0,0,,0,,0,0,,0
11,District of Columbia,2019,,0,0,,0,,0,0,,0
11,District of Columbia,2020,,0,0,,0,,0,0,,0
11,District of Columbia,2021,,0,0,,0,,0,0,,0
11,District of Columbia,2022,,0,0,,0,,0,0,,0
11,District of Columbia,2023,,0,0,,0,,0,0,,0
12,Florida,2017,,0,0,,1,,0,0,,1
12,Florida,2018,,0,0,,1,,0,0,,1
12,Florida,2019,,0,0,,1,,0,0,,1
12,Florida,2020,,0,0,,1,,0,0,,1
12,Florida,2021,,0,0,,1,,0,0,,1
12,Florida,2022,,0,0,,1,,0,0,,1
12,Florida,2023,,0,0,,1,,0,0,,1
13,Georgia,2017,,0,0,,1,,0,0,,1
13,Georgia,2018,,0,0,,1,,0,0,,1
13,Georgia,2019,,0,0,,1,,0,0,,1
13,Georgia,2020,,0,0,,1,,0,0,,1
13,Georgia,2021,,0,0,,1,,0,0,,1
13,Georgia,2022,,0,0,,1,,0,0,,1
13,Georgia,2023,,0,0,,1,,0,0,,1
15,Hawaii,2017,,0,0,,1,,0,0,,0
15,Hawaii,2018,,0,0,,1,,0,0,,0
15,Hawaii,2019,,0,0,,1,,0,0,,0
15,Hawaii,2020,,0,0,,1,,0,0,,0
15,Hawaii,2021,,0,0,,1,,0,0,,0
15,Hawaii,2022,,0,0,,1,,0,0,,0
15,Hawaii,2023,,0,0,,1,,0,0,,0
16,Idaho,2017,,0,0,,1,,0,0,,0
16,Idaho,2018,,0,0,,1,,0,0,,0
16,Idaho,2019,,0,0,,1,,0,0,,0
16,Idaho,2020,,0,0,,1,,0,0,,0
16,Idaho,2021,,0,0,,1,,0,0,,0
16,Idaho,2022,,0,0,,1,,0,0,,0
16,Idaho,2023,,0,0,,1,,0,0,,0
17,Illinois,2017,,0,0,,1,,0,0,,1
17,Illinois,2018,,0,0,,1,,0,0,,1
17,Illinois,2019,,0,0,,1,,0,0,,1
17,Illinois,2020,,0,0,,1,,0,0,,1
17,Illinois,2021,,0,0,,1,,0,0,,1
17,Illinois,2022,,0,0,,1,,0,0,,1
17,Illinois,2023,,0,0,,1,,0,0,,1
18,Indiana,2017,,0,0,,1,,0,0,,1
18,Indiana,2018,,0,0,,1,,0,0,,1
18,Indiana,2019,,0,0,,1,,0,0,,1
18,Indiana,2020,,0,0,,1,,0,0,,1
18,Indiana,2021,,0,0,,1,,0,0,,1
18,Indiana,2022,,0,0,,1,,0,0,,1
18,Indiana,2023,,0,0,,1,,0,0,,1
19,Iowa,2017,,0,0,,1,,0,0,,1
19,Iowa,2018,,0,0,,1,,0,0,,1
19,Iowa,2019,,0,0,,1,,0,0,,1
19,Iowa,2020,,0,0,,1,,0,0,,1
19,Iowa,2021,,0,0,,1,,0,0,,1
19,Iowa,2022,,0,0,,1,,0,0,,1
19,Iowa,2023,,0,0,,1,,0,0,,1
20,Kansas,2017,,0,0,,1,,0,0,,1
20,Kansas,2018,,0,0,,1,,0,0,,1
20,Kansas,2019,,0,0,,1,,0,0,,1
20,Kansas,2020,,0,0,,1,,0,0,,1
20,Kansas,2021,,0,0,,1,,0,0,,1
20,Kansas,2022,,0,0,,1,,0,0,,1
20,Kansas,2023,,0,0,,1,,0,0,,1
21,Kentucky,2017,,0,0,,1,2022.0,1,0,-5.0,1
21,Kentucky,2018,,0,0,,1,2022.0,1,0,-4.0,1
21,Kentucky,2019,,0,0,,1,2022.0,1,0,-3.0,1
21,Kentucky,2020,,0,0,,1,2022.0,1,0,-2.0,1
21,Kentucky,2021,,0,0,,1,2022.0,1,0,-1.0,1
21,Kentucky,2022,,0,0,,1,2022.0,1,1,0.0,1
21,Kentucky,2023,,0,0,,1,2022.0,1,1,1.0,1
