state_fips,state_name,implementation,period,person_months,persons,medicaid,uninsured,direct_purchase,market_or_subsidy
16,Idaho,2020-01,pre,448,71,0.17261673761619875,0.24408463418573964,0.2466464029451793,0.2466464029451793
16,Idaho,2020-01,post,373,64,0.32362036736804406,0.22432657587171856,0.20968111592138747,0.20968111592138747
23,Maine,2019-01,pre,111,12,0.18957967849720342,0.1615730367188029,0.04774894188122468,0.04774894188122468
23,Maine,2019-01,post,108,17,0.3258541686878688,0.0,0.3791309027995725,0.3791309027995725
29,Missouri,2021-10,pre,936,160,0.1860310318377561,0.2869745419223299,0.2627780633201805,0.2665784488927336
29,Missouri,2021-10,post,344,68,0.35604691142445716,0.19455344314853296,0.37616495119115084,0.37616495119115084
31,Nebraska,2020-10,pre,366,68,0.29703000458628637,0.1307574088073935,0.10399149153727585,0.10399149153727585
31,Nebraska,2020-10,post,151,38,0.28527183875509554,0.28071014275424183,0.1817330094511509,0.1817330094511509
37,North Carolina,2023-12,pre,3332,460,0.22371196024943976,0.32749561788862946,0.19651218287912883,0.1970901361975457
37,North Carolina,2023-12,post,24,24,0.28720066582349074,0.19841151208315533,0.4265007029563793,0.4265007029563793
40,Oklahoma,2021-07,pre,1210,186,0.24588304506742897,0.3763233237208225,0.23624012245872442,0.23624012245872442
40,Oklahoma,2021-07,post,639,105,0.412009848398699,0.30136143006706456,0.14462228252615492,0.14462228252615492
46,South Dakota,2023-07,pre,161,29,0.14440654916237264,0.3156196271771559,0.07490575135082729,0.07490575135082729
46,South Dakota,2023-07,post,6,2,0.0,1.0,0.0,0.0
49,Utah,2020-01,pre,359,62,0.1408143750040671,0.4317850804224181,0.18281170433698965,0.2365632627385309
49,Utah,2020-01,post,448,81,0.21422857595136308,0.18455165831021472,0.2196158651294146,0.2196158651294146
51,Virginia,2019-01,pre,848,125,0.2845904646763735,0.3122585037040268,0.1199019579335703,0.1199019579335703
51,Virginia,2019-01,post,1149,184,0.4749929544834025,0.21176757308512686,0.1724148715978626,0.1724148715978626
