model,outcome,event_time,coef,se,t,n_person_years,n_persons,n_states,omitted_event_time
mandate_138_600_event,uninsured,-2,-0.005009413641430435,0.009856336255199624,-0.5082429730203007,87692,53329,48,-1
mandate_138_600_event,uninsured,0,-0.007618490700637497,0.010190686842014136,-0.747593446717252,87692,53329,48,-1
mandate_138_600_event,uninsured,1,0.011702764826916954,0.011160060694412194,1.0486291380813448,87692,53329,48,-1
mandate_138_600_event,uninsured,2,-0.015351538846185049,0.010783767596127472,-1.4235784209312798,87692,53329,48,-1
mandate_138_600_event,uninsured,3,-0.014420747381332743,0.010969197159706203,-1.3146584176921645,87692,53329,48,-1
mandate_138_600_event,any_coverage,-2,0.005009413641183299,0.009856336255199607,0.5082429729952279,87692,53329,48,-1
mandate_138_600_event,any_coverage,0,0.007618490700086879,0.010190686842014289,0.7475934466632094,87692,53329,48,-1
mandate_138_600_event,any_coverage,1,-0.011702764826727665,0.011160060694412091,-1.0486291380643933,87692,53329,48,-1
mandate_138_600_event,any_coverage,2,0.015351538845490368,0.010783767596127942,1.4235784208667985,87692,53329,48,-1
mandate_138_600_event,any_coverage,3,0.014420747380928953,0.010969197159706455,1.314658417655323,87692,53329,48,-1
mandate_138_600_event,direct_market,-2,0.003814264566323654,0.011425345756791397,0.3338423753221121,87692,53329,48,-1
mandate_138_600_event,direct_market,0,0.006762111381401672,0.011460477778495948,0.5900374759322746,87692,53329,48,-1
mandate_138_600_event,direct_market,1,-0.0011251335197580328,0.012445711379859146,-0.09040331126261153,87692,53329,48,-1
mandate_138_600_event,direct_market,2,0.022946806881007052,0.013779032088051242,1.665342437289614,87692,53329,48,-1
mandate_138_600_event,direct_market,3,0.030265004516036382,0.014337982324233339,2.1108272999391264,87692,53329,48,-1
mandate_138_600_event,exchange_subsidy,-2,-0.005140236526198605,0.01005765565158824,-0.5110770048472372,87692,53329,48,-1
mandate_138_600_event,exchange_subsidy,0,0.002552125012034331,0.010288753320204212,0.24804997579470361,87692,53329,48,-1
mandate_138_600_event,exchange_subsidy,1,0.005118911047948493,0.011509303178480536,0.444762899071036,87692,53329,48,-1
mandate_138_600_event,exchange_subsidy,2,0.026597448838221256,0.01283416506580466,2.0723941683660807,87692,53329,48,-1
mandate_138_600_event,exchange_subsidy,3,0.031200668053804892,0.013421092525192293,2.324748748675947,87692,53329,48,-1
