candidate,state,first_year,rows,persons,pre_persons,post_persons,direct_purchase_events,market_or_subsidy_events,uninsured_events,direct_purchase_mean_w_pre,direct_purchase_mean_w_post
state_reinsurance_individual_market,AK,2017,886,64,0,64,72,68,248,,0.07868024095494876
state_reinsurance_individual_market,MN,2018,7872,556,307,403,880,639,487,0.13027225326763517,0.09214913366684066
state_reinsurance_individual_market,OR,2018,7781,501,244,414,1029,814,765,0.12193869887111083,0.12735478381006102
state_reinsurance_individual_market,ME,2019,1912,131,61,98,185,160,181,0.061049842821755164,0.10663000297942543
state_reinsurance_individual_market,MD,2019,7841,567,261,429,1194,944,592,0.1447654735247445,0.15902291604617064
state_reinsurance_individual_market,NJ,2019,7093,558,199,438,988,757,788,0.12882264025025678,0.13082716569675507
state_reinsurance_individual_market,WI,2019,11607,779,411,554,1155,848,880,0.14139639536789514,0.08020350960020844
state_reinsurance_individual_market,CO,2020,11667,839,408,669,2015,1589,1640,0.1735732692198338,0.15908063660062882
state_reinsurance_individual_market,DE,2020,1258,98,48,71,82,82,192,0.11863177447954999,0.02344327860764843
state_reinsurance_individual_market,MT,2020,2341,163,89,129,192,156,271,0.0987070345603893,0.052962357422788715
state_reinsurance_individual_market,ND,2020,1014,64,39,45,75,38,12,0.036664172478908456,0.1413333020816452
state_reinsurance_individual_market,NH,2021,1478,109,55,69,184,123,110,0.16242644958188626,0.09120363515238553
state_reinsurance_individual_market,PA,2021,13508,1080,587,610,1312,890,1127,0.08340740020834894,0.10464740014085844
state_reinsurance_individual_market,GA,2022,11137,774,393,580,1066,759,2109,0.07896368382673925,0.101952865565436
state_reinsurance_individual_market,VA,2023,4604,380,242,232,585,424,391,0.1445642336155573,0.12183154244733706
