state_fips,reference_year,state,premium_reduction_pct,premium_reduction_10pp,reinsurance_active
01,2017,,0.0,0.0,0
01,2018,,0.0,0.0,0
01,2019,,0.0,0.0,0
01,2020,,0.0,0.0,0
01,2021,,0.0,0.0,0
01,2022,,0.0,0.0,0
01,2023,,0.0,0.0,0
02,2017,Alaska,0.0,0.0,0
02,2018,Alaska,30.18,3.018,1
02,2019,Alaska,33.95,3.3950000000000005,1
02,2020,Alaska,37.12,3.7119999999999997,1
02,2021,Alaska,41.17,4.117,1
02,2022,Alaska,38.05,3.8049999999999997,1
02,2023,Alaska,38.79,3.879,1
04,2017,,0.0,0.0,0
04,2018,,0.0,0.0,0
04,2019,,0.0,0.0,0
04,2020,,0.0,0.0,0
04,2021,,0.0,0.0,0
04,2022,,0.0,0.0,0
04,2023,,0.0,0.0,0
05,2017,,0.0,0.0,0
05,2018,,0.0,0.0,0
05,2019,,0.0,0.0,0
05,2020,,0.0,0.0,0
05,2021,,0.0,0.0,0
05,2022,,0.0,0.0,0
05,2023,,0.0,0.0,0
06,2017,,0.0,0.0,0
06,2018,,0.0,0.0,0
06,2019,,0.0,0.0,0
06,2020,,0.0,0.0,0
06,2021,,0.0,0.0,0
06,2022,,0.0,0.0,0
06,2023,,0.0,0.0,0
08,2017,Colorado,0.0,0.0,0
08,2018,Colorado,0.0,0.0,0
08,2019,Colorado,0.0,0.0,0
08,2020,Colorado,22.44,2.244,1
08,2021,Colorado,18.47,1.847,1
08,2022,Colorado,21.7,2.17,1
08,2023,Colorado,19.66,1.966,1
09,2017,,0.0,0.0,0
09,2018,,0.0,0.0,0
09,2019,,0.0,0.0,0
09,2020,,0.0,0.0,0
09,2021,,0.0,0.0,0
09,2022,,0.0,0.0,0
09,2023,,0.0,0.0,0
10,2017,Delaware,0.0,0.0,0
10,2018,Delaware,0.0,0.0,0
10,2019,Delaware,0.0,0.0,0
10,2020,Delaware,13.78,1.378,1
10,2021,Delaware,15.8,1.58,1
10,2022,Delaware,15.0,1.5,1
10,2023,Delaware,15.6,1.56,1
11,2017,,0.0,0.0,0
11,2018,,0.0,0.0,0
11,2019,,0.0,0.0,0
11,2020,,0.0,0.0,0
11,2021,,0.0,0.0,0
11,2022,,0.0,0.0,0
11,2023,,0.0,0.0,0
12,2017,,0.0,0.0,0
12,2018,,0.0,0.0,0
12,2019,,0.0,0.0,0
12,2020,,0.0,0.0,0
12,2021,,0.0,0.0,0
12,2022,,0.0,0.0,0
12,2023,,0.0,0.0,0
13,2017,Georgia,0.0,0.0,0
13,2018,Georgia,0.0,0.0,0
13,2019,Georgia,0.0,0.0,0
13,2020,Georgia,0.0,0.0,0
13,2021,Georgia,0.0,0.0,0
13,2022,Georgia,16.68,1.668,1
13,2023,Georgia,19.2,1.92,1
15,2017,,0.0,0.0,0
15,2018,,0.0,0.0,0
15,2019,,0.0,0.0,0
15,2020,,0.0,0.0,0
15,2021,,0.0,0.0,0
15,2022,,0.0,0.0,0
15,2023,,0.0,0.0,0
16,2017,Idaho,0.0,0.0,0
16,2018,Idaho,0.0,0.0,0
16,2019,Idaho,0.0,0.0,0
16,2020,Idaho,0.0,0.0,0
16,2021,Idaho,0.0,0.0,0
16,2022,Idaho,0.0,0.0,0
16,2023,Idaho,12.5,1.25,1
17,2017,,0.0,0.0,0
17,2018,,0.0,0.0,0
17,2019,,0.0,0.0,0
17,2020,,0.0,0.0,0
17,2021,,0.0,0.0,0
17,2022,,0.0,0.0,0
17,2023,,0.0,0.0,0
18,2017,,0.0,0.0,0
18,2018,,0.0,0.0,0
18,2019,,0.0,0.0,0
18,2020,,0.0,0.0,0
18,2021,,0.0,0.0,0
18,2022,,0.0,0.0,0
18,2023,,0.0,0.0,0
19,2017,,0.0,0.0,0
19,2018,,0.0,0.0,0
19,2019,,0.0,0.0,0
19,2020,,0.0,0.0,0
19,2021,,0.0,0.0,0
19,2022,,0.0,0.0,0
19,2023,,0.0,0.0,0
20,2017,,0.0,0.0,0
20,2018,,0.0,0.0,0
20,2019,,0.0,0.0,0
20,2020,,0.0,0.0,0
20,2021,,0.0,0.0,0
20,2022,,0.0,0.0,0
20,2023,,0.0,0.0,0
21,2017,,0.0,0.0,0
21,2018,,0.0,0.0,0
21,2019,,0.0,0.0,0
21,2020,,0.0,0.0,0
21,2021,,0.0,0.0,0
21,2022,,0.0,0.0,0
21,2023,,0.0,0.0,0
22,2017,,0.0,0.0,0
22,2018,,0.0,0.0,0
22,2019,,0.0,0.0,0
22,2020,,0.0,0.0,0
22,2021,,0.0,0.0,0
22,2022,,0.0,0.0,0
22,2023,,0.0,0.0,0
23,2017,Maine,0.0,0.0,0
23,2018,Maine,0.0,0.0,0
23,2019,Maine,13.86,1.386,1
23,2020,Maine,7.24,0.724,1
23,2021,Maine,9.11,0.9109999999999999,1
23,2022,Maine,10.91,1.091,1
23,2023,Maine,12.46,1.246,1
24,2017,Maryland,0.0,0.0,0
24,2018,Maryland,0.0,0.0,0
24,2019,Maryland,39.63,3.963,1
24,2020,Maryland,35.83,3.5829999999999997,1
24,2021,Maryland,34.0,3.4,1
24,2022,Maryland,29.8,2.98,1
24,2023,Maryland,32.56,3.2560000000000002,1
25,2017,,0.0,0.0,0
25,2018,,0.0,0.0,0
