outcome,cutoff,bandwidth,age_group,rows,persons,min_cell_persons,min_cell_events,coef_post_x_above,se_hc1,t_stat,pre_below_mean_w,pre_above_mean_w,post_below_mean_w,post_above_mean_w
direct_purchase,3.0,0.1,all,52884,4132,725,1439,0.06056231559752501,0.015051724593624171,4.02361305648516,0.13684332871007374,0.1295840864979615,0.1560483029787855,0.18744647048592444
direct_purchase,3.0,0.1,older_50_64,21060,1647,282,531,0.09812170137674414,0.02467737954974862,3.976179933486644,0.1855923569480202,0.16750498835057484,0.15797521733082537,0.20367502041503102
direct_purchase,3.0,0.1,age_26_49,31824,2496,443,908,0.032847208230405656,0.01866442200394503,1.7598834951043685,0.10950427285618948,0.11029401437330745,0.15495754871375517,0.17896861871558134
direct_purchase,3.0,0.25,all,134004,9738,1729,3681,0.02785730273681364,0.010067536790751964,2.7670425562689127,0.13155396396042598,0.12242078111108189,0.16040872784756957,0.16385453683390752
direct_purchase,3.0,0.25,older_50_64,52824,3874,669,1388,0.056314167769403234,0.01671101724572965,3.369882691240344,0.17070763801105265,0.15644265404034266,0.16661506629411618,0.1936565994010393
direct_purchase,3.0,0.25,age_26_49,81180,5915,1056,2074,0.008531277203080112,0.01250594675637358,0.6821776367096876,0.1094460713954958,0.1044224980608783,0.15724190551487266,0.14847658597445224
direct_purchase,3.0,0.5,all,264792,17633,3269,6663,0.03319135657871253,0.006919127247188972,4.79704381679021,0.13922008650751258,0.12472861785615341,0.15817085624984295,0.15460964063421
direct_purchase,3.0,0.5,older_50_64,103848,6942,1264,2985,0.06736375596481725,0.011373267184867909,5.922990717605271,0.17564730014287894,0.1494947681679759,0.17960632050724504,0.18213438675890173
direct_purchase,3.0,0.5,age_26_49,160944,10838,2013,3604,0.01175158211852656,0.008667241775224072,1.3558618097073623,0.11947813231985172,0.11131301331206613,0.14706648535480685,0.14040381772858876
direct_purchase,3.0,1.0,all,527436,31021,6028,12001,0.013754876858274256,0.004837004998292604,2.843676378901725,0.14853985466124875,0.11183969590773457,0.1735473350960658,0.14296002628705007
direct_purchase,3.0,1.0,older_50_64,206148,12219,2339,5444,0.03671746139691723,0.008126058421616783,4.518483561383481,0.18527027727809678,0.13353104608429459,0.19589133974180928,0.1653825784671094
direct_purchase,3.0,1.0,age_26_49,321288,19221,3719,6557,0.0009279715279715273,0.0059959800396449285,0.15476561326686472,0.12920082640343641,0.09999813915912231,0.1619540771206725,0.13168755869555904
direct_purchase,3.5,0.1,all,49260,3860,690,1098,0.054194889219632225,0.01578628245570708,3.43303683889424,0.13244896747765555,0.10052939623482904,0.1303938699431924,0.13941901858887115
direct_purchase,3.5,0.1,older_50_64,18768,1475,251,467,0.09000379812643677,0.027093900062941104,3.321921093580156,0.15744062572187623,0.13298710462600197,0.16114098356506545,0.13229430473153303
direct_purchase,3.5,0.1,age_26_49,30492,2398,439,575,0.03790945082264385,0.019230235032378574,1.9713462034558846,0.11911574127955799,0.08363288284037905,0.11546512181568545,0.14272683186380503
direct_purchase,3.5,0.25,all,124992,9232,1658,2955,0.05782328997534103,0.009633241531097736,6.002474845946471,0.12732177087772256,0.10279074753248438,0.14636204491356045,0.136508563559333
