state_fips,state_name,person_months,persons,post_person_months,post_persons,medicaid_pre,medicaid_post,uninsured_pre,uninsured_post
01,Alabama,877,97,195,35,0.3424063293471029,0.3653367829255712,0.21315381084332694,0.21874933555516138
12,Florida,3566,394,706,152,0.23297716642372424,0.19029405594791965,0.3776500073584263,0.37420407953372725
13,Georgia,2149,231,494,92,0.2805283232918605,0.23934256991979247,0.43244022607824156,0.4168915719563056
20,Kansas,363,45,63,16,0.2132229425818462,0.12647309830714545,0.22173039021175023,0.229567758026909
28,Mississippi,1320,121,250,46,0.4589851717185329,0.39434830438124485,0.24600574932939198,0.40411420859674935
45,South Carolina,1126,139,223,48,0.3629395197716928,0.28159345092266025,0.3520679670877835,0.38734866849648275
47,Tennessee,1436,145,355,69,0.39327809000278513,0.37852892494856083,0.2995295099796817,0.33802872210541907
48,Texas,6016,656,1443,297,0.21038377292700725,0.19097538606542214,0.502786759089743,0.4672054714088794
55,Wisconsin,848,97,205,49,0.5388351239039324,0.2917103776625265,0.08502732497120542,0.12931502987315796
56,Wyoming,152,14,35,6,0.20169890191365009,0.0,0.2585667163886729,0.17533261119449803
