model,excluded_state,excluded_state_name,outcome,term,coef,se,t,n_person_years,n_persons,n_states,weighted_mean
adult_dental_pooled_leave_one,51,Virginia,dental_visits,dental_treat,-0.20834316950914644,0.32426857628525535,-0.6425018788310507,48417,33406,51,1.2420854229813667
adult_dental_pooled_leave_one,51,Virginia,dental_any,dental_treat,-0.0014787030163914139,0.09936802253501127,-0.014881075205762583,49128,33769,51,0.5270058447441822
adult_dental_pooled_leave_one,51,Virginia,doctor_any,dental_treat,-0.004009240517683477,0.0773395826528034,-0.051839438230252076,49128,33769,51,0.6793882124290798
adult_dental_pooled_leave_one,51,Virginia,oop_any,dental_treat,-0.008631389438271686,0.09718538412349553,-0.08881365769263819,49128,33769,51,0.4611317607236793
adult_dental_pooled_leave_one,23,Maine,dental_visits,dental_treat,-0.24572165376169997,0.22480846335694787,-1.0930267041216613,49214,33966,51,1.2425429706398143
adult_dental_pooled_leave_one,23,Maine,dental_any,dental_treat,-0.06010531394527052,0.06790059885233674,-0.885195638347482,49939,34333,51,0.5273794210563794
adult_dental_pooled_leave_one,23,Maine,doctor_any,dental_treat,-0.003979753308270384,0.05753548665693222,-0.06917041185382725,49939,34333,51,0.6790367692489884
adult_dental_pooled_leave_one,23,Maine,oop_any,dental_treat,-0.005996474339807878,0.06556903483993029,-0.09145283828634518,49939,34333,51,0.46119019242967546
adult_dental_pooled_leave_one,47,Tennessee,dental_visits,dental_treat,-0.3455089815912755,0.26105326305184146,-1.323519106990294,47925,33109,51,1.246783513844427
adult_dental_pooled_leave_one,47,Tennessee,dental_any,dental_treat,-0.07371732511804585,0.08151920467754162,-0.9042939686377341,48630,33472,51,0.5294850722871589
adult_dental_pooled_leave_one,47,Tennessee,doctor_any,dental_treat,-0.018305797985394,0.07147638938231721,-0.2561097187978935,48630,33472,51,0.6783734980202469
adult_dental_pooled_leave_one,47,Tennessee,oop_any,dental_treat,0.0005332678030041116,0.07578915532292592,0.0070362019570206265,48630,33472,51,0.45931479342741927
adult_dental_pooled_leave_one,33,New Hampshire,dental_visits,dental_treat,-0.2607284311638587,0.21872480806447853,-1.1920386785160546,49270,34003,51,1.2407437320652905
adult_dental_pooled_leave_one,33,New Hampshire,dental_any,dental_treat,-0.05692642917129409,0.06656916931327969,-0.8551470561904398,49997,34371,51,0.5271118207381973
adult_dental_pooled_leave_one,33,New Hampshire,doctor_any,dental_treat,0.01165614680596283,0.056711031110483284,0.20553579396668983,49997,34371,51,0.6791702578836236
adult_dental_pooled_leave_one,33,New Hampshire,oop_any,dental_treat,0.007559883154896863,0.06451502595163379,0.11718019241849836,49997,34371,51,0.46095124321931974
