model,exposure,outcome,coef,se_hc1,t_hc1,se_person_cluster,t_person_cluster,n,clusters_person,treated_post_months,treated_post_persons,n_states
monthly_octdec_ddd,student_debt_prev,uninsured,0.00246858555193137,0.00813984478044114,0.303271821332886,0.008076099030235007,0.30566558714666187,429344,26820,2859.0,974,51
monthly_octdec_ddd,student_debt_prev,any_coverage,-0.002468585721968078,0.008139844780496749,-0.3032718422202429,0.008076099030463043,-0.305665608192343,429344,26820,2859.0,974,51
monthly_octdec_ddd,student_debt_prev,private,-0.012381917207948803,0.010705947187178197,-1.1565457022595633,0.008863173576079492,-1.3970071895427982,429344,26820,2859.0,974,51
monthly_octdec_ddd,student_debt_prev,public,0.0075369461322003,0.010037076526476093,0.7509104979242834,0.008042803279132872,0.9371043740128491,429344,26820,2859.0,974,51
monthly_octdec_ddd,student_debt_prev,medicaid,0.0074080808066560346,0.009617972090145623,0.7702331361770328,0.007961267655857347,0.930515230348484,429344,26820,2859.0,974,51
monthly_octdec_ddd,student_debt_prev,direct_market,-0.008004108158683937,0.0094700024342943,-0.845206557677131,0.007847808256098932,-1.019916376328835,429344,26820,2859.0,974,51
monthly_octdec_ddd,student_debt_prev,exchange_subsidy,-0.004206953560246551,0.009034317877564254,-0.46566366351731575,0.007496726484825469,-0.561172075406789,429344,26820,2859.0,974,51
monthly_octdec_ddd,student_debt_prev,oop_any,0.0009259688139464026,0.013368267146032849,0.06926618116104838,0.005286465417702779,0.17515839805659414,429344,26820,2859.0,974,51
monthly_octdec_ddd,student_debt_prev,doctor_any,0.0004586107283018198,0.011819483475974038,0.03880124958371126,0.004864009721981307,0.09428655667139768,429344,26820,2859.0,974,51
monthly_octdec_ddd,student_debt_prev,hospital_any,0.001987977792279847,0.007450685904303433,0.2668180913560741,0.0024717102664868216,0.8042924040225271,429344,26820,2859.0,974,51
monthly_octdec_ddd,student_debt_10k_prev,uninsured,0.013667261544165818,0.009002743889113816,1.5181217762611654,0.008463764209358087,1.6147970579159574,429344,26820,1845.0,630,51
monthly_octdec_ddd,student_debt_10k_prev,any_coverage,-0.013667261617717946,0.009002743889145614,-1.5181217844257713,0.008463764209266958,-1.614797066623582,429344,26820,1845.0,630,51
monthly_octdec_ddd,student_debt_10k_prev,private,-0.025252556616043337,0.012664577587330523,-1.9939517478502926,0.01003806257299703,-2.5156803349656514,429344,26820,1845.0,630,51
monthly_octdec_ddd,student_debt_10k_prev,public,0.006476649261500642,0.011749525178365814,0.551226467723647,0.010397234082542539,0.6229204046079188,429344,26820,1845.0,630,51
monthly_octdec_ddd,student_debt_10k_prev,medicaid,0.004754098891587805,0.01111462092186551,0.4277337864249772,0.010323694327638485,0.46050364730968274,429344,26820,1845.0,630,51
monthly_octdec_ddd,student_debt_10k_prev,direct_market,-0.015241229203411486,0.011412529769563353,-1.3354820982863136,0.010057413252427792,-1.5154223875341262,429344,26820,1845.0,630,51
monthly_octdec_ddd,student_debt_10k_prev,exchange_subsidy,-0.008983205941049658,0.010852178096763471,-0.8277790744817198,0.009623623825493147,-0.9334535621865215,429344,26820,1845.0,630,51
monthly_octdec_ddd,student_debt_10k_prev,oop_any,0.007791449371026535,0.016076071047573807,0.4846612924245826,0.006595476739979573,1.1813322490847973,429344,26820,1845.0,630,51
monthly_octdec_ddd,student_debt_10k_prev,doctor_any,0.010729685983666984,0.014064806423316506,0.762874771307155,0.006101867838775299,1.7584264797548501,429344,26820,1845.0,630,51
monthly_octdec_ddd,student_debt_10k_prev,hospital_any,0.0012483946368828103,0.00844952084196197,0.14774738831142223,0.003051239220056633,0.4091434813359666,429344,26820,1845.0,630,51
monthly_octdec_ddd,student_debt_25k_prev,uninsured,0.007802581018295944,0.010877467650256746,0.7173159479000405,0.010280158373351774,0.7589942425908335,429344,26820,1152.0,391,51
monthly_octdec_ddd,student_debt_25k_prev,any_coverage,-0.007802581124589175,0.010877467650317238,-0.7173159576679242,0.010280158373373075,-0.75899425292891,429344,26820,1152.0,391,51
monthly_octdec_ddd,student_debt_25k_prev,private,-0.026679417441986514,0.015236463831377218,-1.7510242361514516,0.012157449883805991,-2.1944912540848,429344,26820,1152.0,391,51
monthly_octdec_ddd,student_debt_25k_prev,public,0.015178526020188148,0.014255162928199692,1.0647739416686604,0.01530658296431938,0.9916338646953574,429344,26820,1152.0,391,51
monthly_octdec_ddd,student_debt_25k_prev,medicaid,0.012281351845509339,0.01303920335227896,0.9418790023980134,0.015238849829747596,0.8059238054524983,429344,26820,1152.0,391,51
monthly_octdec_ddd,student_debt_25k_prev,direct_market,-0.0202288328479178,0.012901815544606265,-1.5679059104495312,0.014776345629033351,-1.369001061275334,429344,26820,1152.0,391,51
monthly_octdec_ddd,student_debt_25k_prev,exchange_subsidy,-0.012000878786561364,0.012097843121530104,-0.9919849898866537,0.014218968666630258,-0.8440048689836126,429344,26820,1152.0,391,51
monthly_octdec_ddd,student_debt_25k_prev,oop_any,0.0020536798111711885,0.018895392359427676,0.10868680428043742,0.008474761141110822,0.24232893139711595,429344,26820,1152.0,391,51
monthly_octdec_ddd,student_debt_25k_prev,doctor_any,0.006923058390517767,0.017180253937739413,0.4029660106076818,0.007947534155094168,0.8710951416396572,429344,26820,1152.0,391,51
monthly_octdec_ddd,student_debt_25k_prev,hospital_any,0.0037603241382089033,0.009849399617056054,0.3817820663603909,0.0034578926014260706,1.087461229032419,429344,26820,1152.0,391,51
annual_pair_change_ddd,student_debt_base,d_food_insecure,0.010171108577620014,0.02083160980361564,0.4882536046664365,0.021433042174156276,0.474552725412178,44232,28406,,940,51
annual_pair_change_ddd,student_debt_base,d_food_severe,0.01983563915200326,0.015710565978339124,1.262566808818445,0.016178267680284283,1.2260669401691286,44232,28406,,940,51
annual_pair_change_ddd,student_debt_base,d_rent_mortgage_hardship,-0.015281873325233978,0.012596554191416157,-1.2131788656653195,0.013054180314809987,-1.1706497808902387,44232,28406,,940,51
annual_pair_change_ddd,student_debt_base,d_medical_debt,0.02373545989234949,0.017165640454660968,1.3827308078041811,0.01740748657639857,1.3635202180497739,44232,28406,,940,51
