post_2021,rows,persons,weight,left,right
0,8892,736,5.53896e+07,2.999,3.05
0,8676,712,4.977793e+07,3.05,3.1
0,9336,765,5.5453036e+07,3.1,3.15
0,8328,685,5.0537244e+07,3.15,3.2
0,8880,732,5.498718e+07,3.2,3.25
0,8388,691,5.1599212e+07,3.25,3.3
0,8640,711,5.25434e+07,3.3,3.35
0,8556,709,5.0333076e+07,3.35,3.4
0,7452,609,4.398293e+07,3.4,3.45
0,8148,672,5.072972e+07,3.45,3.5
0,8340,681,4.974583e+07,3.5,3.55
0,8268,674,5.1594096e+07,3.55,3.6
0,7572,622,4.62032e+07,3.6,3.65
0,8688,711,5.207576e+07,3.65,3.7
0,8712,717,5.159373e+07,3.7,3.75
0,7584,630,4.586017e+07,3.75,3.8
0,8172,675,4.8038284e+07,3.8,3.85
0,7608,630,4.5531304e+07,3.85,3.9
0,8028,662,4.876806e+07,3.9,3.95
0,7800,640,4.963508e+07,3.95,4.0
0,7752,635,4.948934e+07,4.0,4.05
0,8040,652,4.7463144e+07,4.05,4.1
0,8040,658,4.9859404e+07,4.1,4.15
0,7476,621,4.645423e+07,4.15,4.2
0,7008,576,4.2257384e+07,4.2,4.25
0,7308,595,4.4071828e+07,4.25,4.3
0,7152,588,4.2501132e+07,4.3,4.35
0,7380,605,4.4538532e+07,4.35,4.4
0,6888,569,4.0467172e+07,4.4,4.45
0,7092,585,4.2000724e+07,4.45,4.5
0,6924,566,4.1075344e+07,4.5,4.55
0,6108,504,3.845209e+07,4.55,4.6
0,5700,465,3.532713e+07,4.6,4.65
0,6732,550,4.136636e+07,4.65,4.7
0,6012,493,3.773288e+07,4.7,4.75
0,6264,517,3.862237e+07,4.75,4.8
0,6456,534,3.9034364e+07,4.8,4.85
0,6024,495,3.609442e+07,4.85,4.9
0,6504,538,4.1659044e+07,4.9,4.95
0,6120,501,3.9551984e+07,4.95,5.0
1,4824,393,4.295696e+07,2.999,3.05
1,4260,348,3.53557e+07,3.05,3.1
1,4428,367,4.151341e+07,3.1,3.15
1,4140,341,3.6735584e+07,3.15,3.2
1,4452,362,3.9222156e+07,3.2,3.25
1,4728,393,4.3787776e+07,3.25,3.3
1,3852,317,3.467634e+07,3.3,3.35
1,3600,297,3.3062542e+07,3.35,3.4
1,4608,382,3.956284e+07,3.4,3.45
1,3852,317,3.645649e+07,3.45,3.5
1,4308,357,3.8705156e+07,3.5,3.55
1,4284,355,3.7985636e+07,3.55,3.6
1,3900,325,3.5313772e+07,3.6,3.65
1,4428,366,3.941359e+07,3.65,3.7
1,4440,368,4.23724e+07,3.7,3.75
1,3912,326,3.475199e+07,3.75,3.8
1,4272,353,4.021224e+07,3.8,3.85
1,3828,316,3.4436864e+07,3.85,3.9
1,3444,286,3.2543142e+07,3.9,3.95
1,4044,336,3.853931e+07,3.95,4.0
1,3336,276,3.006902e+07,4.0,4.05
1,3816,317,3.499192e+07,4.05,4.1
1,3576,298,3.209551e+07,4.1,4.15
1,3648,301,3.5117856e+07,4.15,4.2
1,3684,306,3.5453956e+07,4.2,4.25
1,3732,304,3.2233322e+07,4.25,4.3
1,3804,311,3.530242e+07,4.3,4.35
1,3456,286,3.1114504e+07,4.35,4.4
1,3336,277,3.249575e+07,4.4,4.45
1,3624,301,3.441181e+07,4.45,4.5
1,3048,254,2.7467946e+07,4.5,4.55
1,3072,251,2.9795052e+07,4.55,4.6
1,3936,325,3.4669068e+07,4.6,4.65
1,3084,255,3.0349836e+07,4.65,4.7
1,3180,264,2.8086698e+07,4.7,4.75
1,2592,215,2.1529166e+07,4.75,4.8
1,3348,276,3.042099e+07,4.8,4.85
1,3132,261,2.9277344e+07,4.85,4.9
1,3336,274,2.9656844e+07,4.9,4.95
1,3048,248,2.7586876e+07,4.95,5.0
