spec,label,outcome,term,coef,se_hc1,t_hc1,se_person_cluster,t_person_cluster,n,persons,age_min,age_max,weighted_mean
age60_70_pooled,Age 60-70 pooled age-65 local linear,medicare,above65,0.5083727879850031,0.002341640986853042,217.10108032752325,0.007475607809651845,68.00420794261531,644849,29792,60.0,70.0,0.5311919145238385
age60_70_pooled,Age 60-70 pooled age-65 local linear,uninsured,above65,-0.046997901193898045,0.001294771289306158,-36.29822624433021,0.004082422553925456,-11.51225787460614,644849,29792,60.0,70.0,0.0450525768382314
age60_70_pooled,Age 60-70 pooled age-65 local linear,any_coverage,above65,0.04699790119417102,0.0012947712893061594,36.298226244541,0.004082422553925457,11.512257874673004,644849,29792,60.0,70.0,0.9549474231617686
age60_70_pooled,Age 60-70 pooled age-65 local linear,public,above65,0.43273151157969103,0.00245626159633475,176.17484726603055,0.008115792995351976,53.31968321857423,644849,29792,60.0,70.0,0.5987604097856468
age60_70_pooled,Age 60-70 pooled age-65 local linear,private,above65,-0.08155239813766357,0.0025176097245409135,-32.392788025369846,0.008139037451781198,-10.01990697558667,644849,29792,60.0,70.0,0.6768608854164679
age60_70_pooled,Age 60-70 pooled age-65 local linear,direct_purchase,above65,-0.05698592812118464,0.002269458178727565,-25.109926525782196,0.007496422077780794,-7.601750212289873,644849,29792,60.0,70.0,0.17831778953473854
age60_70_pooled,Age 60-70 pooled age-65 local linear,marketplace_flag,above65,-0.06746160333450557,0.0018371109900716831,-36.721571913231685,0.00608178466093507,-11.092402492944135,644849,29792,60.0,70.0,0.09248078259129397
age60_70_pooled,Age 60-70 pooled age-65 local linear,market_or_subsidy,above65,-0.05695407599737079,0.002286766482948504,-24.905943139386718,0.00753241156006083,-7.561200757982857,644849,29792,60.0,70.0,0.18162658220213582
age60_70_pooled,Age 60-70 pooled age-65 local linear,medicaid,above65,-0.009528646093317272,0.0019979595700706184,-4.769188644282967,0.0064089004559735345,-1.486783288143588,644849,29792,60.0,70.0,0.13773501300213556
age60_70_pooled,Age 60-70 pooled age-65 local linear,oop_gt_0,above65,-0.001859849612543485,0.0027264341113187097,-0.6821546153719156,0.008568515263997491,-0.21705622914136055,644849,29792,60.0,70.0,0.686959326133208
age60_70_pooled,Age 60-70 pooled age-65 local linear,oop_gt_1000,above65,-0.0224633901600666,0.002509546184449566,-8.951176232285054,0.007807080841090073,-2.87730979316081,644849,29792,60.0,70.0,0.24771268514302253
age60_70_pooled,Age 60-70 pooled age-65 local linear,doctor_visit_any,above65,-0.0002214128317454822,0.002022059632791534,-0.10949866569454876,0.006233455592381745,-0.035520078464356626,644849,29792,60.0,70.0,0.8636055295921483
age60_70_pooled,Age 60-70 pooled age-65 local linear,dentist_visit_any,above65,-0.006977133099788979,0.002624051945570486,-2.6589157701571735,0.008288214518707208,-0.8418137687002423,644849,29792,60.0,70.0,0.6869138777404944
age60_70_pooled,Age 60-70 pooled age-65 local linear,hospital_night_any,above65,-0.0006501715402125186,0.0018791231286119086,-0.34599730603752105,0.005847366987307167,-0.11119047968493181,644849,29792,60.0,70.0,0.12497146230368546
age62_68_pooled,Age 62-68 pooled age-65 local linear,medicare,above65,0.40528529244834033,0.0033513925238046085,120.9304161090171,0.008938412910609123,45.34197474445399,414962,21068,62.0,68.0,0.5593746545018652
age62_68_pooled,Age 62-68 pooled age-65 local linear,uninsured,above65,-0.044885995732576456,0.0018525029256477893,-24.229918944328023,0.00492807728110305,-9.10821668821915,414962,21068,62.0,68.0,0.043125023190781736
age62_68_pooled,Age 62-68 pooled age-65 local linear,any_coverage,above65,0.04488599573263663,0.0018525029256477785,24.229918944360648,0.004928077281103095,9.108216688231277,414962,21068,62.0,68.0,0.9568749768092183
age62_68_pooled,Age 62-68 pooled age-65 local linear,public,above65,0.34314465274287187,0.003496454720931199,98.14073972949471,0.009455460323244146,36.290634301465694,414962,21068,62.0,68.0,0.6239330815951444
age62_68_pooled,Age 62-68 pooled age-65 local linear,private,above65,-0.059660111352531686,0.003416309744490898,-17.463320311847866,0.009015203498983297,-6.617722091271699,414962,21068,62.0,68.0,0.6680600043830073
age62_68_pooled,Age 62-68 pooled age-65 local linear,direct_purchase,above65,-0.04547263488913478,0.0031390441513828187,-14.486140588084137,0.00843225413697253,-5.392702135215889,414962,21068,62.0,68.0,0.17835641835687283
age62_68_pooled,Age 62-68 pooled age-65 local linear,marketplace_flag,above65,-0.047677326375598406,0.002580467452691109,-18.47623628264594,0.0068620188163896695,-6.948002862032808,414962,21068,62.0,68.0,0.09344634513131551
age62_68_pooled,Age 62-68 pooled age-65 local linear,market_or_subsidy,above65,-0.04567739749023314,0.003163207256353728,-14.440216460203148,0.008480494142314035,-5.386171692793522,414962,21068,62.0,68.0,0.18195817225608324
age62_68_pooled,Age 62-68 pooled age-65 local linear,medicaid,above65,-0.00644121818846366,0.002743271222668555,-2.348006327350263,0.006947204895002263,-0.9271668657847412,414962,21068,62.0,68.0,0.14128021000683977
age62_68_pooled,Age 62-68 pooled age-65 local linear,oop_gt_0,above65,-0.0010490718573894497,0.0037184971088817906,-0.282122542164601,0.010154091699508117,-0.1033151845024473,414962,21068,62.0,68.0,0.690505794194276
age62_68_pooled,Age 62-68 pooled age-65 local linear,oop_gt_1000,above65,-0.019296395752516293,0.003422828669667536,-5.637558176229305,0.009113487250321888,-2.117344900201045,414962,21068,62.0,68.0,0.24431193468720713
age62_68_pooled,Age 62-68 pooled age-65 local linear,doctor_visit_any,above65,-0.0004318252484694085,0.0027640997041904537,-0.1562263647055673,0.007230704272178047,-0.05972104959830327,414962,21068,62.0,68.0,0.8653686671285413
age62_68_pooled,Age 62-68 pooled age-65 local linear,dentist_visit_any,above65,-0.010294425324246959,0.0035908718746220595,-2.8668317009585453,0.009398262015819095,-1.09535415238684,414962,21068,62.0,68.0,0.6863247130427615
age62_68_pooled,Age 62-68 pooled age-65 local linear,hospital_night_any,above65,-0.003380646557772149,0.0025637011745279063,-1.3186585828961441,0.006878278399827846,-0.4914960345101417,414962,21068,62.0,68.0,0.12618016885550196
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,medicare,above65_post_arpa,-0.012459050984261921,0.004840849478403191,-2.5737323665704395,0.015114810535428125,-0.8242942215556538,644849,29792,60.0,70.0,0.5311919145238385
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,uninsured,above65_post_arpa,0.005095764761014032,0.0026469932550990793,1.9251143731468607,0.008410389435366629,0.605889275422345,644849,29792,60.0,70.0,0.0450525768382314
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,any_coverage,above65_post_arpa,-0.005095764761311017,0.0026469932550990723,-1.9251143732590628,0.008410389435366754,-0.6058892754576477,644849,29792,60.0,70.0,0.9549474231617686
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,public,above65_post_arpa,-0.02290633859538005,0.005078302638748518,-4.510628890172843,0.016416848190134933,-1.3952945370564322,644849,29792,60.0,70.0,0.5987604097856468
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,private,above65_post_arpa,-0.03556523601120354,0.0051946315327793735,-6.846536811471295,0.016623304093858877,-2.139480563574744,644849,29792,60.0,70.0,0.6768608854164679
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,direct_purchase,above65_post_arpa,-0.03415855187369399,0.00470931698869138,-7.253398307168515,0.015570035166063388,-2.19386478639087,644849,29792,60.0,70.0,0.17831778953473854
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,marketplace_flag,above65_post_arpa,-0.018604599552132894,0.0038463875332863918,-4.836901999897275,0.01288214917179906,-1.4442155034861053,644849,29792,60.0,70.0,0.09248078259129397
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,market_or_subsidy,above65_post_arpa,-0.0336716058539448,0.004744220738379253,-7.097394432251455,0.015669017729391825,-2.1489289523735655,644849,29792,60.0,70.0,0.18162658220213582
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,medicaid,above65_post_arpa,0.00894433257261884,0.004160931240656854,2.149598744921069,0.013536407364410696,0.6607611851380057,644849,29792,60.0,70.0,0.13773501300213556
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,oop_gt_0,above65_post_arpa,-0.008243151141117622,0.005642736834877377,-1.4608427403821598,0.017796688250642345,-0.46318455574565104,644849,29792,60.0,70.0,0.686959326133208
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,oop_gt_1000,above65_post_arpa,0.015017475145217674,0.005182076626356437,2.897964701802681,0.01611474579439161,0.931908907334063,644849,29792,60.0,70.0,0.24771268514302253
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,doctor_visit_any,above65_post_arpa,0.008867161119709976,0.0041727438189416,2.1250192929311194,0.013059066604572043,0.6790042036086668,644849,29792,60.0,70.0,0.8636055295921483
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,dentist_visit_any,above65_post_arpa,-0.002106669484176038,0.005412334929011619,-0.38923487031146287,0.0172952762547981,-0.12180606155924224,644849,29792,60.0,70.0,0.6869138777404944
age60_70_rd_did_arpa,Age 60-70 RD-DID: age-65 discontinuity change after 2021,hospital_night_any,above65_post_arpa,-0.005228826128062192,0.0038639511747195995,-1.3532329710252198,0.012037806287411877,-0.43436702694992335,644849,29792,60.0,70.0,0.12497146230368546
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,medicare,above65_post_arpa,-0.01677622366626963,0.006896351977238112,-2.4326228883967524,0.018504569161000163,-0.9065989875423224,414962,21068,62.0,68.0,0.5593746545018652
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,uninsured,above65_post_arpa,0.016258900431446843,0.003784356092035391,4.296345279363523,0.010273015720242777,1.58268038073854,414962,21068,62.0,68.0,0.043125023190781736
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,any_coverage,above65_post_arpa,-0.016258900431559198,0.0037843560920353507,-4.296345279393258,0.010273015720242773,-1.5826803807494774,414962,21068,62.0,68.0,0.9568749768092183
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,public,above65_post_arpa,-0.032402621215297245,0.0071947387695298825,-4.50365499752738,0.01957530313412791,-1.6552806867550356,414962,21068,62.0,68.0,0.6239330815951444
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,private,above65_post_arpa,-0.028144637468775713,0.007027533088999852,-4.004909989371707,0.01903409695257674,-1.4786431706688157,414962,21068,62.0,68.0,0.6680600043830073
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,direct_purchase,above65_post_arpa,-0.03300216320126381,0.006495294383656231,-5.080934173561929,0.01799612249012153,-1.8338485537303622,414962,21068,62.0,68.0,0.17835641835687283
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,marketplace_flag,above65_post_arpa,-0.013891080396281952,0.005380348359652311,-2.5818180288199075,0.014904137343189116,-0.9320284748066878,414962,21068,62.0,68.0,0.09344634513131551
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,market_or_subsidy,above65_post_arpa,-0.02979304255124937,0.006544646315717311,-4.552276947296574,0.01810473493166588,-1.6455939655399312,414962,21068,62.0,68.0,0.18195817225608324
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,medicaid,above65_post_arpa,0.008544350743642681,0.005694560974608496,1.5004406453352814,0.015126725138805282,0.5648513254017862,414962,21068,62.0,68.0,0.14128021000683977
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,oop_gt_0,above65_post_arpa,0.011406880177666778,0.007673322911691407,1.4865632932359412,0.02130438400657988,0.5354240786376997,414962,21068,62.0,68.0,0.690505794194276
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,oop_gt_1000,above65_post_arpa,0.01529274182312168,0.007041558297383473,2.1717837412216285,0.019055224102161022,0.8025485158890027,414962,21068,62.0,68.0,0.24431193468720713
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,doctor_visit_any,above65_post_arpa,-0.0022543778432897454,0.005690310590309179,-0.3961783469480627,0.015395208913617146,-0.14643372856705672,414962,21068,62.0,68.0,0.8653686671285413
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,dentist_visit_any,above65_post_arpa,-0.003987263185788237,0.007387235055163256,-0.5397504148729324,0.020072273139100198,-0.19864532323552161,414962,21068,62.0,68.0,0.6863247130427615
age62_68_rd_did_arpa,Age 62-68 RD-DID: age-65 discontinuity change after 2021,hospital_night_any,above65_post_arpa,-0.025552300023140795,0.005248563834766177,-4.868436552849728,0.014259536180611404,-1.791944681755083,414962,21068,62.0,68.0,0.12618016885550196
