sample,post,above400,person_months,persons,states,uninsured,source_employer_related,source_bought_direct,market_or_subsidy
main_age26_64,0,0,75702,10642,51,0.11031908954543598,0.6579977480107811,0.06010141079939397,0.09899690933239437
main_age26_64,0,1,68885,9932,51,0.09431231876955805,0.6815985919806696,0.06098896045234439,0.09138555222611475
main_age26_64,1,0,38532,6207,51,0.108850560789799,0.6351322058867471,0.07202058845998432,0.12353743216243283
main_age26_64,1,1,33361,5596,51,0.08390511974956544,0.6896974762506163,0.05770688889610892,0.10688070945626099
older_age50_64,0,0,29544,4113,51,0.0980377717146823,0.6555691765367959,0.0799516399552433,0.11891448651220732
older_age50_64,0,1,26968,3884,51,0.07951881949428678,0.6777238830274556,0.07859379926525661,0.10880762556952867
older_age50_64,1,0,13965,2307,51,0.08251077867605894,0.6265409059355266,0.1033167578730819,0.16139636719561537
older_age50_64,1,1,13399,2186,50,0.06223014162772782,0.696124705828842,0.0776681187953073,0.12076398704938987
younger_age26_49,0,0,46158,6720,51,0.11678555967188399,0.659276461346181,0.04964968928152737,0.08850972712610349
younger_age26_49,0,1,41917,6222,51,0.10204768613101116,0.6836246371113118,0.05178357280043963,0.0822757307429204
younger_age26_49,1,0,24567,3995,51,0.12120021689065141,0.6391603181694792,0.057347083270882705,0.10578691220803943
younger_age26_49,1,1,19962,3483,51,0.09557281475106383,0.6862376824735792,0.046961708854428144,0.09940730636135485
pre_nonemployer_baseline,0,0,23670,2949,51,0.30508517927696477,0.0,0.1557292992817472,0.2556177276613288
pre_nonemployer_baseline,0,1,19482,2603,51,0.27556235413796404,0.0,0.16476414356111133,0.2470617593056286
pre_nonemployer_baseline,1,0,1291,180,36,0.18715155627258254,0.16466876833193358,0.0972902833267976,0.13108935289364504
pre_nonemployer_baseline,1,1,1062,172,36,0.20953251065254883,0.13001353601716392,0.06454407267232835,0.1532329894317161
pre_nongroup_uninsured_baseline,0,0,13669,1739,51,0.5163969190235747,0.0,0.2635923860391416,0.43266673040280307
pre_nongroup_uninsured_baseline,0,1,10654,1494,51,0.5007622211872554,0.0,0.2994155669767916,0.44896987379624415
pre_nongroup_uninsured_baseline,1,0,578,85,28,0.37388604958078986,0.3416121878381094,0.20991970785012815,0.2701923408088077
pre_nongroup_uninsured_baseline,1,1,460,77,27,0.4328110981934286,0.30436417571723584,0.1351979800922853,0.20523663794680239
pre_current_employer_baseline,0,0,46819,5432,48,0.019301626288403366,0.9590294186183698,0.015789360070511335,0.025998304559231883
pre_current_employer_baseline,0,1,44840,5398,49,0.02202161910460582,0.9523264577561578,0.019869914144212582,0.028152897978064757
pre_current_employer_baseline,1,0,2668,374,37,0.021494400607889895,0.9412973078397888,0.02515679226084603,0.038004691948559446
pre_current_employer_baseline,1,1,2576,365,37,0.008363768479196856,0.9583124649749082,0.022514023981370767,0.0321586260678857
lag_nonemployer_months,0,0,25733,4295,51,0.3138806372203765,0.01603500762185007,0.1658684233401401,0.26518611144265825
lag_nonemployer_months,0,1,21487,3670,51,0.28810039883974736,0.014640037101389019,0.18244007230294576,0.2645403576387438
lag_nonemployer_months,1,0,14168,2669,50,0.287232307527513,0.017681988062399387,0.1884123710029257,0.30730460614319005
lag_nonemployer_months,1,1,10406,2101,50,0.26188166858301903,0.021733843581264577,0.16557618010703723,0.295698164241524
lag_nongroup_uninsured_months,0,0,14915,2798,51,0.5273307041901651,0.023739727068783707,0.2795190980600232,0.44521802689916273
lag_nongroup_uninsured_months,0,1,11988,2333,50,0.5074953310959123,0.022752768707772153,0.3223769560534577,0.4662368846693303
lag_nongroup_uninsured_months,1,0,8748,1786,50,0.4687037621263782,0.027331486098219778,0.3082275103242829,0.5018758336538507
lag_nongroup_uninsured_months,1,1,5987,1330,50,0.45299644701371683,0.034333298107368175,0.2882598325208543,0.51222350993232
lag_current_employer_months,0,0,43499,6271,47,0.002970634913605927,0.9944221004710138,0.004421471645843018,0.011337681485543092
lag_current_employer_months,0,1,41303,6170,48,0.0027876134929723287,0.9948400551787847,0.004482335417944427,0.010134251168341166
lag_current_employer_months,1,0,21671,3504,46,0.0036025312172550837,0.9931177875561777,0.004651340265033515,0.01677984469176627
lag_current_employer_months,1,1,20392,3434,46,0.001893519731829637,0.9941530317255652,0.009214829114732738,0.02224267785874307
