period,fpl_bin_left,fpl_bin_mid,person_months,persons,uninsured,employer_private,direct_purchase,marketplace_flag,market_or_subsidy,private
post_2021_2023,3.0,3.0250000953674316,4323,1694,0.1375717142189006,0.5896340455936452,0.15129918741636703,0.13154280525553733,0.1519777737869802,0.7456973253295993
post_2021_2023,3.049999952316284,3.075000047683716,3985,1639,0.1472435619321304,0.5774698587017539,0.15510086093934145,0.13135646959569736,0.1565270869616521,0.7363675190390865
post_2021_2023,3.0999999046325684,3.125,4177,1724,0.12586915110370264,0.61029139196076,0.130215549707916,0.1106997494094065,0.13101065248235172,0.7594485846417268
post_2021_2023,3.1500000953674316,3.1750001907348633,4199,1712,0.1407058404933872,0.5902423154815856,0.1426523994297791,0.12503600127064546,0.14288683928328225,0.7527562057134586
post_2021_2023,3.200000047683716,3.2250001430511475,4063,1695,0.14853300703144776,0.5798485443454603,0.14167615782659243,0.12673782586807233,0.1430342540982759,0.7382625178862376
post_2021_2023,3.25,3.2750000953674316,4155,1734,0.12974507985814,0.6165711864178817,0.15054553382876898,0.13167145964984395,0.15191173757510604,0.7627892390811191
post_2021_2023,3.299999952316284,3.325000047683716,3867,1668,0.14086704791152066,0.5973993994768482,0.14619044249069957,0.1303730990012986,0.14760255440635597,0.7603999100882217
post_2021_2023,3.3499999046325684,3.375,3997,1709,0.1265403744379314,0.5967170598356656,0.14323749649278525,0.12782563013755233,0.14362421574686338,0.7699014249370502
post_2021_2023,3.4000000953674316,3.4250001907348633,4050,1782,0.13213270666326085,0.6243490470618435,0.12531129494088597,0.10458581279769211,0.12618255918092688,0.7746327359994446
post_2021_2023,3.450000047683716,3.4750001430511475,3959,1768,0.1375302453262124,0.6132953339808048,0.12476753107875406,0.10604872546067479,0.1277064766365478,0.773403512775265
post_2021_2023,3.5,3.5250000953674316,4273,1826,0.11400243070317045,0.6499171704492508,0.1145720606776034,0.08892726727976098,0.11502862322370634,0.8101749426875576
post_2021_2023,3.549999952316284,3.575000047683716,4159,1810,0.10864881302043095,0.638203164446894,0.1343635026712279,0.11228341452847751,0.1353034310314296,0.8086650983597592
post_2021_2023,3.5999999046325684,3.625,3955,1748,0.10684046298863503,0.6552978508258637,0.13069850867697916,0.10575063655562883,0.1313954299490272,0.806959407204156
post_2021_2023,3.6500000953674316,3.6750001907348633,3883,1702,0.1032859058719332,0.6498768250352125,0.12728129644475372,0.10880118951613393,0.12845927283992853,0.8064071211615086
post_2021_2023,3.700000047683716,3.7250001430511475,3681,1721,0.10692148478979717,0.6491248333928034,0.13842670398046855,0.11671680530031078,0.1391851390962065,0.8105454039455094
post_2021_2023,3.75,3.7750000953674316,4208,1850,0.10781569065087002,0.6593227846103696,0.12016821879538407,0.1000011985230367,0.12173997322089937,0.8109439328258541
post_2021_2023,3.799999952316284,3.825000047683716,3852,1711,0.11664141222310451,0.6218798909425779,0.13379532453869952,0.11577591325301109,0.1362101979069428,0.7986962358510911
post_2021_2023,3.8499999046325684,3.875,3583,1673,0.13228303689692192,0.6363229945824955,0.10985077155132894,0.09134148347829577,0.11125005476709315,0.800346775449946
post_2021_2023,3.9000000953674316,3.9250001907348633,3720,1687,0.0998611248899038,0.6598394633553685,0.09295723484735771,0.06900770767044684,0.0947610705823273,0.8352409238344917
post_2021_2023,3.950000047683716,3.9750001430511475,3431,1629,0.10684345623227001,0.6626839611072685,0.10952567333032985,0.08810641379029013,0.11045601154167528,0.8162412825840341
post_2021_2023,4.0,4.025000095367432,3655,1674,0.09329828673007955,0.6640586297428351,0.11980511455967745,0.09523245903999777,0.12085630051228848,0.8383291799327466
post_2021_2023,4.050000190734863,4.075000286102295,3592,1700,0.09419445328718573,0.6923600164832544,0.12040696800230909,0.09754341870148625,0.12040696800230909,0.8316301055533883
post_2021_2023,4.099999904632568,4.125,3371,1642,0.09236450049638285,0.6794500326204033,0.12375973122347804,0.1001007064293429,0.12375973122347804,0.8278561302264501
