spec,outcome,term,coef,se_hc1,t_hc1,se_state_cluster,t_state_cluster,se_person_cluster,t_person_cluster,n,persons,states,state_clusters,person_clusters,weighted_mean
monthly_low250,medicaid,noncitizen_low_chill,-0.0075908856495496835,0.005353104835960113,-1.418034184303101,0.026903327604949213,-0.282154154349042,0.017263819224996327,-0.43969909268737134,1543116,79568,52,52,79568,0.19967138046740707
monthly_low250,medicaid,noncitizen_low_reversal,-0.019858859389193295,0.005510927482248315,-3.6035421357225697,0.019836552947593657,-1.0011245119884775,0.019202481867307643,-1.0341819107770198,1543116,79568,52,52,79568,0.19967138046740707
monthly_low250,snap_month,noncitizen_low_chill,0.010616892047480508,0.003300143169073837,3.217100441875698,0.009653336695223584,1.0998157821153889,0.009951297968964152,1.0668851521271088,1543116,79568,52,52,79568,0.08906570021695093
monthly_low250,snap_month,noncitizen_low_reversal,-0.015761174480598217,0.0032600849670360497,-4.834590091965517,0.010833576142261254,-1.4548450367293437,0.011452312207073273,-1.376243870723649,1543116,79568,52,52,79568,0.08906570021695093
monthly_low250,public,noncitizen_low_chill,-0.0019601897880114905,0.00537200648504474,-0.3648896913040799,0.024893055604786673,-0.07874444259203625,0.017319309003061,-0.11317944541927441,1543116,79568,52,52,79568,0.21226598438009675
monthly_low250,public,noncitizen_low_reversal,-0.013445128914546078,0.00554297663169061,-2.4256152980470547,0.018823792160707946,-0.7142625035252418,0.01929924416437078,-0.6966660870257161,1543116,79568,52,52,79568,0.21226598438009675
monthly_low250,uninsured,noncitizen_low_chill,0.023007767131052237,0.006775185812257691,3.3958872521881984,0.025927436366736386,0.887390747222894,0.020747629066710245,1.108934763440918,1543116,79568,52,52,79568,0.1735840638821354
monthly_low250,uninsured,noncitizen_low_reversal,-0.005402799749373521,0.00680049091476852,-0.7944720193126567,0.026132351928592024,-0.20674755047448257,0.023018547706747206,-0.23471505753553037,1543116,79568,52,52,79568,0.1735840638821354
monthly_low250,any_coverage,noncitizen_low_chill,-0.023007811761496022,0.006775185811447187,-3.395893839933156,0.02592743950427462,-0.887392361197208,0.020747629041152717,-1.1089369159174889,1543116,79568,52,52,79568,0.8264159361178646
monthly_low250,any_coverage,noncitizen_low_reversal,0.00540276260622452,0.006800490914908518,0.7944665574628151,0.02613235335043277,0.20674611787824484,0.023018547708370515,0.2347134439007135,1543116,79568,52,52,79568,0.8264159361178646
