post_arpa,near_bin,older_50_64,rows,persons,weighted_rows,direct_purchase_mean_w,direct_purchase_events,marketplace_mean_w,marketplace_events,subsidized_private_mean_w,subsidized_private_events,market_or_subsidy_mean_w,market_or_subsidy_events,uninsured_mean_w,uninsured_events,any_coverage_mean_w,any_coverage_events
0,300-350,False,51528,3879,334231680.0,0.11135957455353988,5744,0.08862652588429978,4532,0.03460658701605527,1740,0.09236199938116249,4707,0.14924162796493723,7734,0.8507583720350628,43794
0,300-350,True,33768,2497,181101632.0,0.14939638284356851,5015,0.10759448725328126,3633,0.06548838124010987,2134,0.11613088569808405,3920,0.09649579518214349,3387,0.9035042048178565,30381
0,350-400,False,48420,3570,315436896.0,0.08803090042744474,4275,0.06315051367172078,3070,0.028357592259221895,1366,0.06722202216438754,3280,0.12075644203516954,5950,0.8792435579648304,42470
0,350-400,True,32352,2402,173608608.0,0.11691332935222565,3825,0.0777015623082376,2471,0.03919964145083049,1273,0.08336564698716704,2636,0.08802466616211824,2909,0.9119753338378818,29443
0,400-450,False,43824,3260,285908736.0,0.08898841793372357,3915,0.06163035156851877,2618,0.024196461570367533,1038,0.06271054141149889,2678,0.10214735270595739,4525,0.8978526472940426,39299
0,400-450,True,30312,2273,163194112.0,0.11543793050037218,3542,0.07261153838807363,2199,0.038654962158211285,1184,0.07640511739220272,2319,0.07760836068046316,2292,0.9223916393195368,28020
0,450-500,False,36468,2765,242544256.0,0.08751718830097818,3126,0.06255066152035682,2201,0.024190033896757626,912,0.06344737247512197,2261,0.09196284586405067,3431,0.9080371541359493,33037
0,450-500,True,26376,1980,146371712.0,0.09066861196256856,2378,0.06042026708403306,1586,0.03258062890997312,860,0.06456194250218483,1706,0.05125448067992991,1529,0.9487455193200701,24847
1,300-350,False,26256,2021,252823904.0,0.14507071824190323,3791,0.12134005028623722,3141,0.04351270158727843,1098,0.12548874973989085,3230,0.13739271775245096,3893,0.862607282247549,22363
1,300-350,True,16488,1267,130505888.0,0.19111877236886565,3200,0.1563235694560381,2584,0.08511491449913244,1396,0.16079168579172087,2668,0.09434560455969121,1754,0.9056543954403088,14734
1,350-400,False,25296,1948,251309248.0,0.12855661930069073,3092,0.10798526598379324,2589,0.04729000717383372,978,0.11032547679398737,2661,0.13338904600498266,3602,0.8666109539950173,21694
1,350-400,True,15564,1208,122964864.0,0.1507858691325582,2442,0.1167736992746256,1848,0.0664115835778316,1139,0.12638403284240593,2026,0.08026379472856837,1334,0.9197362052714316,14230
1,400-450,False,21552,1669,216861280.0,0.09520142883224267,2239,0.07184129875290673,1718,0.01983628516436269,557,0.07221674297396523,1730,0.10061773433872692,2258,0.8993822656612731,19294
1,400-450,True,14460,1110,116424784.0,0.13577284606291556,2011,0.09272040268738045,1384,0.04806807116480123,735,0.09416382456430371,1408,0.058915544950490374,975,0.9410844550495097,13485
1,450-500,False,18756,1447,182035424.0,0.10109631569343594,1720,0.06729924437961385,1257,0.019392511574691084,401,0.06898261202727166,1293,0.07933654759409844,1581,0.9206634524059015,17175
1,450-500,True,13020,1026,106804400.0,0.1060744613524829,1381,0.06582878465703224,876,0.034526345170664254,519,0.06935129398925845,924,0.05686557940029428,802,0.9431344205997058,12218
