spec,label,outcome,term,coef,se_hc1,t_hc1,se_state_cluster,t_state_cluster,se_person_cluster,t_person_cluster,n,persons,states,state_clusters,person_clusters,weighted_mean
broad_000_250_monthly_fpl,"monthly FPL 0-250%, eligible <=138%",medicaid,active_x_eligible,0.07528303794270216,0.00702711353652876,10.713223509391359,0.027708036221252032,2.717010954567764,0.02274306009968235,3.3101542893849025,312436,20838,19,19,20838,0.21154067592943523
broad_000_250_monthly_fpl,"monthly FPL 0-250%, eligible <=138%",uninsured,active_x_eligible,-0.06500010785157839,0.006268995615593583,-10.368504276808913,0.019591892557018663,-3.3177043852403396,0.019617811001968,-3.3133211368514957,312436,20838,19,19,20838,0.33557251449159853
broad_000_250_monthly_fpl,"monthly FPL 0-250%, eligible <=138%",any_coverage,active_x_eligible,0.06500010884092276,0.006268995616883455,10.368504432491001,0.01959189253479785,3.317704439500869,0.019617811009054617,3.313321186085538,312436,20838,19,19,20838,0.6644274855084015
broad_000_250_monthly_fpl,"monthly FPL 0-250%, eligible <=138%",public,active_x_eligible,0.06347280821651584,0.007094421332162566,8.94686194189818,0.026736030603316203,2.3740550404906773,0.022909250310571068,2.770619175924209,312436,20838,19,19,20838,0.22544567501092408
broad_000_250_monthly_fpl,"monthly FPL 0-250%, eligible <=138%",private,active_x_eligible,-0.0023656629290994056,0.007506781808322547,-0.3151367642625053,0.022763453487980805,-0.10392372714221439,0.02359738946424651,-0.10025104398449372,312436,20838,19,19,20838,0.4743870223765582
broad_000_250_monthly_fpl,"monthly FPL 0-250%, eligible <=138%",direct_purchase,active_x_eligible,0.013146161009256935,0.0062811955167296025,2.0929393097608395,0.022199741664986516,0.5921763058167064,0.02081495715465615,0.6315728113961665,312436,20838,19,19,20838,0.15893228092900788
broad_000_250_monthly_fpl,"monthly FPL 0-250%, eligible <=138%",marketplace_flag,active_x_eligible,0.016917394145281088,0.005810872584021629,2.9113345544349865,0.01619124392846789,1.0448483279000238,0.01901567245283765,0.8896553191710324,312436,20838,19,19,20838,0.12274397142905097
broad_000_250_monthly_fpl,"monthly FPL 0-250%, eligible <=138%",market_or_subsidy,active_x_eligible,0.008875563464143511,0.006359177280686464,1.3957093932731826,0.02031273872689014,0.43694568140109935,0.020703694377133198,0.4286946717077889,312436,20838,19,19,20838,0.16206974683031677
broad_000_250_monthly_fpl,"monthly FPL 0-250%, eligible <=138%",snap_month,active_x_eligible,0.016233238257692646,0.0054681412258342395,2.9686940382956264,0.022598339878569896,0.7183376453722026,0.018375576508659938,0.8834138210598365,312436,20838,19,19,20838,0.1628467889438647
near_100_250_monthly_fpl,"monthly FPL 100-250%, eligible 100-138%",medicaid,active_x_eligible,0.08913752645768767,0.011474463504346702,7.768339358430223,0.029351548782059034,3.036893457294236,0.032978606584443924,2.702889408909533,191926,16175,19,19,16175,0.16883717721524605
near_100_250_monthly_fpl,"monthly FPL 100-250%, eligible 100-138%",uninsured,active_x_eligible,-0.07350739981916832,0.009787175635784837,-7.510583497695015,0.015304457396457492,-4.803005942319981,0.02528582352961016,-2.9070597496296617,191926,16175,19,19,16175,0.30704911767145193
near_100_250_monthly_fpl,"monthly FPL 100-250%, eligible 100-138%",any_coverage,active_x_eligible,0.07350739814894595,0.00978717563829187,7.51058332511697,0.015304457360051168,4.80300584461233,0.025285823540182127,2.9070596823605177,191926,16175,19,19,16175,0.6929508823285481
near_100_250_monthly_fpl,"monthly FPL 100-250%, eligible 100-138%",public,active_x_eligible,0.07519899196116338,0.011458034655066092,6.562992190629712,0.028657436627009564,2.6240655415177123,0.032748343085553876,2.296268600970397,191926,16175,19,19,16175,0.18403330513048047
near_100_250_monthly_fpl,"monthly FPL 100-250%, eligible 100-138%",private,active_x_eligible,-0.01656143863219798,0.011748423755833641,-1.4096732443766724,0.03749905328813872,-0.44164951325415214,0.03241521236597962,-0.510915629526448,191926,16175,19,19,16175,0.5467601603159602
near_100_250_monthly_fpl,"monthly FPL 100-250%, eligible 100-138%",direct_purchase,active_x_eligible,0.03263071580816662,0.01005437266441843,3.2454253385339444,0.03676260993213202,0.8876060722676288,0.02915877329388452,1.1190702530346253,191926,16175,19,19,16175,0.14886749538782715
near_100_250_monthly_fpl,"monthly FPL 100-250%, eligible 100-138%",marketplace_flag,active_x_eligible,0.02621110366312165,0.009117423550167685,2.874836681535935,0.03196861549427943,0.8199011204539638,0.026711224558025933,0.9812767515087956,191926,16175,19,19,16175,0.11644078012391769
near_100_250_monthly_fpl,"monthly FPL 100-250%, eligible 100-138%",market_or_subsidy,active_x_eligible,0.02749198738645214,0.010098981952652525,2.722253343489865,0.03310367964172101,0.8304813145848483,0.028667602335786593,0.9589915146874038,191926,16175,19,19,16175,0.151759906754581
near_100_250_monthly_fpl,"monthly FPL 100-250%, eligible 100-138%",snap_month,active_x_eligible,0.0649847648495797,0.009766238675703212,6.654021779259916,0.024143548323956734,2.691599593299953,0.028133612545342267,2.3098620820502633,191926,16175,19,19,16175,0.10593949494646823
broad_000_250_annual_fpl,"annual FPL 0-250%, eligible <=138%",medicaid,active_x_eligible,0.10321689629637777,0.007165759020742784,14.404181887444853,0.037191710910111246,2.775266148573885,0.025974967793864722,3.9737064205622445,302453,17236,19,19,17236,0.21606394454981517
broad_000_250_annual_fpl,"annual FPL 0-250%, eligible <=138%",uninsured,active_x_eligible,-0.06660918791332543,0.006360863536299266,-10.471720943738164,0.022845988703135686,-2.915574754888288,0.022101164463106913,-3.013831602606957,302453,17236,19,19,17236,0.3383470928220307
broad_000_250_annual_fpl,"annual FPL 0-250%, eligible <=138%",any_coverage,active_x_eligible,0.06660918771898078,0.006360863536440939,10.471720912951746,0.02284598871862526,2.9155747444047995,0.022101164463963496,3.0138315936967364,302453,17236,19,19,17236,0.6616529071779693
broad_000_250_annual_fpl,"annual FPL 0-250%, eligible <=138%",public,active_x_eligible,0.08877608208661583,0.007243995710082949,12.255126264507311,0.03848444637691565,2.3068041882984422,0.026267682439665742,3.3796693823494204,302453,17236,19,19,17236,0.2301494551185371
broad_000_250_annual_fpl,"annual FPL 0-250%, eligible <=138%",private,active_x_eligible,-0.02704762223041764,0.007575388772754621,-3.5704599515335995,0.027355573276563402,-0.9887426579208415,0.026629711770520613,-1.0156933902814396,302453,17236,19,19,17236,0.4670530219747046
broad_000_250_annual_fpl,"annual FPL 0-250%, eligible <=138%",direct_purchase,active_x_eligible,0.01637315582843939,0.0064862788774048335,2.524275649860788,0.01588297549366318,1.0308619965428882,0.023109817649716344,0.7084935102739921,302453,17236,19,19,17236,0.16105842090228367
broad_000_250_annual_fpl,"annual FPL 0-250%, eligible <=138%",marketplace_flag,active_x_eligible,0.024090110883781934,0.005978309148117322,4.029586006165029,0.0121755835173902,1.9785590439566527,0.02113089513896871,1.1400421385536084,302453,17236,19,19,17236,0.12495723421065448
broad_000_250_annual_fpl,"annual FPL 0-250%, eligible <=138%",market_or_subsidy,active_x_eligible,0.01623127091517409,0.006519268820810365,2.4897379386108045,0.015230816710840481,1.0656861823845294,0.023087131043088075,0.7030440848142314,302453,17236,19,19,17236,0.16420858289591878
broad_000_250_annual_fpl,"annual FPL 0-250%, eligible <=138%",snap_month,active_x_eligible,0.03951319049425607,0.005669357759331966,6.969606112652873,0.02707667589358938,1.4593072890314107,0.02109607999607007,1.8730110286658408,302453,17236,19,19,17236,0.16666573088191491
near_100_250_annual_fpl,"annual FPL 100-250%, eligible 100-138%",medicaid,active_x_eligible,0.11134975195587225,0.011649745136657123,9.558127722940375,0.031727517260920934,3.5095639863703654,0.03947192151985445,2.8209863535491455,195199,12187,19,19,12187,0.1725758980713056
near_100_250_annual_fpl,"annual FPL 100-250%, eligible 100-138%",uninsured,active_x_eligible,-0.07135883526563044,0.009510906060052749,-7.502843032521202,0.029270286517590276,-2.4379274600795804,0.029861084601550198,-2.3896933489792245,195199,12187,19,19,12187,0.3120033049321215
near_100_250_annual_fpl,"annual FPL 100-250%, eligible 100-138%",any_coverage,active_x_eligible,0.07135883446867966,0.009510906062670724,7.502842946662606,0.0292702866020375,2.4379274258186587,0.029861084612097737,2.3896933214465284,195199,12187,19,19,12187,0.6879966950678785
near_100_250_annual_fpl,"annual FPL 100-250%, eligible 100-138%",public,active_x_eligible,0.09923582741895084,0.011601711505470314,8.553550687082698,0.033894557690906525,2.927780569491678,0.039224179900662307,2.529965640333891,195199,12187,19,19,12187,0.18746256323744667
near_100_250_annual_fpl,"annual FPL 100-250%, eligible 100-138%",private,active_x_eligible,-0.050630435653840365,0.011657076441158834,-4.343321922045076,0.041567925148996245,-1.2180169078047658,0.037607534682528886,-1.346284357144034,195199,12187,19,19,12187,0.5378406711062871
near_100_250_annual_fpl,"annual FPL 100-250%, eligible 100-138%",direct_purchase,active_x_eligible,-0.006126979060744179,0.00925023565858513,-0.6623592400111168,0.019769157409043194,-0.3099261609370087,0.03094727516883737,-0.19798121247565584,195199,12187,19,19,12187,0.1511656199741757
near_100_250_annual_fpl,"annual FPL 100-250%, eligible 100-138%",marketplace_flag,active_x_eligible,-0.014762197715311828,0.007772379344357565,-1.8993151339208103,0.0236918579801814,-0.6230916008217098,0.026938209757076694,-0.5480021816013139,195199,12187,19,19,12187,0.1185816494009689
near_100_250_annual_fpl,"annual FPL 100-250%, eligible 100-138%",market_or_subsidy,active_x_eligible,-0.007382749306020953,0.009271626934070732,-0.7962733356851683,0.018813135227818144,-0.39242525058260413,0.030782963951174858,-0.23983230847201067,195199,12187,19,19,12187,0.1541832911413691
near_100_250_annual_fpl,"annual FPL 100-250%, eligible 100-138%",snap_month,active_x_eligible,0.06983392500072012,0.010160212900078873,6.873273787420144,0.02119815481764785,3.294339795206237,0.03343428246664289,2.0886922000013866,195199,12187,19,19,12187,0.10854074355491652
near_100_200_monthly_fpl_no_disabled_ssi,"monthly FPL 100-200%, eligible 100-138%, excluding disability/SSI",medicaid,active_x_eligible,0.06003476181328455,0.013911127741283693,4.3155927348090515,0.019463106979823234,3.0845415316023606,0.03885508554751628,1.545094058276295,96035,10014,19,19,10014,0.1572114205909856
near_100_200_monthly_fpl_no_disabled_ssi,"monthly FPL 100-200%, eligible 100-138%, excluding disability/SSI",uninsured,active_x_eligible,-0.0726993084252933,0.012626832459470888,-5.757525385613589,0.027923517346360446,-2.6035154355211967,0.03381856629488935,-2.1496862933624596,96035,10014,19,19,10014,0.3435066097832525
near_100_200_monthly_fpl_no_disabled_ssi,"monthly FPL 100-200%, eligible 100-138%, excluding disability/SSI",any_coverage,active_x_eligible,0.0726993085376431,0.012626832459269748,5.757525394603006,0.02792351733777597,2.6035154403450735,0.03381856629405932,2.1496862967373547,96035,10014,19,19,10014,0.6564933902167475
near_100_200_monthly_fpl_no_disabled_ssi,"monthly FPL 100-200%, eligible 100-138%, excluding disability/SSI",public,active_x_eligible,0.05288652131121846,0.013930989045722786,3.796322080050457,0.018207463383459205,2.9046616872103046,0.0388884325970299,1.359955076082384,96035,10014,19,19,10014,0.16727851938608182
near_100_200_monthly_fpl_no_disabled_ssi,"monthly FPL 100-200%, eligible 100-138%, excluding disability/SSI",private,active_x_eligible,-0.003405012250045982,0.01491340353627745,-0.22831892409825522,0.036131152744829,-0.09424034361962888,0.04103669851332708,-0.08297480970454214,96035,10014,19,19,10014,0.5238380727906464
near_100_200_monthly_fpl_no_disabled_ssi,"monthly FPL 100-200%, eligible 100-138%, excluding disability/SSI",direct_purchase,active_x_eligible,0.05068286879912944,0.012952754201147918,3.91290284769225,0.031726002075069745,1.5975182967965567,0.03812291704011998,1.329459357629731,96035,10014,19,19,10014,0.15699353666412424
near_100_200_monthly_fpl_no_disabled_ssi,"monthly FPL 100-200%, eligible 100-138%, excluding disability/SSI",marketplace_flag,active_x_eligible,0.04047131197746529,0.011916353361777855,3.3962833048639296,0.02840361323240761,1.4248649158230624,0.035175713444645054,1.1505470113961942,96035,10014,19,19,10014,0.1208395674975133
near_100_200_monthly_fpl_no_disabled_ssi,"monthly FPL 100-200%, eligible 100-138%, excluding disability/SSI",market_or_subsidy,active_x_eligible,0.04527315790923378,0.013049001660780449,3.4694729210821507,0.028400863169302716,1.5940768292622742,0.03767707366212308,1.201610250181056,96035,10014,19,19,10014,0.15885156733131608
near_100_200_monthly_fpl_no_disabled_ssi,"monthly FPL 100-200%, eligible 100-138%, excluding disability/SSI",snap_month,active_x_eligible,0.019921234144787418,0.010574106957497097,1.883963745105033,0.017952701091405756,1.1096510794313859,0.02910033672936424,0.6845705714699006,96035,10014,19,19,10014,0.1097654716057142
