sample,post,above400,person_months,persons,uninsured,any_coverage,private,rpritype1_employer,source_employer_related,source_current_employer,source_former_employer,source_union,source_bought_direct,direct_purchase,marketplace_flag,subsidized_private,market_or_subsidy,public,medicaid
main_age26_64,0,0,75702,10642,0.11031908954543598,0.889680910454564,0.8316886065533219,0.674020141152716,0.6579977480107811,0.6173563923190534,0.03013981795036007,0.012434264172252078,0.06010141079939397,0.09817043808296544,0.06898986950817118,0.03323567954600116,0.09899690933239437,0.08242208654796852,0.0661831109076211
main_age26_64,0,1,68885,9932,0.09431231876955805,0.905687681230442,0.8624001488902788,0.6956931848504138,0.6815985919806696,0.6399345076945657,0.029711527863336713,0.012874113442067047,0.06098896045234439,0.09060002525937091,0.06386541146600319,0.030121128811872903,0.09138555222611475,0.0707250789626566,0.05642238415150489
main_age26_64,1,0,38532,6207,0.108850560789799,0.891149439210201,0.8112928623463707,0.6482569588855894,0.6351322058867471,0.6049242662555028,0.02055914152125247,0.010586796707720664,0.07202058845998432,0.12231845867707884,0.10083363836885295,0.05219507681956009,0.12353743216243283,0.11478388362246186,0.09516798122352181
main_age26_64,1,1,33361,5596,0.08390511974956544,0.9160948802504345,0.8487107128822692,0.7043688288645596,0.6896974762506163,0.6529417026260439,0.029060693734694235,0.009105874509765653,0.05770688889610892,0.10656234905961186,0.08203038072267792,0.033211968727529274,0.10688070945626099,0.09343846654815266,0.08311529279019561
older_age50_64,0,0,29544,4113,0.0980377717146823,0.9019622282853177,0.8491739829531091,0.6711933866015756,0.6555691765367959,0.5816454444936907,0.0650310108563933,0.01171884970701804,0.0799516399552433,0.11815315973380248,0.07963717937215635,0.04762504198417854,0.11891448651220732,0.07554338605628542,0.0541686206828627
older_age50_64,0,1,26968,3884,0.07951881949428678,0.9204811805057133,0.8792829619083443,0.6916020226950745,0.6777238830274556,0.598832289956755,0.06412082827921131,0.014973832488602408,0.07859379926525661,0.10821146513217168,0.0712643321885071,0.038742632376991284,0.10880762556952867,0.06677324298037142,0.049789132344236965
older_age50_64,1,0,13965,2307,0.08251077867605894,0.9174892213239411,0.8434095651579028,0.6416578306649059,0.6265409059355266,0.5584341826666395,0.049609443549795844,0.020504826949043212,0.1033167578730819,0.15957205080608933,0.12371445739212339,0.07167255351945935,0.16139636719561537,0.11951121858913963,0.09860644651704135
older_age50_64,1,1,13399,2186,0.06223014162772782,0.9377698583722722,0.8830949815048817,0.7110006612973403,0.696124705828842,0.6299269008333095,0.05478015248221419,0.014079906006170826,0.0776681187953073,0.12048539870546351,0.08703625264176691,0.047249975260329466,0.12076398704938987,0.08030384073818574,0.06430878112464836
younger_age26_49,0,0,46158,6720,0.11678555967188399,0.883214440328116,0.8224820486173496,0.6755085094297733,0.659276461346181,0.6361592423455866,0.011768592670446235,0.012810950642809838,0.04964968928152737,0.08764895542279932,0.06338375197979922,0.025659262778078718,0.08850972712610349,0.08604392191215618,0.07250908855868025
younger_age26_49,0,1,41917,6222,0.10204768613101116,0.8979523138689889,0.8535723010390432,0.6978324111158128,0.6836246371113118,0.6614264311168941,0.011719261502644256,0.011776192126861977,0.05178357280043963,0.08139118598170386,0.0599965925475133,0.025613034003246528,0.0822757307429204,0.0727914530169876,0.05989084273425622
