model,outcome,term,coef,state_clustered_se,state_clustered_t,n_household_years,n_households,n_states,n_clusters,weighted_mean
mw_food_low_wage_intensity,food_insecure,target_x_mw_increase,-0.001101603754846081,0.00933652645376416,-0.11798860746567619,96775,95960,51,51,0.1244082208504381
mw_food_low_wage_intensity,very_low_food,target_x_mw_increase,0.004175798092876271,0.007574385558530779,0.5513051930889903,96775,95960,51,51,0.0530148483729582
mw_food_low_wage_intensity,food_score,target_x_mw_increase,0.027631412972620062,0.05246384009541144,0.5266753810313771,96774,95959,51,51,0.5373541923744992
mw_food_low_wage_intensity,snap_any,target_x_mw_increase,0.008507735737535271,0.00891488491011327,0.9543292844850841,96775,95960,51,51,0.1353899648478045
mw_food_low_wage_intensity,snap_share,target_x_mw_increase,0.0015153169149415557,0.004960501753341917,0.30547654053759354,96775,95960,51,51,0.0927176516472595
mw_food_low_wage_intensity,any_coverage,target_x_mw_increase,0.004582781611548459,0.006368621270396402,0.7195877124693918,96775,95960,51,51,0.881027732233145
mw_food_low_wage_intensity,uninsured,target_x_mw_increase,-0.00458278161117176,0.006368621270419612,-0.7195877124076202,96775,95960,51,51,0.11897226776685504
mw_food_low_wage_intensity,public,target_x_mw_increase,0.014464958291224184,0.0077757887167007305,1.860256086968586,96775,95960,51,51,0.27202962174485484
mw_food_low_wage_intensity,private,target_x_mw_increase,-0.011715547476413235,0.008341050068102068,-1.404565058447012,96775,95960,51,51,0.6833804991543267
mw_food_low_wage_intensity,doctor_any,target_x_mw_increase,0.016101166676740775,0.008272051206626503,1.9464539416587014,96775,95960,51,51,0.7327689771721221
mw_food_low_wage_intensity,oop_any,target_x_mw_increase,0.004798169843932332,0.009714122420636616,0.4939375515526891,96775,95960,51,51,0.49892865516008933
mw_food_low_wage_intensity,sick_days,target_x_mw_increase,0.3549010621040942,0.6797013972129253,0.5221426107984252,95743,94940,51,51,6.88383480912928
mw_food_low_wage_intensity,worker_share,target_x_mw_increase,-0.009865287184209315,0.00634793889561397,-1.5540929656751443,96775,95960,51,51,0.6158900538212173
mw_food_low_wage_intensity,log_earnings,target_x_mw_increase,-0.0520865745545116,0.07950700147436916,-0.6551193428078514,96775,95960,51,51,6.663665041673634
mw_food_low_wage_50c,food_insecure,target_x_mw_50c,0.008904027216251054,0.009398455035942459,0.9473926493449649,96775,95960,51,51,0.1244082208504381
mw_food_low_wage_50c,very_low_food,target_x_mw_50c,0.012106624003649313,0.00917689813902429,1.3192501235429992,96775,95960,51,51,0.0530148483729582
mw_food_low_wage_50c,food_score,target_x_mw_50c,0.06788129865672987,0.05239205225969012,1.2956411464904003,96774,95959,51,51,0.5373541923744992
mw_food_low_wage_50c,snap_any,target_x_mw_50c,0.007080680828943198,0.010690044602009147,0.6623621409037354,96775,95960,51,51,0.1353899648478045
mw_food_low_wage_50c,snap_share,target_x_mw_50c,0.0003929683697557751,0.006592574915668737,0.059607721532568006,96775,95960,51,51,0.0927176516472595
mw_food_low_wage_50c,any_coverage,target_x_mw_50c,0.012608933049548021,0.00892249866654744,1.4131616625309116,96775,95960,51,51,0.881027732233145
mw_food_low_wage_50c,uninsured,target_x_mw_50c,-0.012608933048716853,0.00892249866661904,-1.4131616624264172,96775,95960,51,51,0.11897226776685504
mw_food_low_wage_50c,public,target_x_mw_50c,0.019531580512756053,0.012694244339397065,1.5386170291475372,96775,95960,51,51,0.27202962174485484
mw_food_low_wage_50c,private,target_x_mw_50c,-0.008090934913067116,0.014573257549470408,-0.5551905526682427,96775,95960,51,51,0.6833804991543267
mw_food_low_wage_50c,doctor_any,target_x_mw_50c,0.01636370892332195,0.012814314398621286,1.2769866895947668,96775,95960,51,51,0.7327689771721221
mw_food_low_wage_50c,oop_any,target_x_mw_50c,-0.0022322245938766194,0.012246590828133775,-0.18227314239556267,96775,95960,51,51,0.49892865516008933
mw_food_low_wage_50c,sick_days,target_x_mw_50c,1.2980964159175201,0.8279870392769141,1.5677738350242236,95743,94940,51,51,6.88383480912928
mw_food_low_wage_50c,worker_share,target_x_mw_50c,-0.016377419255256598,0.0076008328077437955,-2.1546874756370302,96775,95960,51,51,0.6158900538212173
mw_food_low_wage_50c,log_earnings,target_x_mw_50c,-0.08305224042820569,0.08620270071676212,-0.9634528818429025,96775,95960,51,51,6.663665041673634
mw_food_low_educ_intensity,food_insecure,target_x_mw_increase,0.006552475776397393,0.008063716432272643,0.812587574405896,96775,95960,51,51,0.1244082208504381
mw_food_low_educ_intensity,very_low_food,target_x_mw_increase,0.006989838870235632,0.005739860766303155,1.217771502624365,96775,95960,51,51,0.0530148483729582
mw_food_low_educ_intensity,food_score,target_x_mw_increase,0.03730354652101031,0.03502790237915262,1.0649666119662387,96774,95959,51,51,0.5373541923744992
mw_food_low_educ_intensity,snap_any,target_x_mw_increase,-0.005263649451092367,0.005557263440636153,-0.94716572415898,96775,95960,51,51,0.1353899648478045
mw_food_low_educ_intensity,snap_share,target_x_mw_increase,-0.00885245860944378,0.005728825586030038,-1.5452484067643537,96775,95960,51,51,0.0927176516472595
mw_food_low_educ_intensity,any_coverage,target_x_mw_increase,0.006746588994145153,0.0067293515324927024,1.002561533837134,96775,95960,51,51,0.881027732233145
mw_food_low_educ_intensity,uninsured,target_x_mw_increase,-0.006746588993890745,0.006729351532480884,-1.0025615338010891,96775,95960,51,51,0.11897226776685504
mw_food_low_educ_intensity,public,target_x_mw_increase,0.002123481161326879,0.007931721152878652,0.26772009761793075,96775,95960,51,51,0.27202962174485484
mw_food_low_educ_intensity,private,target_x_mw_increase,0.006007206461883241,0.010239434133400633,0.5866736758712056,96775,95960,51,51,0.6833804991543267
mw_food_low_educ_intensity,doctor_any,target_x_mw_increase,-0.011408190128132656,0.0070711826237063995,-1.6133355246527334,96775,95960,51,51,0.7327689771721221
mw_food_low_educ_intensity,oop_any,target_x_mw_increase,-0.002247846340624582,0.010396625267392276,-0.21620922970790077,96775,95960,51,51,0.49892865516008933
mw_food_low_educ_intensity,sick_days,target_x_mw_increase,-0.19127618827655368,0.4495314393909771,-0.4255012475561079,95743,94940,51,51,6.88383480912928
mw_food_low_educ_intensity,worker_share,target_x_mw_increase,-0.0038769885875749033,0.0055451896882997434,-0.6991624823502943,96775,95960,51,51,0.6158900538212173
mw_food_low_educ_intensity,log_earnings,target_x_mw_increase,-0.048322250977609116,0.049971507467644664,-0.9669960628843666,96775,95960,51,51,6.663665041673634
