check,coef_medicaid,coef_uninsured,t_state_cluster_medicaid,t_state_cluster_uninsured
baseline,0.08913752645768767,-0.07350739981916832,3.036893457294236,-4.803005942319981
drop_2019_2020_adopters,0.08133231243725544,-0.04213558813771992,1.5115076762441704,-2.4275518871100514
drop_2021_phe_adopters,0.09441036933490603,-0.08158210606804951,3.0627802142516094,-4.251771629366117
drop_2023_adopters,0.08849993405464043,-0.07648494253788074,2.951269383177861,-4.696254936126632
drop_Idaho,0.09083308614004548,-0.07138367988553307,2.8908853113288986,-4.48099100475144
drop_Maine,0.08982168053574469,-0.06413195068265809,2.968952134347027,-5.118317567467777
drop_Missouri,0.107748255757952,-0.07835900384481298,4.444624518528986,-4.832994924664576
drop_Nebraska,0.08476053287049223,-0.07974222148660526,2.740000112687482,-5.381882972900827
drop_North Carolina,0.08817065897174725,-0.07522132046806385,2.9509940142147784,-4.673278052652359
drop_Oklahoma,0.07548134157368902,-0.0757438827592925,2.186618308319574,-4.3612675253794295
drop_South Dakota,0.08950287066992535,-0.07480603780329309,3.0421665223353216,-4.851286392243503
drop_Utah,0.10105814232412003,-0.07358373939044971,3.567141072261767,-4.392383679015206
drop_Virginia,0.06250567340553981,-0.07125449825372077,1.6885152123025549,-3.2751770712272954
fake_12m_pre_placebo,0.013170650330933831,-0.05351132213060817,0.2207140538448279,-1.7701066440786426
only_2021_phe_adopters_vs_never,0.07160129483908391,-0.06027953088488631,1.0657618684683852,-4.81632854749169
