model,outcome,specs,median_coef,min_coef,max_coef,share_negative,share_positive,person_sig_specs,state_sig_specs,min_cell_persons_min
lag_current_employer_bw050,market_or_subsidy,1,0.013560936867142576,0.013560936867142576,0.013560936867142576,0.0,1.0,1,0,3434
lag_current_employer_bw050,source_employer_related,1,-0.0006734091330322656,-0.0006734091330322656,-0.0006734091330322656,1.0,0.0,0,0,3434
lag_current_employer_bw050,uninsured,1,-0.001074684147690616,-0.001074684147690616,-0.001074684147690616,1.0,0.0,0,0,3434
lag_nonemployer_bandwidth,market_or_subsidy,5,0.07390624013344027,0.066694598022627,0.08692843601893552,0.0,1.0,5,5,1424
lag_nonemployer_bandwidth,source_employer_related,5,-0.00963906998239128,-0.01115854057313323,-0.008179463665745373,1.0,0.0,0,0,1424
lag_nonemployer_bandwidth,uninsured,5,-0.04569127120976679,-0.048518678671249926,-0.03612970124103221,1.0,0.0,0,0,1424
lag_nonemployer_donut_bw050,market_or_subsidy,4,0.05410313796591404,0.00904385244355499,0.08436802642430008,0.0,1.0,1,1,1612
lag_nonemployer_donut_bw050,source_employer_related,4,-0.011223471311436028,-0.018301891140034166,-0.0031584218436951916,1.0,0.0,0,1,1612
lag_nonemployer_donut_bw050,uninsured,4,-0.03340745279286539,-0.05983677147772726,-0.02590172961526438,1.0,0.0,0,0,1612
lag_nonemployer_post_apr2021,direct_purchase,1,0.08075718388898423,0.08075718388898423,0.08075718388898423,0.0,1.0,1,1,1976
lag_nonemployer_post_apr2021,market_or_subsidy,1,0.08107502350499107,0.08107502350499107,0.08107502350499107,0.0,1.0,1,1,1976
lag_nonemployer_post_apr2021,source_employer_related,1,-0.011783636851745521,-0.011783636851745521,-0.011783636851745521,1.0,0.0,1,0,1976
lag_nonemployer_post_apr2021,uninsured,1,-0.056650263157393965,-0.056650263157393965,-0.056650263157393965,1.0,0.0,0,0,1976
main_annual_fpl,direct_purchase,3,-0.012926949452501724,-0.01890175711236486,-0.0020036103749737633,1.0,0.0,0,0,1291
main_annual_fpl,market_or_subsidy,3,-0.012898897066318082,-0.01964641735575845,-0.001539597015560057,1.0,0.0,0,0,1291
main_annual_fpl,source_employer_related,3,0.024300200450128706,-0.005309619560362577,0.027476896657613104,0.3333333333333333,0.6666666666666666,0,0,1291
main_annual_fpl,uninsured,3,-0.03487762419077556,-0.04242393630843877,-0.0204403601032489,1.0,0.0,0,0,1291
main_bandwidth,direct_purchase,5,0.019836153654702482,0.010937315731722519,0.020827014769746133,0.0,1.0,0,0,3793
main_bandwidth,market_or_subsidy,5,0.01852150293298538,0.012396050778238688,0.020199135123747824,0.0,1.0,0,0,3793
main_bandwidth,source_employer_related,5,0.030767883666358742,0.03008798333050766,0.03603323426147398,0.0,1.0,0,0,3793
main_bandwidth,uninsured,5,-0.026008276179139367,-0.02832840274258286,-0.02549790113570316,1.0,0.0,1,2,3793
main_donut_bw050,direct_purchase,4,0.030841352736776684,0.011724560011226792,0.03232051323252638,0.0,1.0,0,0,4445
main_donut_bw050,market_or_subsidy,4,0.02778827363642733,0.00524221876718034,0.03136364658975066,0.0,1.0,0,0,4445
main_donut_bw050,source_employer_related,4,0.02697889090672545,0.01030769293157796,0.02976177818145942,0.0,1.0,0,0,4445
main_donut_bw050,uninsured,4,-0.027105618822276023,-0.03304112709453977,-0.01970375492001697,1.0,0.0,1,1,4445
main_post_apr2021,direct_purchase,1,0.026295971103132643,0.026295971103132643,0.026295971103132643,0.0,1.0,0,0,5300
main_post_apr2021,market_or_subsidy,1,0.025574696216975834,0.025574696216975834,0.025574696216975834,0.0,1.0,0,0,5300
main_post_apr2021,source_employer_related,1,0.02910732446126385,0.02910732446126385,0.02910732446126385,0.0,1.0,0,0,5300
main_post_apr2021,uninsured,1,-0.03176463354211223,-0.03176463354211223,-0.03176463354211223,1.0,0.0,1,0,5300
placebo_thresholds,market_or_subsidy,4,-0.0017008856588981436,-0.047058519482404026,0.01810372214706213,0.5,0.5,1,1,4913
placebo_thresholds,uninsured,4,0.000389995050460723,-0.02547920177997831,0.005796320466905924,0.5,0.5,0,0,4913
pre_arpa_fake_policy,market_or_subsidy,2,0.0006739775493948899,0.00020393150808588928,0.0011440235907038906,0.0,1.0,0,0,3147
pre_arpa_fake_policy,source_employer_related,2,0.016220270355197255,0.0004207679778320398,0.03201977273256247,0.0,1.0,0,0,3147
pre_arpa_fake_policy,uninsured,2,-0.000474634575893005,-0.013770974515268496,0.012821705363482486,0.5,0.5,0,0,3147
