model,outcome,year,relative_to_omitted,term,coef,se,t,n_person_years,n_persons,n_states
family_glitch_event,direct_market,2019,-3,family_exposed_x_2019,0.0020339657900757535,0.01079837356093346,0.18835853182874407,57935,38834,52
family_glitch_event,direct_market,2020,-2,family_exposed_x_2020,7.515397601354223e-05,0.010757283385505655,0.006986334125473033,57935,38834,52
family_glitch_event,direct_market,2021,-1,family_exposed_x_2021,0.010369758890075076,0.011787929048072791,0.8796930188318726,57935,38834,52
family_glitch_event,direct_market,2023,1,family_exposed_x_2023,0.0189633838782155,0.012365477111373561,1.533574783036337,57935,38834,52
family_glitch_event,exchange_subsidy,2019,-3,family_exposed_x_2019,0.0037210631323837395,0.009834326740847945,0.3783749747634375,57935,38834,52
family_glitch_event,exchange_subsidy,2020,-2,family_exposed_x_2020,0.004445790868018329,0.009897020510096381,0.4492049767385027,57935,38834,52
family_glitch_event,exchange_subsidy,2021,-1,family_exposed_x_2021,0.008181679976111522,0.010872354764088472,0.7525214319841472,57935,38834,52
family_glitch_event,exchange_subsidy,2023,1,family_exposed_x_2023,0.025404822875647604,0.011493418962754826,2.210379953778209,57935,38834,52
family_glitch_event,uninsured,2019,-3,family_exposed_x_2019,-0.005613193330513022,0.01117585739303363,-0.5022606439137238,57935,38834,52
family_glitch_event,uninsured,2020,-2,family_exposed_x_2020,-0.003620693394109864,0.01097491108510196,-0.32990639887960665,57935,38834,52
family_glitch_event,uninsured,2021,-1,family_exposed_x_2021,0.0005257194476956384,0.011660225543610219,0.0450865590660664,57935,38834,52
family_glitch_event,uninsured,2023,1,family_exposed_x_2023,0.011976185577480924,0.012068853771321783,0.9923217071317031,57935,38834,52
stldi_event,direct_market,2017,-1,stldi_permissive_target_x_2017,0.0071878835544331166,0.0180046438188397,0.39922386839510027,72394,45675,52
stldi_event,direct_market,2019,1,stldi_permissive_target_x_2019,0.0032436398403754563,0.01883462881463344,0.17221681787831847,72394,45675,52
stldi_event,direct_market,2020,2,stldi_permissive_target_x_2020,-0.006742180173798129,0.01905601407394639,-0.35380852195192897,72394,45675,52
stldi_event,direct_market,2021,3,stldi_permissive_target_x_2021,-0.002011616132455263,0.0208076272873262,-0.09667686299247229,72394,45675,52
stldi_event,exchange_subsidy,2017,-1,stldi_permissive_target_x_2017,0.018407035195720345,0.015091853504265975,1.219666967381924,72394,45675,52
stldi_event,exchange_subsidy,2019,1,stldi_permissive_target_x_2019,0.013700641032932448,0.016125604938781974,0.8496202830805123,72394,45675,52
stldi_event,exchange_subsidy,2020,2,stldi_permissive_target_x_2020,-0.006523033817882995,0.016756609332304384,-0.38928124947733334,72394,45675,52
stldi_event,exchange_subsidy,2021,3,stldi_permissive_target_x_2021,-0.009372234588336914,0.018372705388046712,-0.5101172848738157,72394,45675,52
stldi_event,uninsured,2017,-1,stldi_permissive_target_x_2017,-0.012848496714382263,0.016776500736051442,-0.7658627336254816,72394,45675,52
stldi_event,uninsured,2019,1,stldi_permissive_target_x_2019,0.01556143320940051,0.01799716726656268,0.864660142283193,72394,45675,52
stldi_event,uninsured,2020,2,stldi_permissive_target_x_2020,-0.0047396776348671565,0.017686368832807355,-0.2679847785417256,72394,45675,52
stldi_event,uninsured,2021,3,stldi_permissive_target_x_2021,-0.008782376414223636,0.01964761029692297,-0.4469946360651835,72394,45675,52
