model,outcome,key,coef,se_hc1,t_hc1,se_person_cluster,t_person_cluster,n,clusters_person
year2021_all_years,uninsured,ui_year_x_2021,-0.0036181332481839694,0.004362554974486573,-0.829361066930689,0.013547920004870729,-0.2670618993087635,1282326,66777
year2021_no_2020,uninsured,ui_year_x_2021,-0.023236675283645716,0.0052848820756092926,-4.39682001437407,0.016469472726127754,-1.410893698301721,1019126,60903
timing_2019_2021_2022_subsidy_month_apr_sep,uninsured,ui_x_2021_x_timing,-0.01406378625879201,0.012071138522355678,-1.1650753765061979,0.007101119256173526,-1.9805027561768274,614651,42485
timing_2019_2021_2022_subsidy_month_jul_dec,uninsured,ui_x_2021_x_timing,-0.005783615601616332,0.012067331295605416,-0.47927876180233514,0.012349536836553487,-0.4683265192988748,614651,42485
year2021_all_years,any_coverage,ui_year_x_2021,0.0036181332472810497,0.004362554974486929,0.8293610667236511,0.013547920004871821,0.2670618992420956,1282326,66777
year2021_no_2020,any_coverage,ui_year_x_2021,0.023236675280034327,0.005284882075611394,4.396820013688979,0.016469472726133933,1.410893698081914,1019126,60903
timing_2019_2021_2022_subsidy_month_apr_sep,any_coverage,ui_x_2021_x_timing,0.01406378625298288,0.012071138522355408,1.1650753760249826,0.007101119256175693,1.9805027553581644,614651,42485
timing_2019_2021_2022_subsidy_month_jul_dec,any_coverage,ui_x_2021_x_timing,0.005783615603615733,0.012067331295603648,0.4792787619680924,0.01234953683653999,0.4683265194612875,614651,42485
year2021_all_years,direct_purchase,ui_year_x_2021,0.030847174675157744,0.005184731974273145,5.949617999198937,0.016778743092310557,1.8384675482214479,1282326,66777
year2021_no_2020,direct_purchase,ui_year_x_2021,0.039404201231913426,0.005867682565165832,6.715462330195054,0.019150784518606703,2.057576345952236,1019126,60903
timing_2019_2021_2022_subsidy_month_apr_sep,direct_purchase,ui_x_2021_x_timing,-0.007011128631099872,0.013809213301331556,-0.50771383409827,0.004819430330587404,-1.4547629388067818,614651,42485
timing_2019_2021_2022_subsidy_month_jul_dec,direct_purchase,ui_x_2021_x_timing,0.006663460311016389,0.01380560243085305,0.48266349435970635,0.009022928025060854,0.7385030992720845,614651,42485
year2021_all_years,marketplace_flag,ui_year_x_2021,0.02326373042234921,0.004960105288992267,4.6901686691968685,0.016071383123288565,1.4475250974907337,1282326,66777
year2021_no_2020,marketplace_flag,ui_year_x_2021,0.031106352404735572,0.005570415185186031,5.5842071677996,0.018246136868121262,1.704818539374383,1019126,60903
timing_2019_2021_2022_subsidy_month_apr_sep,marketplace_flag,ui_x_2021_x_timing,-0.0021319898566081186,0.01279143761450913,-0.16667320131318433,0.004106591610575073,-0.5191628627297473,614651,42485
timing_2019_2021_2022_subsidy_month_jul_dec,marketplace_flag,ui_x_2021_x_timing,0.01582140625325712,0.012790331312967414,1.2369817376987464,0.008842148908619608,1.7893168749775195,614651,42485
year2021_all_years,subsidized_private,ui_year_x_2021,0.014428698444980197,0.003445262648660687,4.1879821413874545,0.011187640406440304,1.2896998760055014,1282326,66777
year2021_no_2020,subsidized_private,ui_year_x_2021,0.0315126892886018,0.00374062470788153,8.424445580494691,0.012083099982332776,2.6079970648821797,1019126,60903
timing_2019_2021_2022_subsidy_month_apr_sep,subsidized_private,ui_x_2021_x_timing,-0.0010119065205407562,0.007986048418088969,-0.12670928944641957,0.0032284945311750446,-0.31342983882102543,614651,42485
timing_2019_2021_2022_subsidy_month_jul_dec,subsidized_private,ui_x_2021_x_timing,0.004551849215677528,0.007986769201498729,0.5699237201975696,0.006885230567488809,0.661103382241226,614651,42485
year2021_all_years,market_or_subsidy,ui_year_x_2021,0.02889497625548048,0.005190175235760711,5.567244831425314,0.016802757954976915,1.7196567571171788,1282326,66777
year2021_no_2020,market_or_subsidy,ui_year_x_2021,0.038141195108911674,0.00587006071085368,6.497581028146611,0.01917037380669567,1.9895905783323866,1019126,60903
timing_2019_2021_2022_subsidy_month_apr_sep,market_or_subsidy,ui_x_2021_x_timing,-0.006797704976418073,0.013813128469216744,-0.4921191453165083,0.004813450318075064,-1.4122312535130783,614651,42485
timing_2019_2021_2022_subsidy_month_jul_dec,market_or_subsidy,ui_x_2021_x_timing,0.007697286305301976,0.01380960875857789,0.5573862692178573,0.009062678787132657,0.8493389742810604,614651,42485
year2021_all_years,private,ui_year_x_2021,0.00023045898761521726,0.0052072602455644715,0.044257244068322016,0.016338122149500523,0.014105598275396826,1282326,66777
year2021_no_2020,private,ui_year_x_2021,0.011085918367908544,0.006275256502156662,1.7666080046446817,0.019742384966473365,0.5615288318374257,1019126,60903
timing_2019_2021_2022_subsidy_month_apr_sep,private,ui_x_2021_x_timing,0.014040236933725803,0.014400172036490713,0.9750048053694902,0.008388354488487227,1.6737772530948256,614651,42485
timing_2019_2021_2022_subsidy_month_jul_dec,private,ui_x_2021_x_timing,-0.007516436540195182,0.014398441763355677,-0.5220312491956361,0.014310769419203234,-0.5252293793588121,614651,42485
year2021_all_years,public,ui_year_x_2021,0.01118640881230826,0.002093522803393022,5.343342233568311,0.006764343928312588,1.653731526791067,1282326,66777
year2021_no_2020,public,ui_year_x_2021,0.005710505270527883,0.0026315262501342795,2.1700354576499064,0.008436126840757419,0.6769107883654317,1019126,60903
timing_2019_2021_2022_subsidy_month_apr_sep,public,ui_x_2021_x_timing,-0.0017419745130862196,0.005982003213000646,-0.2912025371869407,0.0017788501596419579,-0.9792699534832319,614651,42485
timing_2019_2021_2022_subsidy_month_jul_dec,public,ui_x_2021_x_timing,0.003029980108388397,0.005982304867574268,0.5064904205754741,0.002620538124875961,1.1562434751953155,614651,42485
year2021_all_years,medicaid,ui_year_x_2021,-1.2790506501159093e-13,1.2345790004680156e-15,-103.60217123659442,4.174526761657648e-15,-30.639416708590357,1282326,66777
year2021_no_2020,medicaid,ui_year_x_2021,-1.8203232178575684e-12,2.5477102011645985e-14,-71.4493829410217,8.547948142966548e-14,-21.295440583075752,1019126,60903
timing_2019_2021_2022_subsidy_month_apr_sep,medicaid,ui_x_2021_x_timing,-7.738254481637341e-13,9.670758945336755e-15,-80.01703408571395,3.139637478423125e-14,-24.6469681127767,614651,42485
